0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11651 16131	10	 * 	276.69	DCR|5VULN|3DMG|1AART	1RCVC|2479aVULN|3AART|59aDMG|6RCR|89aMLV|9aBPWR
2	31523 11242	1	 * 	269.89	DCR|3VULN|3DMG|1TLV|1DUR	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aDUR
3	33523 11242	2	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aDUR
4	56241 32323	7	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18LIT|2ERES|38DMG|4BEXP|5TLV|6RCR|789VULN|8BPWR|aDUR
5	56251 32323	7	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18LIT|2ERES|38DMG|4DUST|5TLV|6RCR|789VULN|8BPWR|aDUR
6	54241 33322	7	   	266.50	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	18LIT|2CGEN|38DMG|4BEXP|5TLV|6RCR|789VULN|8BPWR|aCDMG
7	54251 33322	7	   	266.40	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	18LIT|2CGEN|38DMG|4DUST|5TLV|6RCR|789VULN|8BPWR|aCDMG
8	12252 63232	1	 * 	262.04	DCR|3VULN|3DUR|2TLV|1AART	1RCVC|259DUR|3TBNT|49TLV|69aVULN|7RCR|8AART|9BPWR
9	62252 63232	1	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1DMSP|259DUR|3TBNT|49TLV|69aVULN|7RCR|8AART|9BPWR
10	14662 13232	2	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1RCVC|29TLV|3BBNT|49aVULN|569DUR|7RCR|8AART|9BPWR
11	31523 11243	1	   	261.95	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aLIT
12	33523 11243	2	   	261.95	DCR|3VULN|3DMG|1TLV	18LHND|2LWND|358VULN|468DMG|7RCR|8BPWR|9TLV|aLIT
13	11536 22221	2	 * 	261.72	DCR|3VULN|3DMG|3TLV	1RCVC|289VULN|3RPLT|4RMIN|5BBNT|689TLV|789DMG|89BPWR|aRCR
14	11536 22221	1	   	261.72	DCR|3VULN|3DMG|3TLV	1RCVC|289VULN|3RPLT|4RMIN|5BBNT|689TLV|789DMG|89BPWR|aRCR
15	61536 22221	1	   	261.72	DCR|3VULN|3DMG|3TLV	1DMSP|289VULN|3RPLT|4RMIN|5BBNT|689TLV|789DMG|89BPWR|aRCR
