0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41124 33521	2	 * 	293.64	DCR|4VULN|3DMG|1TLV|1DUR	148FEWX|258DMG|3568VULN|58BPWR|7RCR|9DUR|aTLV
2	41124 33522	2	   	285.70	DCR|4VULN|3DMG|1DUR	148FEWX|258DMG|3568VULN|58BPWR|7RCR|9DUR|aLIT
3	24624 22131	5	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1RMIN|237DUR|36BPWR|46DMG|56aVULN|8TLV|9RCR
4	31143 32516	2	 * 	281.18	DCR|5VULN|2DMG|1TLV	18BEXP|28DMG|35678VULN|4DMSP|8BPWR|9TLV|aRCR
5	31144 33511	2	 * 	280.68	DCR|5VULN|3DMG	18BEXP|258DMG|35689VULN|4DMSP|58BPWR|7RCR|aCGEN
6	41124 33533	2	   	280.68	DCR|5VULN|3DMG	148FEWX|258DMG|35689VULN|58BPWR|7RCR|aLHND
7	31144 33513	2	   	280.58	DCR|5VULN|3DMG	18BEXP|258DMG|35689VULN|4DMSP|58BPWR|7RCR|aERES
8	41124 33532	2	   	280.58	DCR|5VULN|3DMG	148FEWX|258DMG|35689VULN|58BPWR|7RCR|aMBVNT
9	31144 33532	2	   	277.39	DCR|4VULN|3DMG|1DUR	18BEXP|258DMG|3568VULN|4DMSP|58BPWR|7RCR|9DUR|aMLV
10	41124 33213	2	   	277.39	DCR|4VULN|3DMG|1DUR	149FEWX|259DMG|3569VULN|59BPWR|7RCR|8RPLT|aDUR
11	41124 33513	2	   	277.39	DCR|4VULN|3DMG|1DUR	148FEWX|258DMG|3568VULN|58BPWR|7RCR|9RPLT|aDUR
12	41124 33523	2	   	277.39	DCR|4VULN|3DMG|1DUR	148FEWX|258DMG|3568VULN|58BPWR|7RCR|9DUR|aRMIN
13	41614 33213	2	   	277.39	DCR|4VULN|3DMG|1DUR	139FEWX|259DMG|4569VULN|59BPWR|7RCR|8RPLT|aDUR
14	31144 33533	2	   	277.29	DCR|4VULN|3DMG|1DUR	18BEXP|258DMG|3568VULN|4DMSP|58BPWR|7RCR|9DUR|aMBVNT
15	32452 14331	8	 * 	273.11	DCR|4VULN|3DUR|2ASPD	17BEXP|258aVULN|3DMSP|457DUR|57BPWR|67ASPD|9RCR
16	41144 33211	2	   	272.15	DCR|4VULN|3DMG|1ASPD	19FEWX|259DMG|3569VULN|4DMSP|59BPWR|7RCR|8RPLT|aASPD
17	62153 62322	1	   	269.95	DCR|4VULN|2DMG|1TLV	14aMLV|248aVULN|3BBNT|4aBPWR|5LIT|6RCR|7TLV|9aDMG
18	41124 33351	2	   	269.85	DCR|4VULN|2DMG|1DUR	14FEWX|25DMG|356aVULN|5BPWR|7RCR|8DUR|9LIT
19	12253 21453	2	   	269.61	DCR|3VULN|3DMG|1DUR|2LIT	1CGEN|269DMG|3DUR|4ZMB|569VULN|69BPWR|7MLV|89LIT|aRCR
20	52223 21453	2	   	269.61	DCR|3VULN|3DMG|1DUR|2LIT	1ZMB|269DMG|3DUR|4CGEN|569VULN|69BPWR|7MLV|89LIT|aRCR
21	52323 21453	3	   	269.61	DCR|3VULN|3DMG|1DUR|2LIT	1ZMB|269DMG|3DUR|4CGEN|569VULN|69BPWR|7MLV|89LIT|aRCR
22	52323 21453	4	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	1ZMB|269DMG|3DUR|4ERES|569VULN|69BPWR|7MLV|89LIT|aRCR
23	52323 22453	4	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	1ZMB|269DMG|3DUR|4ERES|569VULN|69BPWR|7CGEN|89LIT|aRCR
24	52134 26131	1	   	267.85	DCR|4VULN|3DUR|1TLV	1ZMB|245DUR|357aVULN|5BPWR|6ERES|8TLV|9RCR
25	31143 33563	2	   	267.35	DCR|4VULN|2DMG|1CDMG	18BEXP|28DMG|3568VULN|4DMSP|7RCR|8BPWR|9CDMG|aLIT
26	24624 22132	5	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	1RMIN|237DUR|36BPWR|46DMG|56VULN|8TLV|9RCR|aASPD
27	62231 22633	2	 * 	267.02	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	1MLV|279DMG|3DUR|4LIT|59VULN|6ASPD|89TLV|9BPWR|aRCR
28	62331 22633	3	   	267.02	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	1MLV|279DMG|3DUR|4LIT|59VULN|6ASPD|89TLV|9BPWR|aRCR
29	66231 22433	1	   	267.02	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	1MLV|29TLV|3DUR|4LIT|59VULN|6ASPD|789DMG|9BPWR|aRCR
30	52315 22231	8	   	266.91	DCR|3VULN|3DUR|2DMG	18ZMB|25DMG|358DUR|4RCVC|58BPWR|6RMIN|78aVULN|9RCR
