0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21522 21224	10	 * 	286.97	DCR|3VULN|3DUR|2DMG|3TLV	156TLV|28aDUR|3aDMG|458BEXP|58aBPWR|78aVULN|9RCR
2	26162 21252	8	 * 	281.11	DCR|4VULN|3DMG|3TLV	126TLV|289BPWR|389LWND|4789VULN|589DMG|aRCR
3	21153 21123	10	 * 	271.56	DCR|4VULN|3DUR|2TLV	19TLV|289DUR|3DUST|4ERES|579aVULN|6RCR|9BPWR
4	21223 21621	9	   	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aASPD
5	21233 21621	9	   	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aASPD
6	21523 63431	6	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG|1NUKE	19TLV|289DUR|3DMG|4BEXP|579VULN|6NUKE|9BPWR|aRCR
7	21533 63431	6	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG|1NUKE	19TLV|289DUR|3DMG|4FEWX|579VULN|6NUKE|9BPWR|aRCR
8	21223 21624	9	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aAART
9	21233 21624	9	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aAART
10	14653 21123	10	   	267.75	DCR|4VULN|3DUR|1TLV	19DUST|289DUR|3TLV|4ERES|579aVULN|6RCR|9BPWR
11	23355 23513	6	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2MLV|3489VULN|5CDMG|6DMG|7LIT|aRCR
12	21552 22531	7	 * 	262.39	DCR|2VULN|3DMG|2DUR|3TLV	19aTLV|29DUR|36aDMG|4aVULN|589ZMB|7RCR|9aBPWR
13	21113 43561	6	 * 	261.15	DCR|4VULN|2ASPD|1TLV|1DUR	1TLV|2DUR|3DUST|4aASPD|5678VULN|9RCR
14	23355 23613	6	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2MLV|349VULN|5CDMG|68DMG|7LIT|aRCR
15	21233 21655	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1TLV|2DUR|3MLV|4FEWX|578aVULN|6RCR|9DMG
16	21153 21625	10	   	259.90	DCR|4VULN|1DMG|1DUR|1TLV	1TLV|2DUR|3DUST|4ERES|579aVULN|6RCR|8DMG
17	26412 36211	8	   	259.86	DCR|2VULN|3DUR|2DMG|3TLV	125TLV|258BPWR|3DMSP|458DUR|68VULN|78DMG|9RCR|aCGEN
18	26412 36213	8	   	259.86	DCR|2VULN|3DUR|2DMG|3TLV	125TLV|258BPWR|3DMSP|458DUR|68VULN|78DMG|9RCR|aFEWX
19	26412 36212	8	   	259.76	DCR|2VULN|3DUR|2DMG|3TLV	125TLV|258BPWR|3DMSP|458DUR|68VULN|78DMG|9RCR|aDUST
20	21523 61431	6	   	259.76	DCR|2VULN|3DUR|2DMG|2TLV|1NUKE	19TLV|289DUR|37DMG|4BEXP|59VULN|6NUKE|9BPWR|aRCR
21	21533 61431	6	   	259.76	DCR|2VULN|3DUR|2DMG|2TLV|1NUKE	19TLV|289DUR|37DMG|4FEWX|59VULN|6NUKE|9BPWR|aRCR
22	21223 21126	10	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	19TLV|289DUR|3MLV|4BEXP|579VULN|6RCR|9BPWR|aAART
23	21233 21126	10	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	19TLV|289DUR|3MLV|4FEWX|579VULN|6RCR|9BPWR|aAART
24	21512 13528	10	   	258.61	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	19TLV|2DUR|359DMG|4CGEN|6ASPD|7MBVNT|89VULN|9BPWR|aRCR
25	21223 21621	10	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aRPLT
26	21223 21622	9	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aCGEN
27	21223 21623	9	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aLHND
28	21223 21624	10	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aZMB
29	21223 21626	10	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aFEWX
30	21233 21621	10	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aRPLT
31	21233 21622	9	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aCGEN
32	21233 21623	9	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aLHND
33	21233 21624	10	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aZMB
34	21233 21626	10	   	258.54	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4aFEWX|5789VULN|6RCR|9BPWR
35	21223 21622	10	   	258.44	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aERES
36	21223 21625	9	   	258.44	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4BEXP|5789VULN|6RCR|9BPWR|aERES
37	21233 21622	10	   	258.44	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aERES
38	21233 21625	9	   	258.44	DCR|4VULN|2DUR|2TLV	19TLV|29DUR|3MLV|4FEWX|5789VULN|6RCR|9BPWR|aERES
39	24162 21252	10	   	258.27	DCR|3VULN|3DMG|3TLV	126TLV|38LWND|478VULN|589DMG|8BPWR|aRCR
40	26162 21252	10	   	258.27	DCR|3VULN|3DMG|3TLV	126TLV|28BPWR|38LWND|478VULN|589DMG|aRCR
41	23355 25222	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2MLV|348aVULN|5CDMG|6DMG|7FEWX|9RCR
42	23355 32531	6	 * 	257.23	DCR|4VULN|2TLV|2CDMG|1AART	1aTLV|2MLV|347aVULN|5aCDMG|6AART|8TBNT|9RCR|aBPWR
