0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25332 11553	1	 * 	286.70	DCR|5VULN|3DMG|3LIT	12589VULN|389DMG|4TBNT|6MBVNT|789LIT|89BPWR|aRCR
2	25252 13411	10	 * 	284.97	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	189VULN|2CGEN|38DMG|46ASPD|5TLV|78DUR|8BPWR|aRCR
3	61152 13411	10	   	284.97	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	18DMG|2CGEN|389VULN|46ASPD|5TLV|78DUR|8BPWR|aRCR
4	24252 13411	10	   	284.87	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	189VULN|2ERES|38DMG|46ASPD|5TLV|78DUR|8BPWR|aRCR
5	25361 41121	1	 * 	284.15	DCR|5VULN|1TLV|1DMG|1DUR	1258aVULN|3DMG|4TLV|6RCR|7DUR|9ASPD
6	25352 32111	1	   	284.04	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	127VULN|37DMG|4LWND|5CDMG|67ASPD|7BPWR|8DUR|9RCR|aTLV
7	35631 36111	7	   	284.04	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	17ASPD|27DMG|3CDMG|4BEXP|567VULN|7BPWR|8DUR|9RCR|aTLV
8	21332 61134	2	 * 	283.98	DCR|4VULN|2TLV|2DUR|3ASPD	158aVULN|26aASPD|3LHND|45TLV|5aBPWR|7aDUR|9RCR
9	21532 61134	3	   	283.98	DCR|4VULN|2TLV|2DUR|3ASPD	158aVULN|26aASPD|3LWND|45TLV|5aBPWR|7aDUR|9RCR
10	21132 61134	3	   	283.88	DCR|4VULN|2TLV|2DUR|3ASPD	158aVULN|26aASPD|3DUST|45TLV|5aBPWR|7aDUR|9RCR
11	25363 41121	1	 * 	283.40	DCR|4VULN|2DMG|1TLV|1DUR	128aVULN|35DMG|4TLV|6RCR|7DUR|9ASPD
12	25361 41133	1	 * 	279.23	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	1258VULN|3DMG|4aTLV|6RCR|7DUR|9CDMG
13	25252 23411	10	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|26CGEN|38DMG|4ASPD|5TLV|78DUR|8BPWR|aRCR
14	25252 33411	10	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2CGEN|38DMG|4ASPD|5TLV|6DMSP|78DUR|8BPWR|aRCR
15	61152 23411	10	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|26CGEN|389VULN|4ASPD|5TLV|78DUR|8BPWR|aRCR
16	61152 33411	10	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|2CGEN|389VULN|4ASPD|5TLV|6DMSP|78DUR|8BPWR|aRCR
17	25323 41133	1	 * 	276.90	DCR|4VULN|3DUR|2DMG	1289VULN|34DMG|59CGEN|6RCR|79aDUR|9BPWR
18	21152 62134	1	   	276.55	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aTLV|36ASPD|45DUR|5aBPWR|7aLWND|9RCR
19	21252 16134	2	   	276.55	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aASPD|37TLV|45DUR|5aBPWR|6aLWND|9RCR
20	21252 26134	2	   	276.55	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aASPD|37TLV|45DUR|5aBPWR|6aLHND|9RCR
21	21332 21134	2	   	276.55	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aASPD|36LHND|45TLV|5aBPWR|7aDUR|9RCR
22	21532 11134	3	   	276.55	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aASPD|36LWND|45TLV|5aBPWR|7aDUR|9RCR
23	22232 61134	3	   	276.55	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aLWND|36ASPD|45TLV|5aBPWR|7aDUR|9RCR
24	23232 61134	3	   	276.55	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aLHND|36ASPD|45TLV|5aBPWR|7aDUR|9RCR
25	21125 61134	1	   	276.45	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aTLV|36ASPD|4BEXP|7aDUR|9RCR|aBPWR
26	21112 61134	1	   	276.35	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aTLV|36ASPD|45DUST|5aBPWR|7aDUR|9RCR
27	21115 61134	1	   	276.35	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aTLV|36ASPD|4DUST|7aDUR|9RCR|aBPWR
28	26232 61134	3	   	276.35	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aDUST|36ASPD|45TLV|5aBPWR|7aDUR|9RCR
29	21152 63134	1	   	276.35	DCR|4VULN|2TLV|2DUR|2ASPD	158aVULN|2aTLV|36ASPD|45DUR|5aBPWR|7aDUST|9RCR
30	21252 62134	2	   	275.90	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|26aASPD|3TLV|45DUR|5aBPWR|7aLWND|9RCR
31	21161 21134	2	   	275.80	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|23aASPD|4TLV|6LWND|7aDUR|9RCR|aBPWR
32	21161 31134	2	   	275.80	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|23aASPD|4TLV|6LHND|7aDUR|9RCR|aBPWR
33	21225 61134	2	   	275.80	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|26aASPD|3TLV|4BEXP|7aDUR|9RCR|aBPWR
34	21335 61134	2	   	275.80	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|26aASPD|3LHND|4TLV|7aDUR|9RCR|aBPWR
35	25363 41133	1	 * 	275.77	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	128VULN|35DMG|4aTLV|6RCR|7DUR|9CDMG
36	21135 61134	3	   	275.70	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|26aASPD|3DUST|4TLV|7aDUR|9RCR|aBPWR
37	21212 61134	2	   	275.70	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|26aASPD|3TLV|45DUST|5aBPWR|7aDUR|9RCR
38	21215 61134	2	   	275.70	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|26aASPD|3TLV|4DUST|7aDUR|9RCR|aBPWR
39	21252 63134	2	   	275.70	DCR|4VULN|2DUR|1TLV|3ASPD	158aVULN|26aASPD|3TLV|45DUR|5aBPWR|7aDUST|9RCR
40	35121 51511	10	 * 	275.14	DCR|4VULN|3ASPD|3LIT|1DMG|1DUR	189ASPD|2DMG|3789VULN|4BEXP|5DUR|689LIT|89BPWR|aRCR
41	35132 32625	9	 * 	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	17ASPD|289DMG|367VULN|4BELT|57DUR|7BPWR|aRCR
42	25323 41136	1	   	273.33	DCR|4VULN|2DMG|2DUR|1AART	1289VULN|34DMG|59CGEN|6RCR|79DUR|9BPWR|aAART
43	25361 41131	1	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1258VULN|3DMG|4TLV|6RCR|7DUR|9CDMG|aBEXP
44	25361 41132	1	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1258VULN|3DMG|4TLV|6RCR|7DUR|9CDMG|aBBNT
45	23131 55633	5	   	269.20	DCR|3VULN|2DUR|1TLV|1DMG|1AART	147VULN|27LHND|3LIT|5DMG|67DUR|7BPWR|8AART|9RCR|aTLV
46	25361 15213	1	   	269.16	DCR|5VULN|1TLV|1DMG|1AART	12589VULN|3DMG|4TLV|6BBNT|7AART|aRCR
47	21152 21134	1	   	268.71	DCR|4VULN|2TLV|2DUR	158aVULN|2aTLV|3ASPD|45DUR|5aBPWR|67aLHND|9RCR
48	22232 11134	3	   	268.71	DCR|4VULN|2TLV|2DUR	158aVULN|26aLWND|3ASPD|45TLV|5aBPWR|7aDUR|9RCR
49	23232 21134	3	   	268.71	DCR|4VULN|2TLV|2DUR	158aVULN|26aLHND|3ASPD|45TLV|5aBPWR|7aDUR|9RCR
50	35121 53511	10	 * 	268.67	DCR|3VULN|2DUR|3ASPD|3LIT|1DMG	189ASPD|2DMG|389VULN|4BEXP|57DUR|689LIT|89BPWR|aRCR
51	21152 16134	1	 * 	268.61	DCR|4VULN|3TLV|2DUR	158aVULN|27aTLV|3ASPD|45DUR|5aBPWR|6aLWND|9RCR
52	21152 26134	1	   	268.61	DCR|4VULN|3TLV|2DUR	158aVULN|27aTLV|3ASPD|45DUR|5aBPWR|6aLHND|9RCR
53	21252 21134	2	   	268.47	DCR|4VULN|2DUR|1TLV|2ASPD	158aVULN|2aASPD|3TLV|45DUR|5aBPWR|67aLHND|9RCR
54	21335 21134	2	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	158aVULN|2aASPD|36LHND|4TLV|7aDUR|9RCR|aBPWR
55	21535 11134	3	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	158aVULN|2aASPD|36LWND|4TLV|7aDUR|9RCR|aBPWR
56	22235 61134	3	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	158aVULN|2aLWND|36ASPD|4TLV|7aDUR|9RCR|aBPWR
57	23235 61134	3	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	158aVULN|2aLHND|36ASPD|4TLV|7aDUR|9RCR|aBPWR
58	34261 21134	2	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	1aASPD|2RCVC|358aVULN|4TLV|6LWND|7aDUR|9RCR|aBPWR
59	34261 31134	2	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	1aASPD|2RCVC|358aVULN|4TLV|6LHND|7aDUR|9RCR|aBPWR
60	35261 21134	1	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	1aASPD|2DMSP|358aVULN|4TLV|6LWND|7aDUR|9RCR|aBPWR
61	35261 31134	1	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	1aASPD|2DMSP|358aVULN|4TLV|6LHND|7aDUR|9RCR|aBPWR
62	21161 41143	2	   	268.17	DCR|4VULN|2DUR|1TLV|2ASPD	1589VULN|23ASPD|4TLV|6RCR|7aDUR
63	41631 12134	7	 * 	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	15aDUR|26aASPD|3TLV|4FEWX|78aVULN|9RCR|aBPWR
64	22144 42111	2	   	267.89	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	157VULN|27LWND|3CDMG|4ZMB|67DMG|7BPWR|8DUR|9RCR|aTLV
65	62631 36111	7	   	267.89	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	17DMG|27ZMB|3CDMG|4BEXP|567VULN|7BPWR|8DUR|9RCR|aTLV
66	25361 43121	1	   	267.80	DCR|5VULN|1TLV|1DMG	1258aVULN|3DMG|4TLV|6RCR|7MBVNT|9ASPD
67	25352 32311	1	   	267.79	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	127VULN|37DMG|4LWND|5CDMG|67ASPD|7BPWR|8LHND|9RCR|aTLV
68	35631 36311	7	   	267.79	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	17ASPD|27DMG|3CDMG|4BEXP|567VULN|7BPWR|8LHND|9RCR|aTLV
69	25363 41131	1	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	128VULN|35DMG|4TLV|6RCR|7DUR|9CDMG|aBEXP
70	25324 41133	1	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	128VULN|34DMG|5ERES|6RCR|7DUR|9CDMG|aTLV
71	25363 41132	1	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	128VULN|35DMG|4TLV|6RCR|7DUR|9CDMG|aBBNT
72	25363 43121	1	   	267.05	DCR|4VULN|2DMG|1TLV	128aVULN|35DMG|4TLV|6RCR|7MBVNT|9ASPD
73	43331 32243	1	 * 	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	179DUR|29VULN|3RMIN|4TLV|5BEXP|69DMG|8AART|9BPWR|aRCR
74	25326 32631	1	   	266.73	DCR|5VULN|3DMG	1256aVULN|345DMG|5BPWR|78RCVC|9RCR
75	25326 36322	1	   	266.73	DCR|5VULN|3DMG	1256aVULN|345DMG|5BPWR|7RCR|8RPLT|9MLV
76	64226 32131	2	   	266.73	DCR|5VULN|3DMG	145DMG|27RCVC|3568aVULN|5BPWR|9RCR
77	65226 32131	1	   	266.73	DCR|5VULN|3DMG	145DMG|2DMSP|3568aVULN|5BPWR|7RCVC|9RCR
78	25323 62134	1	   	266.73	DCR|5VULN|3DMG	1268aVULN|347DMG|5aCGEN|9RCR|aBPWR
79	25326 42133	1	   	266.36	DCR|4VULN|3DMG|1AART	1257VULN|345DMG|57BPWR|6RPLT|8AART|9RCR|aLIT
80	25361 41112	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1258VULN|3DMG|4TLV|6RCR|7DUR|9CGEN|aLIT
81	45322 13511	10	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2CGEN|3479VULN|5TLV|6ASPD|8DMG|aRCR
82	25361 41123	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1258VULN|3DMG|4TLV|6RCR|7DUR|9ASPD|aRMIN
83	66152 31311	1	 * 	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	15DMG|2aTLV|38VULN|45DUR|5BPWR|6CDMG|7LWND|9RCR
84	24256 23111	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1679VULN|2ERES|3DMG|4ASPD|5DUR|8TLV|aRCR
85	25361 41122	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1258VULN|3DMG|4TLV|6RCR|7DUR|9ASPD|aDLOT
86	44322 13511	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2ERES|3479VULN|5TLV|6ASPD|8DMG|aRCR
87	25352 32133	1	 * 	265.27	DCR|3VULN|2DMG|3ASPD|1DUR|1CDMG	127VULN|37DMG|4LWND|5CDMG|679ASPD|7BPWR|8DUR|aRCR
88	35631 36133	7	   	265.27	DCR|3VULN|2DMG|3ASPD|1DUR|1CDMG	179ASPD|27DMG|3CDMG|4BEXP|567VULN|7BPWR|8DUR|aRCR
89	25252 31311	3	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	158VULN|2CGEN|3DMG|45DUR|5BPWR|6CDMG|7LWND|9RCR|aTLV
90	24252 31311	3	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	158VULN|2ERES|3DMG|45DUR|5BPWR|6CDMG|7LWND|9RCR|aTLV
91	25326 36311	1	   	264.64	DCR|4VULN|3DMG|1DUR	1256VULN|345DMG|5BPWR|7RCR|8RPLT|9LWND|aDUR
92	25331 41132	3	 * 	264.43	DCR|5VULN|2DUR|1DMG	13589VULN|2CGEN|49ZMB|6RCR|79DUR|9BPWR|aDMG
93	25143 41131	1	   	264.43	DCR|5VULN|2DUR|1DMG	12389VULN|4DMG|59CGEN|6RCR|79DUR|9BPWR|aLHND
94	25343 41131	1	   	264.43	DCR|5VULN|2DUR|1DMG	12489VULN|3DMG|59CGEN|6RCR|79DUR|9BPWR|aLHND
95	25311 41132	3	   	264.33	DCR|5VULN|2DUR|1DMG|1NUKE	13589VULN|29CGEN|4NUKE|6RCR|79DUR|9BPWR|aDMG
96	25143 41132	1	   	264.33	DCR|5VULN|2DUR|1DMG|1NUKE	12389VULN|4DMG|59CGEN|6RCR|79DUR|9BPWR|aNUKE
97	25343 41132	1	   	264.33	DCR|5VULN|2DUR|1DMG|1NUKE	12489VULN|3DMG|59CGEN|6RCR|79DUR|9BPWR|aNUKE
98	25224 63311	10	   	263.77	DCR|4VULN|2DMG|2DUR	1589VULN|28CGEN|36DMG|45BEXP|58BPWR|78DUR|aRCR
99	25231 53513	10	   	263.75	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2CGEN|378DMG|4FEWX|5DUR|678LIT|78BPWR|9MLV|aRCR
100	61131 53513	10	   	263.75	DCR|3VULN|3DMG|3LIT|1DUR	178DMG|2CGEN|378VULN|4FEWX|5DUR|678LIT|78BPWR|9MLV|aRCR
101	62121 11511	10	   	263.75	DCR|3VULN|3DMG|3LIT|1DUR	189DMG|26ZMB|389VULN|4BEXP|5DUR|789LIT|89BPWR|aRCR
102	62121 21511	10	   	263.75	DCR|3VULN|3DMG|3LIT|1DUR	189DMG|2ZMB|389VULN|46BEXP|5DUR|789LIT|89BPWR|aRCR
103	62161 11511	10	   	263.75	DCR|3VULN|3DMG|3LIT|1DUR	189DMG|26ZMB|389VULN|4FEWX|5DUR|789LIT|89BPWR|aRCR
104	25323 41132	1	   	263.67	DCR|4VULN|2DMG|2DUR	1289VULN|34DMG|59CGEN|6RCR|79DUR|9BPWR|aBELT
105	25323 41135	1	   	263.67	DCR|4VULN|2DMG|2DUR	1289VULN|34DMG|59CGEN|6RCR|79DUR|9BPWR|aFEWX
