0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12261 33225	8	 * 	276.22	DCR|4VULN|3DUR|2LIT|1AART	1LEGI|2379VULN|49LIT|5AART|6RCR|89aDUR|9BPWR
2	12251 54333	3	 * 	272.77	DCR|5VULN|2DUR|2LIT	1LEGI|2369aVULN|4ERES|59LIT|79DUR|8RCR|9BPWR
3	15263 27433	7	 * 	270.66	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1LEGI|2aDUR|39aVULN|4DMG|5MBVNT|6CDMG|7RCR|8aASPD|aBPWR
4	23126 51252	7	 * 	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	19LWND|267DUR|3CDMG|49DMG|59VULN|8RCR|9BPWR|aTLV
5	12251 54332	3	   	269.48	DCR|4VULN|2DUR|1TLV|2LIT	1LEGI|2369VULN|4ERES|59LIT|79DUR|8RCR|9BPWR|aTLV
6	15253 23321	10	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG	1LEGI|28DUR|389aVULN|4MLV|5CDMG|68LIT|7RCR|8BPWR
7	15253 23322	9	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG	1LEGI|28DUR|389aVULN|4MLV|5CDMG|68LIT|7RCR|8BPWR
8	32365 33316	4	 * 	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aCDMG
9	32366 33316	5	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	135ERES|259VULN|4MBVNT|59BPWR|6RCR|79DUR|89DMG|aCDMG
10	15233 23322	9	   	266.88	DCR|4VULN|2DUR|2LIT|1CDMG	1LEGI|28DUR|389aVULN|4ERES|5CDMG|68LIT|7RCR|8BPWR
11	12242 53362	9	 * 	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|23aVULN|47aDUR|5ERES|6MLV|8RCR|9aDMG|aBPWR
12	21251 54333	3	   	266.32	DCR|5VULN|2DUR	19LWND|2369aVULN|4ERES|5LIT|79DUR|8RCR|9BPWR
13	21264 24333	6	   	266.32	DCR|5VULN|2DUR	19LWND|2369aVULN|4LIT|5ERES|79DUR|8RCR|9BPWR
14	12264 24333	6	   	266.12	DCR|5VULN|2DUR	1LEGI|2369aVULN|4LIT|59ERES|79DUR|8RCR|9BPWR
15	15253 23324	9	   	264.40	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1LEGI|28DUR|389VULN|4MLV|5CDMG|68LIT|7RCR|8BPWR|aDMG
16	12123 52538	7	 * 	264.31	DCR|3VULN|3DMG|3CDMG	1LEGI|278VULN|378CDMG|478DMG|5MBVNT|6RPLT|78BPWR|9ERES|aRCR
17	15233 23324	9	   	264.30	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1LEGI|28DUR|389VULN|4ERES|5CDMG|68LIT|7RCR|8BPWR|aDMG
