0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22242 31233	8	 * 	289.49	DCR|5VULN|2DMG|1TLV	18FEWX|2789aVULN|3TLV|4LIT|58DMG|6RCR|8BPWR
2	22242 31232	10	   	280.95	DCR|4VULN|2DMG|1TLV|1ASPD	18FEWX|278aVULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9ASPD
3	22242 31225	8	 * 	278.14	DCR|3VULN|2DMG|2DUR|1TLV	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9aDUR
4	32164 33362	3	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1LHND|23aVULN|4LIT|5CGEN|6aDMG|7RCR|8TLV|9aDUR|aBPWR
5	32442 33362	4	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1LHND|25aVULN|3CGEN|4LIT|6aDMG|7RCR|8TLV|9aDUR|aBPWR
6	32461 33362	3	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1LHND|24aVULN|3CGEN|5LIT|6aDMG|7RCR|8TLV|9aDUR|aBPWR
7	22242 31213	9	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	18FEWX|278aVULN|3TLV|49LIT|58DMG|6RCR|8BPWR
8	22242 33233	8	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	18FEWX|289aVULN|3TLV|47LIT|58DMG|6RCR|8BPWR
9	24422 31233	8	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	18FEWX|28LIT|379aVULN|4TLV|58DMG|6RCR|8BPWR
10	62242 31213	9	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	18LWND|278aVULN|3TLV|49LIT|58DMG|6RCR|8BPWR
11	22242 31231	9	   	274.56	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	18FEWX|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9ASPD|aDUR
12	62242 31231	9	   	274.56	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	18LWND|278VULN|3TLV|4LIT|58DMG|6RCR|8BPWR|9ASPD|aDUR
13	22242 31235	8	 * 	273.66	DCR|4VULN|2DMG|2TLV	18FEWX|2789VULN|3aTLV|4LIT|58DMG|6RCR|8BPWR
