0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64343 11222	10	 * 	279.00	DCR|4VULN|2DMG|1TLV|2CDMG	1RMIN|2479VULN|37CDMG|57DMG|6RCVC|7BPWR|8RCR|aTLV
2	43221 25223	5	 * 	278.34	DCR|3VULN|3DMG|2DUR|3LIT	17aLIT|27aDMG|3BEXP|4RMIN|59DUR|67aVULN|7aBPWR|8RCR
3	43422 25223	5	   	278.24	DCR|3VULN|3DMG|2DUR|3LIT	17aLIT|27aDMG|39DUR|4RMIN|5DUST|67aVULN|7aBPWR|8RCR
4	12416 12611	2	 * 	271.50	DCR|3VULN|3DMG|3DUR	128DUR|389VULN|4CGEN|5LWND|678DMG|8BPWR|aRCR
5	12453 12611	2	   	271.50	DCR|3VULN|3DMG|3DUR	128DUR|389VULN|4BEXP|5CGEN|678DMG|8BPWR|aRCR
6	12652 12611	4	   	271.40	DCR|3VULN|3DMG|3DUR	128DUR|378DMG|4BEXP|5ERES|689VULN|8BPWR|aRCR
7	12662 12611	4	   	271.40	DCR|3VULN|3DMG|3DUR	128DUR|378DMG|4LWND|5ERES|689VULN|8BPWR|aRCR
8	12663 12611	5	   	271.40	DCR|3VULN|3DMG|3DUR	128DUR|378DMG|4LWND|5ERES|689VULN|8BPWR|aRCR
9	12443 12611	2	   	271.40	DCR|3VULN|3DMG|3DUR	128DUR|389VULN|4DUST|5CGEN|678DMG|8BPWR|aRCR
10	12632 12611	3	   	271.30	DCR|3VULN|3DMG|3DUR	128DUR|378DMG|4DUST|5ERES|689VULN|8BPWR|aRCR
11	12621 23552	5	   	270.60	DCR|3VULN|3DUR|2DMG|2LIT	129DUR|39DMG|47LIT|5ERES|689VULN|9BPWR|aRCR
12	12434 34715	1	 * 	268.99	DCR|3VULN|3DUR|2TLV	189DUR|259VULN|3MBVNT|4ASPD|6LIT|79TLV|9BPWR|aRCR
13	12251 13613	9	 * 	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	12DUR|3RPLT|456aVULN|7TLV|8RCR|9CDMG
14	12251 13663	9	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	12DUR|3RPLT|4569VULN|7TLV|8RCR|aCDMG
