0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11451 33411	8	 * 	279.59	DCR|5VULN|2DMG|2LIT	1aERES|2aLIT|34679VULN|5aDMG|8RCR|aBPWR
2	52234 13341	8	 * 	278.54	DCR|2VULN|3DMG|2DUR|2CDMG|1TLV	1RPLT|249DMG|39DUR|5TLV|6aVULN|7RCR|89CDMG|9BPWR
3	52234 13411	10	 * 	275.52	DCR|2VULN|3DMG|3DUR|2TLV	1RPLT|24aDMG|389DUR|5aTLV|6aVULN|7RCR|aBPWR
4	32115 33143	10	   	274.96	DCR|4VULN|1DMG|1TLV|1DUR|2LIT	13LIT|2TLV|4DMG|5679VULN|8DUR|aRCR
5	32115 33164	8	   	274.96	DCR|4VULN|1DMG|1TLV|1DUR|2LIT	13LIT|2TLV|4DMG|567aVULN|8DUR|9RCR
6	32115 33414	8	   	274.96	DCR|4VULN|1DMG|1TLV|1DUR|2LIT	13LIT|2TLV|4DMG|5679VULN|8RCR|aDUR
7	12552 32141	7	   	273.63	DCR|4VULN|2DMG|2AART|1ASPD	17ERES|237aVULN|45AART|67DMG|7BPWR|8RCR|9ASPD
8	52233 45322	10	   	273.52	DCR|2VULN|3DMG|3DUR|1AART	1RPLT|247DMG|378DUR|5AART|67VULN|7BPWR|9RCR|aLIT
9	12534 13322	8	 * 	272.95	DCR|5VULN|2TLV|1DUR|1AART	149ERES|23459VULN|49BPWR|6AART|7RCR|89TLV|aDUR
10	12534 13342	9	   	272.95	DCR|5VULN|2TLV|1DUR|1AART	149ERES|23459VULN|49BPWR|6AART|7RCR|89TLV|aDUR
11	12534 13622	7	   	272.95	DCR|5VULN|2TLV|1DUR|1AART	149ERES|23459VULN|49BPWR|6AART|7RCR|89TLV|aDUR
12	32115 33431	10	   	272.36	DCR|4VULN|1DMG|1TLV|2LIT|1CDMG	13LIT|2TLV|4DMG|567aVULN|8RCR|9CDMG
13	21521 24343	1	   	271.70	DCR|5VULN|1DMG|1DUR	1FEWX|26789VULN|3DMG|4LIT|5DUR|aRCR
14	12534 33523	10	 * 	271.46	DCR|5VULN|2DUR|1CDMG	14ERES|23458VULN|4BPWR|6aDUR|7CDMG|9RCR
15	12534 13325	8	   	270.35	DCR|5VULN|2TLV|1CDMG|1AART	149ERES|23459VULN|49BPWR|6AART|7RCR|89TLV|aCDMG
16	32115 13264	8	   	269.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13LIT|2TLV|48DMG|57aVULN|6DUR|9RCR
