0	Index      	 *	Score 	Summary	Detail	
1	26531 23334	 * 	271.69	DCR|DCR|3VULN	1MDPS|256VULN|34AME|7AELOIC|8aRCR|9LIT
2	53332 53142	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2TLV|3BELT|49VULN|5DUR|6FEWX|7MSLFST|8aRCR
3	54132 33142	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BELT|3BEXP|4TLV|5DUR|69VULN|7MSLFST|8aRCR
4	54323 33142	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BELT|3DUR|4FEWX|5TLV|69VULN|7MSLFST|8aRCR
5	53332 63142	   	270.38	DCR|DCR|2VULN|1ASPD	1ASPD|2TLV|3BELT|49VULN|5DUR|6DUST|7MSLFST|8aRCR
6	64321 33142	   	270.38	DCR|DCR|2VULN|1ASPD	1ERES|2BELT|3DUR|4FEWX|5ASPD|69VULN|7MSLFST|8aRCR
7	62211 33142	   	270.28	DCR|DCR|2VULN|1ASPD	1ERES|2DUR|3DUST|4BELT|5ASPD|69VULN|7MSLFST|8aRCR
8	31252 26334	   	266.16	DCR|DCR|2VULN|1MLV	12DMSP|37VULN|4MLV|5FEWX|6LHND|8aRCR|9LIT
9	52133 26531	 * 	259.80	ACR|DCR|1VULN|2ASPD|1MLV|2DUR|1RPLT	16ASPD|26DUR|3RPLT|4aRCR|5BBNT|6BPWR|7VULN|8MLV|9DUST
10	31332 16334	   	256.83	DCR|DCR|2VULN	12DMSP|3LEGI|47VULN|5DUR|6CGEN|8aRCR|9LIT
11	31332 36334	   	256.83	DCR|DCR|2VULN	12DMSP|3LEGI|47VULN|5DUR|6RMIN|8aRCR|9LIT
12	31332 26334	   	256.73	DCR|DCR|2VULN	12DMSP|3LEGI|46VULN|5DUR|7ERES|8aRCR|9LIT
13	24211 46132	   	256.59	DCR|DCR|2VULN|1ZMB	1MDPS|2AAC|3aVULN|4ZMB|5FEWX|6DUR|78RCR|9LHND
14	26442 13131	 * 	256.49	ACR|DCR|3VULN|1ASPD|1ZMB	1MDPS|29aVULN|3BELT|47RCR|5ZMB|6ASPD|8LIT
15	31126 32326	 * 	253.79	DCR|DCR|1VULN|2MLV	12DMSP|346LIT|56MLV|6BPWR|7BEXP|89RCR|aVULN
16	46273 13122	 * 	251.19	ACR|DCR|3VULN	18RCR|2LEGI|3MBVNT|4MDPS|57aVULN|6FEWX|9DUR
