0	Index      	 *	Score 	Summary	Detail	
1	26332 12631	 * 	285.26	DCR|DCR|3ASPD|1DMG|1MLV|2DUR|1RPLT	1SPLARM|2RPLT|35DUR|457ASPD|5BPWR|6DMG|8aRCR|9MLV
2	21113 34114	 * 	285.21	DCR|DCR|1VULN|2MLV|1CDMG|1AART	1SPLARM|2DUR|3VULN|48MLV|5AART|6LIT|79RCR|aCDMG
3	21113 34115	   	278.11	DCR|DCR|1VULN|2MLV|2DUR|1AART	1SPLARM|2aDUR|3VULN|48MLV|5AART|6LIT|79RCR
4	41124 24332	 * 	271.69	DCR|DCR|2VULN|2RPLT	1LWND|2FEWX|38VULN|46RPLT|5SPLJET|79RCR|aDUR
5	21113 34111	   	271.56	DCR|DCR|1VULN|2MLV|1AART	1SPLARM|2DUR|3VULN|48MLV|5AART|6LIT|79RCR|aLHND
6	21113 34112	   	271.46	DCR|DCR|1VULN|2MLV|1AART	1SPLARM|2DUR|3VULN|48MLV|5AART|6LIT|79RCR|aDUST
7	21113 34113	   	271.46	DCR|DCR|1VULN|2MLV|1AART	1SPLARM|2DUR|3VULN|48MLV|5AART|6LIT|79RCR|aERES
8	21113 34116	   	271.46	DCR|DCR|1VULN|2MLV|1AART|1MSE	1SPLARM|2DUR|3VULN|48MLV|5AART|6LIT|79RCR|aMSE
9	21113 34214	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|68LIT|79RCR|aCDMG
10	21113 34314	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|6LIT|79RCR|8DMSP|aCDMG
11	26332 12651	   	267.73	DCR|DCR|3ASPD|1DMG|2DUR|1RPLT	1SPLARM|2RPLT|35DUR|457ASPD|5BPWR|6DMG|8aRCR|9CGEN
12	41124 24331	   	263.38	DCR|DCR|2VULN|2RPLT	1LWND|2FEWX|38VULN|46RPLT|5SPLJET|79RCR|aLHND
13	41124 24333	   	263.28	DCR|DCR|2VULN|2RPLT	1LWND|2FEWX|38VULN|46RPLT|5SPLJET|79RCR|aBLAICY
14	21113 34215	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1AART	1SPLARM|2aDUR|3VULN|4MLV|5AART|68LIT|79RCR
15	21113 34315	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1AART	1SPLARM|2aDUR|3VULN|4MLV|5AART|6LIT|79RCR|8DMSP
16	11162 12416	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1CGEN|2VULN|3MLV|4RPLT|5MDPS|6ASPD|7aRCR|8RMIN|9BEXP
17	11162 12516	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1CGEN|2VULN|3MLV|4RPLT|5MDPS|6ASPD|7aRCR|8AME|9BEXP
18	51162 32316	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2VULN|3MLV|4RPLT|5MDPS|6RMIN|7aRCR|8ASPD|9BEXP
19	11333 34588	   	261.09	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1CGEN|2VULN|3ASPD|4MBVNT|5SPLREG|6ERES|7RPLT|8aRCR|9MLV
20	51162 12116	   	261.09	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2VULN|3MLV|4RPLT|5MDPS|6ASPD|7aRCR|8ERES|9BEXP
21	31644 24348	   	256.73	DCR|DCR|2VULN	1RMIN|2DUR|3MBVNT|4BEXP|5DLOT|6LWND|78VULN|9aRCR
22	31624 24348	   	256.63	DCR|DCR|2VULN	1RMIN|2DUR|3MBVNT|4DUST|5DLOT|6LWND|78VULN|9aRCR
23	21113 34211	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|68LIT|79RCR|aLHND
24	21113 34311	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|6LIT|79RCR|8DMSP|aLHND
25	26124 32432	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1SPLARM|2RPLT|3MLV|4LHND|5VULN|69RCR|7TBNT|8DUR|aAAC
26	21113 34212	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|68LIT|79RCR|aDUST
27	21113 34213	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|68LIT|79RCR|aERES
28	21113 34216	   	255.85	DCR|DCR|1VULN|1MLV|1AART|1MSE	1SPLARM|2DUR|3VULN|4MLV|5AART|68LIT|79RCR|aMSE
29	21113 34312	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|6LIT|79RCR|8DMSP|aDUST
30	21113 34313	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1SPLARM|2DUR|3VULN|4MLV|5AART|6LIT|79RCR|8DMSP|aERES
31	21113 34316	   	255.85	DCR|DCR|1VULN|1MLV|1AART|1MSE	1SPLARM|2DUR|3VULN|4MLV|5AART|6LIT|79RCR|8DMSP|aMSE
32	26124 32431	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1SPLARM|2RPLT|3MLV|4LHND|5VULN|69RCR|7TBNT|8DUR|aDUST
33	26124 32433	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1SPLARM|2RPLT|3MLV|4LHND|5VULN|69RCR|7TBNT|8DUR|aAELOIC
