0	Index      	 *	Score 	Summary	Detail	
1	42233 34312	 * 	284.54	DCR|DCR|2VULN|1MLV|1CDMG|1RPLT	1AME|2MDPS|3CDMG|4LHND|5RPLT|69VULN|7aRCR|8MLV
2	13211 43364	 * 	281.39	DCR|DCR|2VULN|1DMG|1MLV	1BBNT|2MLV|3DMG|4aVULN|5TLV|6RMIN|79RCR|8FRZFST
3	55513 11311	 * 	280.98	DCR|DCR|2DMG|1VULN|1MLV	15DMG|2MLV|3DUR|4VULN|6AME|7aRCR|8MSLFST|9BELT
4	13111 43364	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1BBNT|2MLV|3ASPD|4aVULN|5TLV|6RMIN|79RCR|8FRZFST
5	45513 11311	   	269.94	DCR|DCR|1VULN|1DMG|1MLV|2DUR	1AME|2MLV|36DUR|4VULN|5DMG|7aRCR|8MSLFST|9BELT
6	51363 36221	   	269.19	DCR|DCR|2DMG|1MLV|2DUR|1ASPD	13DMG|2DLOT|3BPWR|48DUR|5MLV|6ASPD|79RCR|aLWND
7	51363 36222	   	269.09	DCR|DCR|2DMG|1MLV|2DUR|1ASPD|1ZMB	13DMG|2DLOT|3BPWR|48DUR|5MLV|6ASPD|79RCR|aZMB
8	51363 36223	   	269.09	DCR|DCR|2DMG|1MLV|2DUR|1ASPD	13DMG|2DLOT|3BPWR|48DUR|5MLV|6ASPD|79RCR|aDUST
9	42233 34212	   	266.91	DCR|DCR|2VULN|1CDMG|1RPLT	1AME|2MDPS|3CDMG|4LHND|5RPLT|69VULN|7aRCR|8ERES
10	43333 62622	   	266.74	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1AME|2FEWX|3DUR|4CDMG|5RPLT|6aRCR|7VULN|8LHND|9MLV
11	55151 22111	 * 	266.71	DCR|2VULN|3MLV|2DMG|2ASPD	17DMG|23aMLV|4RCVC|57ASPD|67VULN|7BPWR|8RCR|9RMIN
12	43333 66222	   	266.64	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1AME|2FEWX|3DUR|4CDMG|5RPLT|6aRCR|7LEGI|8VULN|9MLV
13	44333 61222	   	266.64	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1AME|2DUST|3DUR|4CDMG|5RPLT|6aRCR|7BEXP|8VULN|9MLV
14	42233 34322	 * 	264.65	DCR|DCR|1VULN|2CDMG|1MLV|1RPLT	1AME|2MDPS|39CDMG|4LHND|5RPLT|6VULN|7aRCR|8MLV
15	12242 34342	   	264.61	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1BBNT|2ERES|3DMG|4ASPD|5AME|6VULN|7aRCR|8CDMG|9SELL
16	12211 43563	   	263.76	DCR|DCR|2VULN|1DMG	1BBNT|2ERES|3DMG|4aVULN|5TLV|6RMIN|79RCR|8SPLJET
17	53333 72722	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2FEWX|3DUR|4MBVNT|5RMIN|6aRCR|7VULN|8LWND|9MLV
18	53333 76222	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2FEWX|3DUR|4MBVNT|5RMIN|6aRCR|7LWND|8VULN|9MLV
19	53333 78222	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2FEWX|3DUR|4MBVNT|5RMIN|6aRCR|7LHND|8VULN|9MLV
