0	Index      	 *	Score 	Summary	Detail	
1	15226 22534	 * 	288.95	DCR|4VULN|3MLV|2DMG	18DMG|2589VULN|358MLV|4MBVNT|58BPWR|6RMIN|7RCVC|aRCR
2	15222 21358	 * 	275.63	DCR|DCR|2DMG|1VULN|1MLV	18DMG|2VULN|3MLV|4MBVNT|5LWND|6RMIN|7aRCR|9BBNT
3	41322 43222	 * 	275.62	DCR|DCR|2VULN|1MLV|1AART	1DUST|2AME|38VULN|4TBNT|5FLTARM|6AART|79RCR|aMLV
4	41342 43222	   	275.62	DCR|DCR|2VULN|1MLV|1AART	1DUST|2AME|38VULN|4BBNT|5FLTARM|6AART|79RCR|aMLV
5	15224 21358	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	18DMG|2VULN|3MLV|4MBVNT|5LEGI|6RMIN|7aRCR|9BBNT
6	44323 43222	   	275.52	DCR|DCR|2VULN|1MLV|1AART	1DUST|2ERES|38VULN|4TBNT|5VENICY|6AART|79RCR|aMLV
7	14324 22318	 * 	273.65	DCR|DCR|3DMG|1VULN	157DMG|2FEWX|3AME|4MBVNT|6RMIN|8aRCR|9VULN
8	52424 22318	   	273.65	DCR|DCR|3DMG|1VULN	1BEXP|257DMG|3AME|4MBVNT|6RMIN|8aRCR|9VULN
9	14324 32318	   	273.55	DCR|DCR|3DMG|1VULN	157DMG|2FEWX|3AME|4MBVNT|6ERES|8aRCR|9VULN
10	52424 32318	   	273.55	DCR|DCR|3DMG|1VULN	1BEXP|257DMG|3AME|4MBVNT|6ERES|8aRCR|9VULN
11	13643 32211	 * 	272.17	DCR|DCR|2MLV|3DUR|1DMG|1CDMG|1SELL	1DMG|24MLV|349DUR|4BPWR|5CDMG|6BELT|7SELL|8aRCR
12	15323 11161	 * 	270.01	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8LHND|9DUR|aRCR
13	15323 11661	   	270.01	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8FEWX|9DUR|aRCR
14	22232 32265	   	269.37	DCR|4VULN|2DMG|1AART|1RPLT	1RPLT|2aLHND|3DUR|4aDMG|5AART|678aVULN|9RCR|aBPWR
15	15226 31425	   	268.50	DCR|3VULN|3MLV|2DMG	18DMG|25aVULN|357MLV|4MBVNT|5BPWR|6ERES|9RCR
16	41322 43223	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1DUST|2AME|38VULN|4TBNT|5FLTARM|6AART|79RCR|aRPLT
17	41342 43223	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1DUST|2AME|38VULN|4BBNT|5FLTARM|6AART|79RCR|aRPLT
18	44323 43223	   	267.65	DCR|DCR|2VULN|1AART|1RPLT	1DUST|2ERES|38VULN|4TBNT|5VENICY|6AART|79RCR|aRPLT
19	35232 13661	   	266.06	DCR|DCR|2VULN|1MLV	1CGEN|26VULN|3MLV|4DUST|5LHND|7FLTHEA|89RCR|aBEXP
20	35232 13662	   	266.06	DCR|DCR|2VULN|1MLV	1aCGEN|26VULN|3MLV|4DUST|5LHND|7FLTHEA|89RCR
21	35232 13663	   	266.06	DCR|DCR|2VULN|1MLV	1CGEN|26VULN|3MLV|4DUST|5LHND|7FLTHEA|89RCR|aLWND
22	15321 62121	   	262.79	DCR|3VULN|2DMG|2MLV|1SELL	17DMG|237VULN|4TBNT|57MLV|6RMIN|7BPWR|8DUR|9SELL|aRCR
23	15323 11111	   	261.70	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8LHND|9LWND|aRCR
24	15323 11121	   	261.70	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8LHND|9BEXP|aRCR
25	15323 11311	   	261.70	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8LWND|9LHND|aRCR
26	15323 11321	   	261.70	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8LWND|9BEXP|aRCR
27	15323 11611	   	261.70	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8FEWX|9LWND|aRCR
28	15323 11621	   	261.70	DCR|4VULN|2DMG|2CDMG	17DMG|2367VULN|4TBNT|57CDMG|7BPWR|8FEWX|9BEXP|aRCR
29	22632 32265	   	261.06	DCR|4VULN|2DMG|1AART|1RPLT	1RPLT|2aLHND|3FEWX|4aDMG|5AART|678aVULN|9RCR|aBPWR
30	13122 15166	 * 	260.69	DCR|2VULN|2DMG|2MLV|2CDMG|1RPLT	19DMG|29MLV|3RPLT|4SNIFST|58CDMG|69VULN|7MDPS|9BPWR|aRCR
31	13134 63343	 * 	259.63	DCR|2VULN|2DMG|2ASPD|1MLV|1RPLT	19DMG|2MLV|3RPLT|49VULN|5AAC|6DUR|7AME|89ASPD|9BPWR|aRCR
32	15323 63236	   	259.52	DCR|3VULN|2DMG|2CDMG|1AART	18DMG|238VULN|4TBNT|58CDMG|6BELT|7AART|8BPWR|9DUR|aRCR
33	42324 33142	 * 	259.19	DCR|5VULN|2DMG	1DUST|26DMG|35689VULN|4TBNT|6BPWR|7TLV|aRCR
34	42324 31142	   	259.09	DCR|5VULN|2DMG	1DUST|26DMG|35689VULN|4TBNT|6BPWR|7ERES|aRCR
