0	Index      	 *	Score 	Summary	Detail	
1	43223 35325	 * 	305.60	DCR|DCR|3VULN|1DMG|1ASPD	13aVULN|2DMG|4ASPD|5BBNT|69RCR|7ERES|8DLOT
2	33233 54124	 * 	305.37	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DMG|4DUR|5VULN|6FEWX|79MLV|8aRCR
3	33233 24124	   	305.27	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DMG|4DUR|5VULN|6LEGI|79MLV|8aRCR
4	33233 64124	   	305.27	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DMG|4DUR|5VULN|6DUST|79MLV|8aRCR
5	33211 54124	   	297.07	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DMG|4VULN|5BEXP|6FEWX|79MLV|8aRCR
6	33211 24124	   	296.97	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DMG|4VULN|5BEXP|6LEGI|79MLV|8aRCR
7	33211 64124	   	296.97	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DMG|4VULN|5BEXP|6DUST|79MLV|8aRCR
8	33216 34124	   	296.97	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DMG|4VULN|5LEGI|6LHND|79MLV|8aRCR
9	33333 54124	   	296.97	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DUST|4DMG|5VULN|6FEWX|79MLV|8aRCR
10	33631 24124	   	296.97	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3VULN|4DMG|5BEXP|6LEGI|79MLV|8aRCR
11	33333 24124	   	296.87	DCR|DCR|1VULN|2MLV|1DMG|1ASPD	1ASPD|2RPLT|3DUST|4DMG|5VULN|6LEGI|79MLV|8aRCR
12	33621 24413	   	292.10	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2RPLT|36VULN|4BBNT|56FEWX|6BPWR|7DMG|8aRCR|9LIT
13	41325 31533	   	289.38	DCR|DCR|3VULN|1MLV|1SELL	158VULN|2BEXP|3MLV|4SELL|6LHND|7CGEN|9aRCR
14	41153 23533	   	285.64	DCR|DCR|3VULN|1CDMG	168VULN|2BEXP|3LHND|4CDMG|5AELOIC|7LWND|9aRCR
15	32262 35522	 * 	283.61	DCR|DCR|1VULN|2ASPD|1MLV	16ASPD|2AART|3RPLT|46LWND|5DMSP|6BPWR|7aRCR|8VULN|9MLV
16	43223 35322	   	282.14	DCR|DCR|2VULN|1DMG|1ASPD	13VULN|2DMG|4ASPD|5BBNT|69RCR|7ERES|8DLOT|aBEXP
17	43223 35323	   	282.14	DCR|DCR|2VULN|1DMG|1ASPD	13VULN|2DMG|4ASPD|5BBNT|69RCR|7ERES|8DLOT|aBELT
18	43223 35326	   	282.14	DCR|DCR|2VULN|1DMG|1ASPD	13VULN|2DMG|4ASPD|5BBNT|69RCR|7ERES|8DLOT|aCGEN
19	43223 35321	   	282.04	DCR|DCR|2VULN|1DMG|1ASPD	13VULN|2DMG|4ASPD|5BBNT|69RCR|7ERES|8DLOT|aMDPS
20	43223 35324	   	282.04	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	13VULN|2DMG|4ASPD|5BBNT|69RCR|7ERES|8DLOT|aSELL
21	33211 52134	 * 	281.51	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|2RPLT|39DMG|4VULN|5BEXP|6FEWX|7RMIN|8aRCR
22	33631 52134	   	281.51	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|2RPLT|3VULN|49DMG|5BEXP|6FEWX|7RMIN|8aRCR
23	33211 22134	   	281.41	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|2RPLT|39DMG|4VULN|5BEXP|6LEGI|7RMIN|8aRCR
24	33211 62134	   	281.41	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|2RPLT|39DMG|4VULN|5BEXP|6DUST|7RMIN|8aRCR
25	33631 22134	   	281.41	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|2RPLT|3VULN|49DMG|5BEXP|6LEGI|7RMIN|8aRCR
26	33631 62134	   	281.41	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|2RPLT|3VULN|49DMG|5BEXP|6DUST|7RMIN|8aRCR
27	33663 22134	   	281.41	DCR|DCR|2DMG|1VULN|1ASPD	1ASPD|2RPLT|3VULN|4BEXP|59DMG|6LEGI|7RMIN|8aRCR
28	54343 23322	   	278.83	DCR|DCR|1VULN|2AART|1MLV|1ASPD	1DMSP|2VULN|3LWND|47AART|5ASPD|6RPLT|8aRCR|9MLV
29	32313 36634	 * 	277.16	DCR|3VULN|2ASPD|1DMG|2CDMG|1MLV	1aASPD|2AART|3aCDMG|4MLV|5MBVNT|6DMG|7RCR|89aVULN|aBPWR
30	41223 14124	   	277.00	DCR|DCR|1VULN|2MLV|1ASPD	1VULN|2BEXP|3LWND|4RPLT|5AAC|6ASPD|79MLV|8aRCR
