0	Index      	 *	Score 	Summary	Detail	
1	21213 15346	 * 	281.87	DCR|DCR|2VULN|2MLV	17BEXP|2RMIN|3LWND|47MLV|5MDPS|67VULN|7BPWR|8LHND|9aRCR
2	31123 13146	 * 	280.30	DCR|DCR|3VULN	1MDPS|2LHND|3FEWX|456VULN|7BEXP|8DUR|9aRCR
3	12251 15361	 * 	276.65	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG|1AART	1AAC|2ERES|39RCR|4ASPD|5DMG|6CDMG|7AART|8aVULN
4	22223 61626	   	274.47	DCR|DCR|2VULN|1MLV	19BEXP|2MLV|39LHND|4ERES|5MDPS|6aRCR|7DUR|89VULN|9BPWR
5	33423 33246	   	274.27	DCR|DCR|2VULN|1MLV	1MDPS|2LWND|3LHND|45VULN|6DUR|7ERES|8MLV|9aRCR
6	31123 13346	   	271.99	DCR|DCR|3VULN	1MDPS|2LHND|3FEWX|456VULN|7BEXP|8LWND|9aRCR
7	31123 63246	   	265.96	DCR|DCR|2VULN|1MLV	1MDPS|2LHND|3FEWX|45VULN|6LWND|7ERES|8MLV|9aRCR
8	32423 61336	   	263.38	DCR|DCR|2VULN|2DUR	1MDPS|2BEXP|3LHND|45VULN|6aRCR|79DUR|8FEWX
9	22223 61146	   	261.80	DCR|DCR|1VULN|2MLV	1BEXP|28MLV|3LHND|4ERES|5MDPS|6aRCR|7DUR|9VULN
10	42312 23422	 * 	259.17	DCR|4VULN|2DMG|1MLV	1LEGI|235aVULN|4aLWND|6BEXP|7RCR|8MLV|9aDMG|aBPWR
11	42352 23422	   	259.17	DCR|4VULN|2DMG|1MLV	1LEGI|235aVULN|4aFEWX|6BEXP|7RCR|8MLV|9aDMG|aBPWR
12	31133 14146	   	257.03	DCR|DCR|2VULN	1MDPS|27LHND|34FEWX|57BEXP|67VULN|7BPWR|8DUR|9aRCR
13	31123 25346	   	256.83	DCR|DCR|2VULN	1MDPS|2LHND|3FEWX|45VULN|6DUR|7LWND|8DMSP|9aRCR
14	31123 53146	   	256.83	DCR|DCR|2VULN	1MDPS|2LHND|36FEWX|45VULN|7BEXP|8DUR|9aRCR
15	31125 11346	   	256.83	DCR|DCR|2VULN	1MDPS|2LHND|3FEWX|47VULN|5LWND|6DUR|8DMSP|9aRCR
16	31126 13146	   	256.83	DCR|DCR|2VULN	1MDPS|2LHND|3FEWX|46VULN|5DMSP|7BEXP|8DUR|9aRCR
17	31135 13146	   	256.83	DCR|DCR|2VULN	1MDPS|2LHND|34FEWX|56VULN|7BEXP|8DUR|9aRCR
18	32121 14146	   	256.83	DCR|DCR|2VULN	1MDPS|2BEXP|3FEWX|46VULN|5RCVC|7LHND|8DUR|9aRCR
19	32122 14146	   	256.83	DCR|DCR|2VULN	1MDPS|2BEXP|3FEWX|46VULN|5DMSP|7LHND|8DUR|9aRCR
20	33423 61336	   	256.83	DCR|DCR|2VULN	1MDPS|2LWND|3LHND|45VULN|6aRCR|7DUR|8FEWX|9RCVC
21	33433 11346	   	256.83	DCR|DCR|2VULN	1MDPS|2LWND|3LHND|4FEWX|57VULN|6DUR|8DMSP|9aRCR
22	32423 61216	   	256.63	DCR|DCR|2VULN	1MDPS|2BEXP|3LHND|45VULN|6aRCR|7DUR|89DUST
23	33423 61216	   	256.63	DCR|DCR|2VULN	1MDPS|2LWND|3LHND|45VULN|6aRCR|7DUR|89DUST
24	13331 15361	   	256.34	ACR|DCR|2VULN|1ASPD|1CDMG|1AART|1ZMB	1AAC|29RCR|3ZMB|4ERES|5ASPD|6CDMG|7AART|8aVULN
25	11355 12213	 * 	256.31	DCR|DCR|1VULN|2ASPD|1RPLT	1AAC|25ASPD|3RMIN|4RPLT|5BPWR|6CGEN|7VULN|8aRCR|9LIT
26	11355 62213	   	256.21	DCR|DCR|1VULN|2ASPD|1RPLT	1AAC|25ASPD|3RMIN|4RPLT|5BPWR|6ERES|7VULN|8aRCR|9LIT
27	12251 15362	   	255.51	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1AAC|2ERES|39RCR|4ASPD|5DMG|6CDMG|7AART|8VULN|aNUKE
28	52516 11313	 * 	254.58	DCR|2VULN|2DMG|2MLV|1CDMG|1RPLT	1RPLT|27BEXP|3TBNT|4aVULN|57DMG|67MLV|7BPWR|8RCR|9CDMG
