0	Index      	 *	Score 	Summary	Detail	
1	23352 35123	 * 	296.29	ACR|DCR|3VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57aVULN|67MLV|9CGEN
2	23352 35133	 * 	292.89	ACR|DCR|2VULN|2MLV|3DUR|1DMG	18RCR|234DUR|37BPWR|57VULN|67MLV|9FEWX|aDMG
3	23352 35141	 * 	292.79	ACR|DCR|2VULN|2MLV|3DUR|2CDMG	18RCR|234DUR|37BPWR|57VULN|67MLV|9aCDMG
4	23352 35143	   	286.48	ACR|DCR|2VULN|2MLV|3DUR|1CDMG	18RCR|234DUR|37BPWR|57VULN|67MLV|9CDMG|aAAC
5	23352 35152	   	286.48	ACR|DCR|2VULN|2MLV|3DUR|1ASPD	18RCR|234DUR|37BPWR|57VULN|67MLV|9TBNT|aASPD
6	23352 35142	   	286.38	ACR|DCR|2VULN|2MLV|3DUR|1CDMG|1MSE	18RCR|234DUR|37BPWR|57VULN|67MLV|9CDMG|aMSE
7	23352 35114	   	282.49	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9LIT|aAART
8	23352 35134	   	282.49	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9FEWX|aRPLT
9	62362 35123	   	276.43	ACR|DCR|3VULN|2MLV	124FEWX|38RCR|47BPWR|57aVULN|67MLV|9CGEN
10	23352 35111	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9LIT|aBBNT
11	23352 35112	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9LIT|aTBNT
12	23352 35113	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9LIT|aLWND
13	23352 35115	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9LIT|aRMIN
14	23352 35124	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9CGEN|aLWND
15	23352 35126	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9CGEN|aLIT
16	23352 35131	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9FEWX|aLWND
17	23352 35153	   	272.83	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9TBNT|aLHND
18	23352 35121	   	272.73	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9CGEN|aMULHEA
19	23352 35122	   	272.73	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9CGEN|aDUST
20	23352 35125	   	272.73	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9CGEN|aAME
21	23352 35132	   	272.73	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9FEWX|aDUST
22	23352 35135	   	272.73	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9FEWX|aERES
23	23352 35136	   	272.73	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9FEWX|aMDPS
24	23352 35151	   	272.73	ACR|DCR|2VULN|2MLV|3DUR	18RCR|234DUR|37BPWR|57VULN|67MLV|9TBNT|aMBVNT
25	54316 31232	 * 	271.84	DCR|DCR|2VULN|1CDMG	18LHND|2AART|35VULN|4CDMG|6RMIN|7BASICY|9aRCR
26	23624 22251	   	271.26	ACR|DCR|1VULN|2MLV|2RPLT|1ASPD	1aRCR|2DUR|3AART|47MLV|56RPLT|8VULN|9ASPD
27	21536 11132	   	266.62	ACR|DCR|2VULN|2MLV|1CDMG	1aRCR|2LEGI|3BELT|49VULN|5CDMG|6BBNT|79MLV|89LWND|9BPWR
28	21536 11232	   	266.62	ACR|DCR|2VULN|2MLV|1CDMG	1aRCR|2LEGI|3BELT|49VULN|5CDMG|6BBNT|79MLV|89LHND|9BPWR
29	21536 11532	   	266.62	ACR|DCR|2VULN|2MLV|1CDMG	1aRCR|2LEGI|3BELT|49VULN|5CDMG|6BBNT|79MLV|89BEXP|9BPWR
30	25461 31123	   	266.42	ACR|DCR|2VULN|2MLV|1CDMG	19RCR|2BBNT|38VULN|4LHND|57MLV|6MSLFST|aCDMG
