0	Index      	 *	Score 	Summary	Detail	
1	34331 31314	 * 	255.24	DCR|DCR|2DMG|1VULN	12CGEN|3AME|4VULN|5RCVC|69DMG|7aRCR|8LIT
2	32144 26882	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1CGEN|2DUST|3MBVNT|4SPLARM|5DMG|6RPLT|79RCR|8BEXP|aVULN
3	36533 21431	 * 	247.00	DCR|3VULN|1DMG|1MLV|1ASPD|1AART	15CGEN|2ASPD|3DMG|45aVULN|5BPWR|6DUR|7AART|8RCR|9MLV
4	62121 13761	 * 	242.84	DCR|DCR|1VULN|1MLV|2ZMB	14ZMB|2DUST|3MBVNT|5MLV|6DUR|7VULN|89RCR|aFEWX
5	62121 13763	 * 	242.84	DCR|DCR|1VULN|1MLV|2ZMB	14ZMB|2DUST|3MBVNT|5MLV|6DUR|7VULN|89RCR|aTLV
6	62121 13764	 * 	242.84	DCR|DCR|1VULN|1MLV|2ZMB	14ZMB|2DUST|3MBVNT|5MLV|6DUR|7VULN|89RCR|aLWND
7	62121 13762	 * 	242.74	DCR|DCR|1VULN|1MLV|2ZMB|1MSE	14ZMB|2DUST|3MBVNT|5MLV|6DUR|7VULN|89RCR|aMSE
8	36233 22553	 * 	241.48	DCR|3VULN|2ASPD|3DUR|1MLV	18CGEN|25ASPD|3RMIN|458VULN|58BPWR|678DUR|9MLV|aRCR
9	36533 21432	 * 	240.47	DCR|2VULN|2MLV|1DMG|1ASPD|1AART	15CGEN|2ASPD|3DMG|45VULN|5BPWR|6DUR|7AART|8RCR|9aMLV
10	34331 31334	   	237.66	DCR|DCR|1VULN|1DMG	12CGEN|3AME|4VULN|59RCVC|6DMG|7aRCR|8LIT
11	34331 31354	   	237.66	DCR|DCR|1VULN|1DMG	129CGEN|3AME|4VULN|5RCVC|6DMG|7aRCR|8LIT
12	22181 55231	 * 	237.56	DCR|DCR|1VULN|3DUR	17FEWX|2RMIN|3MBVNT|4BBNT|567DUR|7BPWR|89RCR|aVULN
13	31355 34231	 * 	237.13	ACR|DCR|3VULN	13CGEN|23LHND|3BPWR|48aVULN|59RCR|6BBNT|7MGNSTR
14	11255 34231	   	236.83	ACR|DCR|3VULN	13ERES|2LHND|48aVULN|59RCR|6BBNT|7MGNSTR
15	22521 31451	 * 	236.20	DCR|2VULN|2DMG|2MLV|1AART	1aFEWX|2RMIN|3aDMG|45MLV|6LWND|7AART|8RCR|9aVULN|aBPWR
16	36533 22214	   	235.45	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	15CGEN|2ASPD|39DMG|45VULN|5BPWR|67DUR|8CDMG|aRCR
17	32126 34763	 * 	234.78	DCR|DCR|1VULN|1MLV|1ZMB	15CGEN|2DUST|3MBVNT|4ZMB|6VULN|7FEWX|89RCR|aMLV
18	36233 13426	 * 	234.70	DCR|4VULN|3ASPD	18CGEN|258ASPD|3RMIN|4578VULN|58BPWR|6TBNT|9LHND|aRCR
19	36233 13436	   	234.60	DCR|4VULN|3ASPD	18CGEN|258ASPD|3RMIN|4578VULN|58BPWR|6TBNT|9DUST|aRCR
20	36233 21415	 * 	233.43	DCR|2VULN|2ASPD|1DMG|1CDMG|1AART	1CGEN|25ASPD|3RMIN|45VULN|5BPWR|6DUR|7AART|8RCR|9CDMG|aDMG
21	22184 63472	   	232.86	DCR|DCR|1DMG|1ASPD|1CDMG	1FEWX|2RMIN|3MBVNT|4BBNT|5CDMG|6ASPD|7DMG|8aRCR|9CGEN
22	36233 13532	 * 	232.26	DCR|3VULN|2ASPD|1DMG	1CGEN|25ASPD|3RMIN|457VULN|5BPWR|6TBNT|8DUR|9DMG|aRCR
23	32132 28764	   	231.36	DCR|DCR|2DMG	1aCGEN|26aDUST|3MBVNT|4LWND|5DUR|7aDMG|89RCR|aBPWR
24	12132 28764	   	231.16	DCR|DCR|2DMG	1aERES|26aDUST|3MBVNT|4LWND|5DUR|7aDMG|89RCR|aBPWR
25	32131 53761	   	230.90	DCR|DCR|1VULN|1CDMG|1SELL	1CGEN|2DUST|3MBVNT|4LWND|5CDMG|6SELL|7VULN|89RCR|aFEWX
26	32131 53763	   	230.90	DCR|DCR|1VULN|1CDMG|1SELL	1CGEN|2DUST|3MBVNT|4LWND|5CDMG|6SELL|7VULN|89RCR|aTLV
27	32131 53764	   	230.90	DCR|DCR|1VULN|1CDMG|1SELL	1CGEN|2DUST|3MBVNT|4aLWND|5CDMG|6SELL|7VULN|89RCR
28	36233 21413	   	230.90	DCR|2VULN|2ASPD|1MLV|1CDMG|1AART	1CGEN|25ASPD|3RMIN|45VULN|5BPWR|6DUR|7AART|8RCR|9CDMG|aMLV
29	12131 53761	   	230.80	DCR|DCR|1VULN|1CDMG|1SELL	1ERES|2DUST|3MBVNT|4LWND|5CDMG|6SELL|7VULN|89RCR|aFEWX
30	12131 53763	   	230.80	DCR|DCR|1VULN|1CDMG|1SELL	1ERES|2DUST|3MBVNT|4LWND|5CDMG|6SELL|7VULN|89RCR|aTLV
31	12131 53764	   	230.80	DCR|DCR|1VULN|1CDMG|1SELL	1ERES|2DUST|3MBVNT|4aLWND|5CDMG|6SELL|7VULN|89RCR
32	32131 53762	   	230.80	DCR|DCR|1VULN|1CDMG|1SELL|1MSE	1CGEN|2DUST|3MBVNT|4LWND|5CDMG|6SELL|7VULN|89RCR|aMSE
33	21211 43651	   	230.75	DCR|DCR|1VULN|1CDMG|2SELL	1aFEWX|2LWND|3ERES|45SELL|6CDMG|7VULN|89RCR
34	21211 43653	   	230.75	DCR|DCR|1VULN|1CDMG|2SELL	1FEWX|2LWND|3ERES|45SELL|6CDMG|7VULN|89RCR|aCGEN
35	12131 53762	   	230.70	DCR|DCR|1VULN|1CDMG|1SELL|1MSE	1ERES|2DUST|3MBVNT|4LWND|5CDMG|6SELL|7VULN|89RCR|aMSE
36	21211 43652	   	230.65	DCR|DCR|1VULN|1CDMG|2SELL	1FEWX|2LWND|3aERES|45SELL|6CDMG|7VULN|89RCR
37	32144 26881	   	228.67	DCR|DCR|1DMG|1ASPD|1RPLT	1CGEN|2DUST|3MBVNT|4SPLARM|5DMG|6RPLT|79RCR|8BEXP|aASPD
38	31355 34233	   	228.64	ACR|DCR|2VULN|1ASPD	13CGEN|23LHND|3BPWR|48VULN|59RCR|6BBNT|7MGNSTR|aASPD
39	32182 81136	   	228.44	ACR|DCR|2VULN|1ASPD	18CGEN|2DUST|3MBVNT|4TBNT|59RCR|67VULN|aASPD
40	32182 81336	   	228.44	ACR|DCR|2VULN|1ASPD	1CGEN|2DUST|3MBVNT|4TBNT|59RCR|67VULN|8RCVC|aASPD
41	11255 34233	   	228.34	ACR|DCR|2VULN|1ASPD	13ERES|2LHND|48VULN|59RCR|6BBNT|7MGNSTR|aASPD
42	36215 21334	 * 	226.56	DCR|DCR|2ASPD|2DUR	1CGEN|29ASPD|3RMIN|46DUR|5RCVC|7aRCR|8LIT
43	36216 31334	   	226.56	DCR|DCR|2ASPD|2DUR	1CGEN|29ASPD|36RMIN|45DUR|7aRCR|8LIT
44	36222 21334	   	226.56	DCR|DCR|2ASPD|2DUR	14CGEN|29ASPD|3RMIN|56DUR|7aRCR|8LIT
45	36262 21334	   	226.56	DCR|DCR|2ASPD|2DUR	1CGEN|29ASPD|3RMIN|4RCVC|56DUR|7aRCR|8LIT
46	32132 64764	   	226.46	DCR|DCR|2ASPD|2DUR	1aCGEN|2aDUST|3MBVNT|4LWND|57DUR|6aASPD|89RCR|aBPWR
47	14522 21334	   	226.46	DCR|DCR|2ASPD|2DUR	1ERES|24CGEN|39ASPD|56DUR|7aRCR|8LIT
48	36214 21334	   	226.46	DCR|DCR|2ASPD|2DUR	1CGEN|29ASPD|3RMIN|46DUR|5AELOIC|7aRCR|8LIT
49	36533 21411	   	226.43	DCR|2VULN|2ASPD|1DMG|2DUR|1AART	15aCGEN|2aASPD|3DMG|45VULN|5aBPWR|6aDUR|7AART|8RCR|9MBVNT
50	14512 21334	   	226.36	DCR|DCR|2ASPD|2DUR	15ERES|2CGEN|39ASPD|46DUR|7aRCR|8LIT
51	36422 21334	   	226.36	DCR|DCR|2ASPD|2DUR	1CGEN|29ASPD|36DUR|45ERES|7aRCR|8LIT
52	12132 63764	   	226.26	DCR|DCR|2ASPD|2DUR	1aERES|2aDUST|3MBVNT|4LWND|57DUR|6aASPD|89RCR|aBPWR
53	32126 13761	   	225.55	DCR|DCR|1VULN|1ZMB	15CGEN|2DUST|3MBVNT|4ZMB|6DUR|7VULN|89RCR|aFEWX
54	32126 13763	   	225.55	DCR|DCR|1VULN|1ZMB	15CGEN|2DUST|3MBVNT|4ZMB|6DUR|7VULN|89RCR|aTLV
55	32126 13764	   	225.55	DCR|DCR|1VULN|1ZMB	15CGEN|2DUST|3MBVNT|4ZMB|6DUR|7VULN|89RCR|aLWND
56	32126 34764	   	225.55	DCR|DCR|1VULN|1ZMB	15CGEN|2DUST|3MBVNT|4ZMB|6VULN|7FEWX|89RCR|aDUR
57	12128 13761	   	225.45	DCR|DCR|1VULN|1ZMB	1ERES|2DUST|3MBVNT|4ZMB|5DMSP|6DUR|7VULN|89RCR|aFEWX
58	12128 13763	   	225.45	DCR|DCR|1VULN|1ZMB	1ERES|2DUST|3MBVNT|4ZMB|5DMSP|6DUR|7VULN|89RCR|aTLV
59	12128 13764	   	225.45	DCR|DCR|1VULN|1ZMB	1ERES|2DUST|3MBVNT|4ZMB|5DMSP|6DUR|7VULN|89RCR|aLWND
60	32126 13762	   	225.45	DCR|DCR|1VULN|1ZMB|1MSE	15CGEN|2DUST|3MBVNT|4ZMB|6DUR|7VULN|89RCR|aMSE
61	12128 13762	   	225.35	DCR|DCR|1VULN|1ZMB|1MSE	1ERES|2DUST|3MBVNT|4ZMB|5DMSP|6DUR|7VULN|89RCR|aMSE
62	62122 13761	   	225.31	DCR|DCR|1VULN|2ZMB	14ZMB|2DUST|3MBVNT|5TLV|6DUR|7VULN|89RCR|aFEWX
63	62122 13763	   	225.31	DCR|DCR|1VULN|2ZMB	14ZMB|2DUST|3MBVNT|5aTLV|6DUR|7VULN|89RCR
