0	Index      	 *	Score 	Summary	Detail	
1	25451 35114	 * 	287.54	DCR|3VULN|3DMG|2MLV|1ASPD|1RPLT	137DMG|2MBVNT|47MLV|5RPLT|67aVULN|7BPWR|8ASPD|9RCR
2	22132 13515	 * 	277.50	DCR|4VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|468aVULN|5RMIN|7RCR|8BPWR|9RPLT
3	22132 13516	   	273.99	DCR|3VULN|3DMG|2MLV|1RPLT	18aDMG|2RCVC|38MLV|468VULN|5RMIN|7RCR|8BPWR|9RPLT
4	31454 23228	 * 	270.41	ACR|DCR|2VULN|2DMG|1RPLT	1DUR|2RPLT|37VULN|4MBVNT|5aRCR|69DMG|8AME
5	24235 16121	 * 	268.30	ACR|DCR|2VULN|3DMG	14aDMG|2SNITOX|3RCVC|57RCR|6MDPS|8aBEXP|9aVULN|aBPWR
6	24235 16321	   	268.30	ACR|DCR|2VULN|3DMG	14aDMG|2SNITOX|3RCVC|57RCR|6MDPS|8aLWND|9aVULN|aBPWR
7	22132 13111	   	267.74	DCR|4VULN|2DMG|2MLV	19DMG|2RCVC|39MLV|469aVULN|5RMIN|7RCR|8MDPS|9BPWR
8	22136 63111	   	267.74	DCR|4VULN|2DMG|2MLV	19DMG|2RCVC|39MLV|459aVULN|6RMIN|7RCR|8MDPS|9BPWR
9	13542 13531	 * 	267.35	DCR|5VULN|3DMG	128BEXP|35689VULN|458DMG|58BPWR|7RCR|aTLV
10	13542 13532	   	267.25	DCR|5VULN|3DMG	128BEXP|35689VULN|458DMG|58BPWR|7RCR|aERES
11	13542 13533	   	267.25	DCR|5VULN|3DMG|1MSE	128BEXP|35689VULN|458DMG|58BPWR|7RCR|aMSE
12	51132 13516	 * 	266.85	DCR|3VULN|2MLV|2ASPD|1DMG|1RPLT	1RCVC|28ASPD|38MLV|468VULN|5RMIN|7RCR|8BPWR|9RPLT|aDMG
13	51132 13515	 * 	265.95	DCR|4VULN|2MLV|2ASPD|1RPLT	1RCVC|28ASPD|38MLV|468aVULN|5RMIN|7RCR|8BPWR|9RPLT
14	25451 35111	   	265.40	DCR|2VULN|3DMG|2MLV|1ASPD|1RPLT	137DMG|2MBVNT|47MLV|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aTLV
15	25451 35113	   	265.40	DCR|2VULN|3DMG|2MLV|1ASPD|1RPLT	137DMG|2MBVNT|47MLV|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aLHND
16	25451 35112	   	265.30	DCR|2VULN|3DMG|2MLV|1ASPD|1RPLT	137DMG|2MBVNT|47MLV|5RPLT|67VULN|7BPWR|8ASPD|9RCR|aERES
17	25413 37218	 * 	264.80	DCR|DCR|2DMG|1VULN|1RPLT	13DMG|2MBVNT|4TLV|5VULN|6AELOIC|7aRCR|8RPLT|9FEWX
18	25413 37238	   	264.80	DCR|DCR|2DMG|1VULN|1RPLT	13DMG|2MBVNT|4TLV|5VULN|6AELOIC|7aRCR|8RPLT|9LHND
19	25413 37248	   	264.70	DCR|DCR|2DMG|1VULN|1RPLT	13DMG|2MBVNT|4TLV|5VULN|6AELOIC|7aRCR|8RPLT|9DUST
20	22132 13114	   	262.23	DCR|3VULN|2DMG|2MLV|1ASPD	19DMG|2RCVC|39MLV|469VULN|5RMIN|7RCR|8MDPS|9BPWR|aASPD
21	22136 63114	   	262.23	DCR|3VULN|2DMG|2MLV|1ASPD	19DMG|2RCVC|39MLV|459VULN|6RMIN|7RCR|8MDPS|9BPWR|aASPD
22	13542 13512	   	260.01	DCR|4VULN|3DMG|1RPLT	128BEXP|3568VULN|458DMG|58BPWR|7RCR|9ERES|aRPLT
23	22132 13512	   	258.34	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|468VULN|5RMIN|7RCR|8BPWR|9RPLT|aAAC
24	22132 13513	   	258.34	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|468VULN|5RMIN|7RCR|8BPWR|9RPLT|aBEXP
25	22132 13531	   	258.34	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|468VULN|59RMIN|7RCR|8BPWR|aRPLT
26	22136 63512	   	258.34	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|458VULN|6RMIN|7RCR|8BPWR|9RPLT|aAAC
27	22136 63513	   	258.34	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|458VULN|6RMIN|7RCR|8BPWR|9RPLT|aBEXP
28	22136 63531	   	258.34	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|458VULN|69RMIN|7RCR|8BPWR|aRPLT
29	22132 13511	   	258.24	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|468VULN|5RMIN|7RCR|8BPWR|9RPLT|aDUST
30	22136 63511	   	258.24	DCR|3VULN|2DMG|2MLV|1RPLT	18DMG|2RCVC|38MLV|458VULN|6RMIN|7RCR|8BPWR|9RPLT|aDUST
31	22241 34221	   	258.16	DCR|2VULN|2DMG|2MLV|1CDMG|1RPLT	17DMG|2RCVC|3DUR|47MLV|5RPLT|67VULN|7BPWR|8CDMG|9LHND|aRCR
