0	Index      	 *	Score 	Summary	Detail	
1	31121 24431	 * 	266.49	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6DMG|79VULN|aMLV
2	31123 24431	 * 	260.08	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5ASPD|6RPLT|79VULN|aMLV
3	31132 24431	 * 	260.08	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|4ASPD|58RCR|6RPLT|79VULN|aMLV
4	25351 31623	 * 	258.04	DCR|DCR|2VULN|1RPLT|1SELL	145BEXP|2SELL|3RPLT|45BPWR|6aVULN|78RCR|9LWND
5	25351 31633	 * 	257.94	DCR|DCR|2VULN|1RPLT|1SELL	145BEXP|2SELL|3RPLT|45BPWR|6aVULN|78RCR|9VENICY
6	45331 31623	 * 	257.74	DCR|DCR|2VULN|1RPLT|1SELL	145DUST|2SELL|3RPLT|5BPWR|6aVULN|78RCR|9LWND
7	45331 31633	 * 	257.64	DCR|DCR|2VULN|1RPLT|1SELL	145DUST|2SELL|3RPLT|5BPWR|6aVULN|78RCR|9VENICY
8	31121 24435	 * 	257.26	ACR|DCR|2VULN|1DMG|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5RPLT|6DMG|79VULN|aDUR
9	12411 42413	 * 	256.49	ACR|5VULN|3ASPD|3CDMG	189ASPD|2LIT|389CDMG|4689aVULN|5RCR|7NUKE|89BPWR
10	31134 26314	 * 	253.77	DCR|DCR|1VULN|1DMG|1ASPD|2ZMB	12ZMB|3LIT|4ASPD|5VULN|6FEWX|7aRCR|8TBNT|9DMG
11	33121 13465	 * 	252.69	DCR|DCR|1VULN|1MLV|2DUR|1ZMB	1ZMB|2BEXP|37DUR|4MLV|5VULN|6LIT|8LWND|9aRCR
12	31123 24435	 * 	250.85	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|48RCR|5ASPD|6RPLT|79VULN|aDUR
13	31132 24435	 * 	250.85	ACR|DCR|2VULN|1ASPD|1RPLT|2ZMB	12ZMB|3LIT|4ASPD|58RCR|6RPLT|79VULN|aDUR
14	52262 13152	 * 	250.75	DCR|3VULN|3DMG|1CDMG|1ZMB	189DMG|289LIT|3TBNT|4SNITOX|5ZMB|689VULN|7RCR|89BPWR|aCDMG
15	63411 52232	 * 	250.70	ACR|DCR|2VULN|1MLV|1ASPD	12ERES|3BELT|4BBNT|56RCR|79VULN|8MLV|aASPD
16	46331 21632	 * 	249.97	DCR|DCR|1VULN|2CDMG|1RPLT	145DUST|25CDMG|3RPLT|5BPWR|6LWND|78RCR|9FEWX|aVULN
17	66311 36122	 * 	249.76	DCR|3VULN|2DMG|2CDMG	1ERES|29DMG|3DUR|4FEWX|59aVULN|6LHND|7RCR|89CDMG|9BPWR
