0	Index      	 *	Score 	Summary	Detail	
1	11374 83336	 * 	292.05	DCR|3VULN|3DMG|3MLV|1CDMG	1MBVNT|258MLV|368DMG|468VULN|68BPWR|7RCVC|9CDMG|aRCR
2	18372 42461	 * 	287.07	DCR|DCR|2VULN|1DMG|1ASPD|1RPLT	1MBVNT|2ASPD|3DMG|46VULN|5MDPS|7RPLT|89RCR|aAAC
3	18372 42462	   	287.07	DCR|DCR|2VULN|1DMG|1ASPD|1RPLT	1MBVNT|2ASPD|3DMG|46VULN|5MDPS|7RPLT|89RCR|aFEWX
4	18372 42463	   	287.07	DCR|DCR|2VULN|1DMG|1ASPD|1RPLT	1MBVNT|2ASPD|3DMG|46VULN|5MDPS|7RPLT|89RCR|aBEXP
5	18372 42464	   	286.97	DCR|DCR|2VULN|1DMG|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3DMG|46VULN|5MDPS|7RPLT|89RCR|aZMB
6	11456 42822	 * 	284.45	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	1MBVNT|2aMLV|3ASPD|4CGEN|5VULN|68RCR|7RCVC|9DMG
7	11476 42822	   	284.45	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	1MBVNT|2aMLV|3ASPD|4VULN|5CGEN|68RCR|7RCVC|9DMG
8	18126 42822	   	284.45	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	1MBVNT|2ASPD|3CGEN|4aMLV|5VULN|68RCR|7RCVC|9DMG
9	18424 48463	 * 	279.46	DCR|DCR|2VULN|2ASPD|1RPLT	1MBVNT|23ASPD|4MDPS|5RPLT|6aVULN|7AAC|89RCR
10	13624 32467	 * 	278.56	DCR|DCR|2DMG|1VULN|1ASPD|1RPLT	1MBVNT|2BEXP|3aDMG|4VULN|5RPLT|69RCR|7LWND|8ASPD
11	12434 22844	   	277.61	DCR|DCR|2VULN|1DMG|1ASPD	1MBVNT|26LSRICY|3BEXP|4DMG|56VULN|6BPWR|7ASPD|8BBNT|9aRCR
12	13334 22844	   	277.51	DCR|DCR|2VULN|1DMG|1ASPD	1MBVNT|26BEXP|3BLASTR|4DMG|56VULN|6BPWR|7ASPD|8BBNT|9aRCR
13	13834 22844	   	277.51	DCR|DCR|2VULN|1DMG|1ASPD	1MBVNT|26BEXP|3MULARM|4DMG|56VULN|6BPWR|7ASPD|8BBNT|9aRCR
14	15323 77344	   	277.41	DCR|DCR|2VULN|1DMG|1ASPD	1MBVNT|26VULN|3TSLFST|4DMG|5ASPD|7BBNT|8LWND|9aRCR
15	15327 32844	   	277.31	DCR|DCR|2VULN|1DMG|1ASPD	1MBVNT|25VULN|3TSLFST|4DMG|6DUST|7ASPD|8BBNT|9aRCR
16	15234 64327	 * 	277.04	DCR|DCR|2VULN|2MLV	1MBVNT|24VULN|34FEWX|4BPWR|58MLV|6aRCR|79RMIN
