0	Index      	 *	Score 	Summary	Detail	
1	23323 65333	 * 	290.16	DCR|DCR|2VULN|2ASPD|1DMG	1LHND|24ASPD|34VULN|4BPWR|5CGEN|69RCR|78FEWX|aDMG
2	23323 65332	   	278.41	DCR|DCR|2VULN|2ASPD	1LHND|24ASPD|34VULN|4BPWR|5CGEN|69RCR|78FEWX|aDUR
3	23363 65333	   	277.61	DCR|DCR|2VULN|1DMG|1ASPD	1LHND|2ASPD|34VULN|5CGEN|69RCR|78FEWX|aDMG
4	12121 32341	 * 	274.34	DCR|DCR|3VULN	1TBNT|2DUR|356VULN|46LWND|6BPWR|7AAC|8BASARM|9aRCR
5	12132 32341	   	274.34	DCR|DCR|3VULN	1TBNT|2DUR|346VULN|56BEXP|6BPWR|7AAC|8BASARM|9aRCR
6	12651 32341	   	274.34	DCR|DCR|3VULN	1TBNT|2DUR|36LWND|456VULN|6BPWR|7AAC|8BASARM|9aRCR
7	12121 12341	   	274.24	DCR|DCR|3VULN	1TBNT|2DUR|356VULN|4LWND|7AAC|8BASARM|9aRCR
8	12132 12341	   	274.24	DCR|DCR|3VULN	1TBNT|2DUR|346VULN|5BEXP|7AAC|8BASARM|9aRCR
9	12133 13341	   	274.24	DCR|DCR|3VULN	1TBNT|2DUR|345VULN|6AAC|7BEXP|8BASARM|9aRCR
10	12651 12341	   	274.24	DCR|DCR|3VULN	1TBNT|2DUR|3LWND|456VULN|7AAC|8BASARM|9aRCR
11	12133 15341	   	274.14	DCR|DCR|3VULN	1TBNT|2DUR|345VULN|6AAC|7LEGI|8BASARM|9aRCR
12	12133 42341	   	274.14	DCR|DCR|3VULN	1TBNT|2DUR|345VULN|6DUST|7AAC|8BASARM|9aRCR
13	12161 12341	   	274.14	DCR|DCR|3VULN	1TBNT|2DUR|356VULN|4DUST|7AAC|8BASARM|9aRCR
14	12161 32341	   	274.14	DCR|DCR|3VULN	1TBNT|2DUR|356VULN|46DUST|6BPWR|7AAC|8BASARM|9aRCR
15	12133 53341	   	274.00	DCR|DCR|3VULN|1ZMB	1TBNT|2DUR|345VULN|6ZMB|7BEXP|8BASARM|9aRCR
16	12133 55341	   	273.90	DCR|DCR|3VULN|1ZMB	1TBNT|2DUR|345VULN|6ZMB|7LEGI|8BASARM|9aRCR
17	34333 12126	 * 	272.31	DCR|4VULN|3DMG|3ZMB	18aZMB|2TBNT|3DUR|48aDMG|568aVULN|7RCR|8aBPWR|9DMSP
18	34333 12166	   	272.31	DCR|4VULN|3DMG|3ZMB	18aZMB|2TBNT|3DUR|48aDMG|568aVULN|7RCR|8aBPWR|9RCVC
19	12133 61165	 * 	271.45	DCR|5VULN|2DMG|3DUR	1TBNT|269DUR|34579VULN|89DMG|9BPWR|aRCR
20	14252 84142	   	270.89	DCR|DCR|2VULN|1MLV|1AART	1TBNT|2CANSTR|3MLV|4MBVNT|5AART|67RCR|8RCVC|9aVULN
21	15152 84142	   	270.89	DCR|DCR|2VULN|1MLV|1AART	1TBNT|2MLV|3CANARM|4MBVNT|5AART|67RCR|8RCVC|9aVULN
22	23323 65331	   	270.10	DCR|DCR|2VULN|2ASPD	1LHND|24ASPD|34VULN|4BPWR|5CGEN|69RCR|78FEWX|aBELT
23	23323 65335	   	270.10	DCR|DCR|2VULN|2ASPD	1LHND|24ASPD|34VULN|4BPWR|5CGEN|69RCR|78FEWX|aRCVC
24	23323 65336	   	270.00	DCR|DCR|2VULN|2ASPD|1SELL	1LHND|24ASPD|34VULN|4BPWR|5CGEN|69RCR|78FEWX|aSELL
25	15313 12341	   	269.73	DCR|DCR|2VULN|1MLV	1TBNT|2MLV|3DUR|4CGEN|56VULN|7AAC|8FRZICY|9aRCR
26	15323 16341	   	269.49	DCR|DCR|2VULN|1MLV|1ZMB	1TBNT|2MLV|3DUR|4ZMB|56VULN|7CGEN|8FRZICY|9aRCR
27	15323 11341	   	269.29	DCR|DCR|2VULN|1MLV|1ZMB	1TBNT|2MLV|3DUR|4ZMB|56VULN|7ERES|8SNITOX|9aRCR
28	34333 32146	   	268.57	DCR|3VULN|2DMG|1MLV|1ASPD|3ZMB	168ZMB|2TBNT|3DUR|48DMG|568VULN|68BPWR|7RCR|9ASPD|aMLV
29	23363 65332	   	265.85	DCR|DCR|2VULN|1ASPD	1LHND|2ASPD|34VULN|5CGEN|69RCR|78FEWX|aDUR
30	14252 84141	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1AART	1TBNT|2CANSTR|3MLV|4MBVNT|5AART|67RCR|8RCVC|9VULN|aDMG
31	15152 84141	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1AART	1TBNT|2MLV|3CANARM|4MBVNT|5AART|67RCR|8RCVC|9VULN|aDMG
32	34633 12126	   	263.90	DCR|4VULN|3DMG|3ZMB	18aZMB|2TBNT|3DUST|48aDMG|568aVULN|7RCR|8aBPWR|9DMSP
33	15623 11341	   	260.88	DCR|DCR|2VULN|1MLV|1ZMB	1TBNT|2MLV|3DUST|4ZMB|56VULN|7ERES|8SNITOX|9aRCR
