0	Index      	 *	Score 	Summary	Detail	
1	21141 34726	 * 	308.08	DCR|DCR|2VULN|1DMG|1MLV|1ASPD	1aVULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG
2	31624 31722	 * 	301.83	DCR|DCR|2VULN|3DMG	1ERES|24FEWX|349DMG|4BPWR|5MBVNT|68RCR|7aVULN
3	21341 34726	   	294.43	DCR|DCR|2VULN|1DMG|1MLV	1aVULN|2RCVC|3AAC|4MBVNT|5MLV|68RCR|7DUR|9DMG
4	21141 31381	   	289.13	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	17VULN|2RCVC|3ASPD|4MBVNT|5MLV|69RCR|8ZMB|aAART
5	21141 34746	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1aVULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9CGEN
6	21141 34716	   	287.92	DCR|DCR|2VULN|1MLV|1ASPD	1aVULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DUST
7	21141 31382	   	287.77	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	17VULN|2RCVC|3ASPD|4MBVNT|5MLV|69RCR|8ZMB|aDUR
8	31624 31724	   	287.41	DCR|DCR|3DMG|1VULN|1ASPD	1ERES|24FEWX|349DMG|4BPWR|5MBVNT|68RCR|7VULN|aASPD
9	32624 31724	   	287.41	DCR|DCR|3DMG|1VULN|1ASPD	1ERES|24BEXP|349DMG|4BPWR|5MBVNT|68RCR|7VULN|aASPD
10	24223 11222	   	285.93	DCR|DCR|2VULN|2DMG|1SELL	19VULN|2BBNT|39DMG|469ERES|5SELL|7RCVC|8aRCR|9BPWR
11	21113 66311	 * 	285.40	DCR|DCR|3VULN|1ASPD|1SELL	19aVULN|2RCVC|3ASPD|4TBNT|5SELL|68RCR|7MSLREG
12	35141 31724	 * 	284.05	DCR|DCR|1VULN|2ASPD|1DMG|1MLV	1ERES|2CGEN|3aASPD|4MBVNT|5MLV|68RCR|7VULN|9DMG
13	21341 38336	   	281.36	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2RCVC|3AAC|4MBVNT|5MLV|69RCR|7CDMG|8DMG|aRPLT
14	21141 34721	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG|aLWND
15	21141 34722	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG|aCGEN
16	21141 34723	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG|aFRZICY
17	21141 34724	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG|aAAC
18	21141 34725	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG|aFEWX
19	21141 34728	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG|aLHND
20	21141 34748	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9CGEN|aDMG
21	21341 38333	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2RCVC|3AAC|4MBVNT|5MLV|69RCR|7CDMG|8DMG|aDUR
22	35141 31723	   	279.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1ERES|2CGEN|3ASPD|4MBVNT|5MLV|68RCR|7VULN|9DMG|aDUR
23	21141 34714	   	279.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DUST|aDMG
24	21141 34727	   	279.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7DUR|9DMG|aDUST
25	21141 33716	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1aVULN|2RCVC|3ASPD|4MBVNT|5MLV|68RCR|7BEXP|9DUST
26	21141 31384	   	279.46	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	17VULN|2RCVC|3ASPD|4MBVNT|5MLV|69RCR|8ZMB|aFEWX
27	21141 31385	   	279.46	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	17VULN|2RCVC|3ASPD|4MBVNT|5MLV|69RCR|8ZMB|aLHND
28	21141 31383	   	279.36	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB|1MSE	17VULN|2RCVC|3ASPD|4MBVNT|5MLV|69RCR|8ZMB|aMSE
29	21141 31387	   	279.36	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	17VULN|2RCVC|3ASPD|4MBVNT|5MLV|69RCR|8ZMB|aDUST
30	21141 31388	   	279.36	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	17VULN|2RCVC|3ASPD|4MBVNT|5MLV|69RCR|8ZMB|aLEGI
