0	Index      	 *	Score 	Summary	Detail	
1	22368 46124	 * 	269.30	ACR|3VULN|3DMG|3MLV|1CDMG	1TBNT|29aMLV|3MBVNT|4BBNT|5RCR|6CDMG|79aVULN|89aDMG|9aBPWR
2	21421 21461	 * 	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TBNT|2BBNT|3MLV|4VENICY|5DMG|6RPLT|7FEWX|8VULN|9aRCR
3	21421 23461	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TBNT|2BBNT|3MLV|4VENICY|5DMG|6RPLT|7LHND|8VULN|9aRCR
4	21521 13461	   	258.38	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BBNT|3AME|4VENICY|5DMG|6DUR|7RPLT|8VULN|9aRCR
5	22375 31337	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1TBNT|2MLV|3MBVNT|4RMIN|5DMG|6FLTHEA|79RCR|8BASICY|aVULN
6	22327 23782	 * 	254.53	DCR|3VULN|2DMG|2MLV	1TBNT|29MLV|3MBVNT|4RCVC|5CANTOX|69aVULN|7RCR|89DMG|9BPWR
7	22231 51414	   	251.04	DCR|DCR|1VULN|1MLV|1ASPD|1SELL|1ZMB	1TBNT|2MLV|3ASPD|4DUST|5SELL|6ZMB|7MULARM|8aRCR|9VULN
8	22231 52314	   	251.04	DCR|DCR|1VULN|1MLV|1ASPD|1SELL|1ZMB	1TBNT|2MLV|3ASPD|4DUST|5SELL|6ZMB|7aRCR|8LSRREG|9VULN
9	33253 61261	   	250.17	DCR|DCR|1VULN|1DMG|1RPLT	1CGEN|2LWND|3BBNT|4TBNT|5VULN|6DMG|7SNIFST|8RPLT|9aRCR
10	21521 21461	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BBNT|3AME|4VENICY|5DMG|6RPLT|7FEWX|8VULN|9aRCR
11	21521 23461	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BBNT|3AME|4VENICY|5DMG|6RPLT|7LHND|8VULN|9aRCR
12	21521 33461	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BBNT|3AME|4VENICY|5DMG|6FEWX|7RPLT|8VULN|9aRCR
13	34352 13222	   	248.48	DCR|3VULN|2DMG|1MLV|1AART	1CGEN|2MBVNT|35DMG|458VULN|5BPWR|6AART|7MLV|9AME|aRCR
14	34352 13232	   	248.48	DCR|3VULN|2DMG|1MLV|1AART	1CGEN|2MBVNT|35DMG|458VULN|5BPWR|6AART|7MLV|9ERES|aRCR
15	22532 31514	   	245.25	DCR|3VULN|2MLV|1DMG	1TBNT|28MLV|3DUR|49aVULN|5LWND|6RCR|7DMG
16	12236 31514	   	245.15	DCR|3VULN|2MLV|1DMG	1LEGI|28MLV|3BBNT|49aVULN|5DUR|6RCR|7DMG
17	24224 32214	   	245.07	DCR|DCR|1VULN|2DUR|1RPLT	1TBNT|2RPLT|3TLV|4RCVC|56DUR|7aRCR|8LSRICY|9VULN
18	22334 56315	 * 	243.28	DCR|4VULN|1MLV|1ASPD	1TBNT|2MLV|3MBVNT|469aVULN|5DUR|7ASPD|8RCR
19	22338 26315	   	243.28	DCR|4VULN|1MLV|1ASPD	1TBNT|2MLV|3MBVNT|479aVULN|5ASPD|6DUR|8RCR
20	22334 56318	   	243.19	DCR|3VULN|1DMG|1MLV|1ASPD	1TBNT|2MLV|3MBVNT|469VULN|5DUR|7ASPD|8RCR|aDMG
21	22338 26318	   	243.19	DCR|3VULN|1DMG|1MLV|1ASPD	1TBNT|2MLV|3MBVNT|479VULN|5ASPD|6DUR|8RCR|aDMG
22	34224 23425	   	242.31	DCR|DCR|1VULN|1CDMG	1CGEN|2MBVNT|3BBNT|4RCVC|5SPLJET|6VULN|7aRCR|8CDMG|9DUR
23	42333 22385	   	242.31	DCR|DCR|1VULN|1CDMG	1RMIN|2CDMG|3MDPS|4MBVNT|5VULN|6FEWX|7aRCR|8DUR|9FLTHEA
24	34352 81211	 * 	241.44	DCR|4VULN|2DMG	1CGEN|2MBVNT|35DMG|4578VULN|5BPWR|6ERES|9AAC|aRCR
25	22351 16247	   	240.73	DCR|2VULN|2DMG|2MLV|1AART	1TBNT|2aMLV|3MBVNT|4MDPS|5aVULN|6BBNT|7RCR|8AART|9aDMG|aBPWR
26	22327 23781	   	240.73	DCR|2VULN|2DMG|2MLV|1AART	1TBNT|29MLV|3MBVNT|4RCVC|5CANTOX|69VULN|7RCR|89DMG|9BPWR|aAART
27	22373 13634	 * 	240.58	DCR|DCR|2DMG|1MLV	1TBNT|2MLV|3MBVNT|4RMIN|5FLTFST|6BBNT|79RCR|8aDMG
28	22375 31332	   	240.58	DCR|DCR|2DMG|1MLV	1TBNT|2MLV|3MBVNT|4RMIN|5aDMG|6FLTHEA|79RCR|8BASICY
29	22375 51332	   	240.58	DCR|DCR|2DMG|1MLV	1TBNT|2MLV|3MBVNT|4RMIN|5aDMG|6LSRICY|79RCR|8BASICY
30	34312 41446	   	240.41	DCR|DCR|1VULN|1DMG	1CGEN|2MBVNT|3DMG|4FRZARM|5BASICY|6LIT|78RCR|9BBNT|aVULN
31	34312 41454	   	240.41	DCR|DCR|1VULN|1DMG	19CGEN|2MBVNT|3DMG|4FRZARM|5BASICY|6LIT|78RCR|aVULN
32	34312 41484	   	240.41	DCR|DCR|1VULN|1DMG	1CGEN|2MBVNT|3DMG|4FRZARM|5BASICY|6LIT|78RCR|9RMIN|aVULN
33	24316 33116	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1TBNT|2RPLT|3MDPS|4AART|5LIT|6BBNT|7BEXP|8aRCR|9VULN
34	24316 32116	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1TBNT|2RPLT|3MDPS|4AART|5LIT|6BBNT|7aRCR|8LWND|9VULN
