0	Index      	 *	Score 	Summary	Detail	
1	63333 22366	 * 	295.40	DCR|DCR|3VULN|1CDMG|1AART	135VULN|23CGEN|3BPWR|4AART|6LWND|7CDMG|8aRCR|9MDPS
2	61621 33125	 * 	291.85	DCR|DCR|3VULN|2CDMG	156VULN|2TSLARM|34CDMG|7aRCR|8MBVNT|9TLV
3	63314 13126	 * 	282.20	DCR|DCR|2VULN|1DMG|1ASPD|1ZMB	13VULN|2349CGEN|3BPWR|5ZMB|6DMG|7ASPD|8aRCR
4	61124 11242	 * 	282.14	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2TSLARM|3ERES|4CDMG|5DMG|6FEWX|7aRCR|8TBNT
5	61124 11342	   	282.14	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2TSLARM|3ERES|4CDMG|5DMG|6FEWX|7aRCR|8BBNT
6	63314 13136	   	282.10	DCR|DCR|2VULN|1DMG|1ASPD|1ZMB	13VULN|234CGEN|3BPWR|5ZMB|6DMG|7ASPD|8aRCR|9AELOIC
7	61124 21242	   	282.04	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2TSLARM|3ERES|4CDMG|5DMG|6DUST|7aRCR|8TBNT
8	61124 21342	   	282.04	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2TSLARM|3ERES|4CDMG|5DMG|6DUST|7aRCR|8BBNT
9	66222 74234	   	278.01	DCR|DCR|2VULN|1DMG|1AART|1ZMB	16VULN|24LWND|3MBVNT|5ZMB|78RCR|9AART|aDMG
10	61621 23142	   	276.80	DCR|DCR|2VULN|2CDMG	15VULN|2TSLARM|34CDMG|6DUR|7aRCR|8AAC|9TBNT
11	12231 42255	   	275.62	DCR|DCR|2VULN|1MLV|1AART	1RCVC|28VULN|3AAC|4AART|5MLV|6BASICY|7AME|9aRCR
12	22231 42255	   	275.62	DCR|DCR|2VULN|1MLV|1AART	1DMSP|28VULN|3AAC|4AART|5MLV|6BASICY|7AME|9aRCR
13	12331 42255	   	275.38	DCR|DCR|2VULN|1MLV|1AART|1ZMB	1RCVC|28VULN|3ZMB|4AART|5MLV|6BASICY|7AME|9aRCR
14	22331 42255	   	275.38	DCR|DCR|2VULN|1MLV|1AART|1ZMB	1DMSP|28VULN|3ZMB|4AART|5MLV|6BASICY|7AME|9aRCR
15	13353 12135	 * 	273.76	DCR|DCR|2DMG|1MLV|1ASPD|1AART|1RPLT	1RCVC|2RPLT|3MLV|4aDMG|5AART|6ASPD|7TLV|89RCR
16	13353 13135	   	273.76	DCR|DCR|2DMG|1MLV|1ASPD|1AART|1RPLT	1RCVC|2RPLT|3MLV|4aDMG|5AART|6ASPD|7RMIN|89RCR
