0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21222 55114	10	 * 	296.19	橙4易伤2伤害2时间2等级	1双倍矿27伤害36等级4789易伤57时间7序列升级a核
2	21222 26651	5	 * 	292.57	橙2易伤3伤害3时间1等级1攻速	1双倍矿269伤害3等级49易伤569时间69序列升级7核8全技能a攻速
3	16313 51151	6	 * 	289.55	橙4易伤3时间2伤害	17a基地爆炸237时间478a易伤5挖青6核7a序列升级9a伤害
4	16313 52351	6	   	289.55	橙4易伤3时间2伤害	18a基地爆炸238时间478a易伤5挖青6核8a序列升级9a伤害
5	13622 32361	6	   	289.55	橙4易伤3时间2伤害	138基地爆炸248a易伤58a时间6加一7核8a序列升级9a伤害
6	21322 42233	3	   	289.35	橙4易伤3时间2伤害	1双倍矿27伤害347时间5赏金邻近678a易伤7序列升级9核
7	21622 42233	1	   	289.35	橙4易伤3时间2伤害	1双倍矿237时间47伤害5赏金邻近678a易伤7序列升级9核
8	24522 42233	3	   	289.35	橙4易伤3时间2伤害	1双倍矿237时间47伤害5赏金邻近678a易伤7序列升级9核
9	24622 42233	2	   	289.35	橙4易伤3时间2伤害	1双倍矿237时间47伤害5赏金邻近678a易伤7序列升级9核
10	21222 36651	5	   	287.80	橙3易伤2伤害2时间1等级	1双倍矿29伤害3等级469易伤59时间7核8全技能9序列升级a雷电
11	21222 36653	5	   	287.27	橙3易伤2伤害2时间2全技能1等级	1双倍矿29伤害3等级469易伤59时间7核8a全技能9序列升级
12	21222 55233	7	 * 	286.77	橙3易伤3时间2伤害2等级	1双倍矿27伤害36等级479易伤57a时间7序列升级8核
13	21222 55242	7	   	286.77	橙3易伤3时间2伤害2等级	1双倍矿27伤害36等级47a易伤579时间7序列升级8核
14	21222 55223	7	   	284.55	橙3易伤2伤害2时间2等级1攻速	1双倍矿27伤害36等级47a易伤57时间7序列升级8核9攻速
15	43111 21143	5	   	284.53	橙3易伤3时间2伤害1卖塔	1卖塔239易伤4雷电59a时间6全技能79伤害8核9序列升级
16	43111 61143	6	   	284.53	橙3易伤3时间2伤害1卖塔	1卖塔239易伤4雷电59a时间6全技能79伤害8核9序列升级
17	43112 21143	4	   	284.53	橙3易伤3时间2伤害1卖塔	1卖塔239易伤4雷电59a时间6全技能79伤害8核9序列升级
18	21321 16651	5	 * 	284.28	橙3易伤3伤害2等级1时间	1双倍矿249伤害3时间59等级69a易伤7核8全技能9序列升级
19	21321 26651	6	   	284.28	橙3易伤3伤害2等级1时间	1双倍矿249伤害3时间59等级69a易伤7核8全技能9序列升级
20	21322 42111	3	 * 	282.56	橙3易伤3伤害3时间	1双倍矿27a伤害347时间5赏金邻近67a易伤7a序列升级8a金币生成9核
21	21622 42111	1	   	282.56	橙3易伤3伤害3时间	1双倍矿237时间47a伤害5赏金邻近67a易伤7a序列升级8a金币生成9核
22	24222 35111	7	   	282.56	橙3易伤3伤害3时间	1双倍矿257时间3a金币生成47a伤害67a易伤7a序列升级8赏金邻近9核
23	24522 42111	3	   	282.56	橙3易伤3伤害3时间	1双倍矿237时间47a伤害5赏金邻近67a易伤7a序列升级8a金币生成9核
24	24622 42111	2	   	282.56	橙3易伤3伤害3时间	1双倍矿237时间47a伤害5赏金邻近67a易伤7a序列升级8a金币生成9核
25	26222 65111	7	   	282.56	橙3易伤3伤害3时间	1双倍矿27a易伤3a金币生成47a伤害567时间7a序列升级8赏金邻近9核
26	21222 26652	5	   	281.57	橙2易伤3伤害3时间1等级	1双倍矿269伤害3等级49易伤569时间69序列升级7核8全技能a最后敌人
27	21222 26653	5	   	281.57	橙2易伤3伤害3时间1等级	1双倍矿269伤害3等级49易伤569时间69序列升级7核8全技能a基地爆炸
28	42133 24341	3	 * 	281.41	橙5易伤3暴击3等级1卖塔	1卖塔289暴击3雷电45689易伤789等级89序列升级a核
29	21213 61652	8	   	281.11	橙3易伤2伤害1等级1时间2雷电1攻速	1双倍矿29伤害3等级49雷电5时间6攻速79a易伤8核9序列升级
30	21213 61252	7	   	281.11	橙3易伤2伤害1等级1时间2雷电1攻速	1双倍矿29伤害3等级49雷电5时间6攻速789易伤9序列升级a核
31	41112 33534	1	 * 	280.34	橙5易伤3伤害1卖塔	1卖塔2随机矿34678易伤567伤害67序列升级9立即金币a核
32	22133 15353	3	 * 	279.85	橙5易伤3时间	1双倍矿289矿等3雷电4589a易伤6核789时间89序列升级
33	21222 36652	5	   	279.49	橙3易伤2伤害2时间1等级	1双倍矿29伤害3等级469易伤59时间7核8全技能9序列升级a金币生成
34	21225 13266	10	   	279.49	橙3易伤2伤害2时间1等级	1双倍矿28伤害3等级478易伤5全技能68时间8序列升级9随机矿a核
35	21225 13216	10	   	279.39	橙3易伤2伤害2时间1等级	1双倍矿28伤害3等级478易伤5全技能68时间8序列升级9掉矿a核
36	24223 22551	5	   	278.90	橙3易伤3伤害2时间	1双倍矿29时间3金币生成469伤害5全技能7核89a易伤9序列升级
37	24221 35114	10	   	276.22	橙4易伤2伤害2时间	1双倍矿27时间3金币生成47伤害5立即金币6789易伤7序列升级a核
38	26222 25114	10	   	276.22	橙4易伤2伤害2时间	1双倍矿2789易伤36金币生成47伤害57时间7序列升级a核
39	13325 62331	6	 * 	276.07	橙3易伤3伤害2攻速1时间	158基地爆炸28a易伤3时间4a攻速68a伤害7核8a序列升级9随机矿
40	21326 54111	3	 * 	275.52	橙2易伤3伤害3时间2等级	1双倍矿25a伤害345时间5a序列升级6a易伤7a等级8赏金邻近9核
41	52413 12263	1	   	275.06	橙4易伤1伤害1等级1时间2雷电	1金币生成245a易伤34雷电4序列升级6核7伤害8等级9时间
42	13363 24522	3	   	275.01	橙4易伤3时间1暴击	1基地爆炸2478易伤346时间4序列升级5全技能9暴击a核
43	21222 55231	7	   	273.55	橙3易伤2伤害2时间2等级	1双倍矿27伤害36等级479易伤57时间7序列升级8核a基地爆炸
44	21222 55234	7	   	273.55	橙3易伤2伤害2时间2等级	1双倍矿27伤害36等级479易伤57时间7序列升级8核a策反
45	21222 55235	7	   	273.55	橙3易伤2伤害2时间2等级	1双倍矿27伤害36等级479易伤57时间7序列升级8核a低血量敌人
46	21222 55236	7	   	273.55	橙3易伤2伤害2时间2等级	1a双倍矿27伤害36等级479易伤57时间7序列升级8核
47	26313 35433	9	 * 	271.86	橙4易伤3时间3等级	1双倍矿289a易伤39基地爆炸478等级589时间6核89序列升级
48	16313 51152	6	   	271.76	橙4易伤3时间1伤害	17基地爆炸237时间478a易伤5挖青6核7序列升级9伤害
49	16313 52352	6	   	271.76	橙4易伤3时间1伤害	18基地爆炸238时间478a易伤5挖青6核8序列升级9伤害
50	26521 13163	9	 * 	271.76	橙4易伤3时间2暴击	1双倍矿2479易伤367时间5额外掉落79序列升级89暴击a核
51	52413 15312	1	 * 	271.76	橙4易伤3时间3雷电	18金币生成2459易伤348雷电48序列升级6核78a时间
