0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42532 11215	7	 * 	301.14	橙5易伤2伤害2暴击1时间	12478易伤3随机矿57暴击67伤害7序列升级9核a时间
2	42125 36312	8	 * 	300.96	橙5易伤3时间2等级	1269a易伤3全技能49等级589时间7核9序列升级
3	42332 11514	8	 * 	296.09	橙4易伤2伤害2时间2暴击1核弹	1247易伤3核弹57暴击67伤害7序列升级89时间a核
4	42332 11514	7	   	296.09	橙4易伤2伤害2时间2暴击1核弹	1247易伤3核弹57暴击67伤害7序列升级89时间a核
5	51133 22211	6	 * 	295.66	橙5易伤2伤害2时间	15伤害28时间3基地爆炸45679易伤5序列升级a核
6	42332 11624	7	   	292.51	橙4易伤2伤害2暴击1等级1攻速1核弹	1247易伤3核弹57暴击67伤害7序列升级8等级9攻速a核
7	41521 26231	1	   	291.40	橙5易伤3时间1伤害	1348a易伤246时间48序列升级58敌人爆炸7核9伤害
8	41521 21631	1	   	291.30	橙5易伤3时间1伤害	1347a易伤246时间4序列升级5敌人爆炸8核9伤害
9	42532 11213	7	 * 	290.93	橙5易伤2伤害3暴击	12478易伤3随机矿57a暴击67伤害7序列升级9核
10	42123 33121	9	   	290.84	橙5易伤2伤害1等级	1268a易伤3全技能4等级58敌人爆炸78伤害8序列升级9核
11	42123 33123	10	   	290.84	橙5易伤2伤害1等级	1268a易伤3全技能4等级58敌人爆炸78伤害8序列升级9核
12	42125 36111	8	   	287.74	橙5易伤2时间2等级	12689易伤3全技能49等级59时间7核9序列升级a金币生成
13	42125 36112	8	   	287.64	橙5易伤2时间2等级	12689易伤3全技能49等级59时间7核9序列升级a赏金塔
14	42532 11211	7	   	284.89	橙5易伤2伤害2暴击	12478易伤3随机矿57暴击67伤害7序列升级9核a额外掉落
15	42532 11214	7	   	284.89	橙5易伤2伤害2暴击	12478易伤3随机矿57暴击67伤害7序列升级9核a策反
16	42532 11216	7	   	284.89	橙5易伤2伤害2暴击	12478易伤3随机矿57暴击67伤害7序列升级9核a基地爆炸
17	42532 11153	9	   	284.79	橙5易伤2伤害2暴击	12479易伤3随机矿57暴击67伤害7序列升级8掉矿a核
18	42532 11212	7	   	284.79	橙5易伤2伤害2暴击	12478易伤3随机矿57暴击67伤害7序列升级9核a赏金塔
19	42332 11153	9	   	284.69	橙5易伤2伤害2暴击1核弹	12479易伤3核弹57暴击67伤害7序列升级8掉矿a核
20	42125 36123	8	   	282.89	橙5易伤1等级1时间1暴击	1268a易伤3全技能4等级5时间7核9暴击
21	42341 63121	3	   	281.50	橙4易伤2伤害2暴击1时间1核弹	1278易伤3核弹4额外掉落57暴击67伤害7序列升级9核a时间
22	42332 11525	7	   	281.50	橙4易伤2伤害2暴击1时间1核弹	1247易伤3核弹57暴击67伤害7序列升级8时间9策反a核
23	42332 11525	8	   	281.50	橙4易伤2伤害2暴击1时间1核弹	1247易伤3核弹57暴击67伤害7序列升级8时间9策反a核
24	42332 11614	7	   	281.50	橙4易伤2伤害2暴击1等级1核弹	1247易伤3核弹57暴击67伤害7序列升级8等级9矿等a核
25	42125 36311	8	   	281.42	橙4易伤3时间2等级	1269易伤3全技能49等级589时间7核9序列升级a金币生成
26	42125 36313	8	   	281.42	橙4易伤3时间2等级	1269易伤3全技能49等级589时间7核9序列升级a敌人爆炸
27	42332 11634	7	   	281.40	橙4易伤2伤害2暴击1等级1核弹	1247易伤3核弹57暴击67伤害7序列升级8等级9掉矿a核
28	42332 11643	7	   	281.40	橙4易伤2伤害2暴击1等级1核弹	1247易伤3核弹57暴击67伤害7序列升级8等级9挖尘a核
29	52336 22215	1	 * 	280.81	橙4易伤3伤害3雷电	14a伤害2赏金邻近345a易伤4a序列升级67a雷电8赏金塔9核
30	55122 73121	2	 * 	279.00	橙3易伤3伤害2时间	17a伤害2全技能3加一47a易伤57金币生成6核7a序列升级8基地爆炸9a时间
31	55312 73121	4	   	279.00	橙3易伤3伤害2时间	17a伤害2全技能37a易伤47金币生成5加一6核7a序列升级8基地爆炸9a时间
