0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63511 23231	7	 * 	284.23	橙3易伤2时间2等级1伤害2暴击	17等级27暴击3伤害49时间567易伤7序列升级8雷电a核
2	21614 14131	6	 * 	283.49	紫4易伤2伤害2时间1等级1暴击1全技能	17时间2全技能3等级4核5789易伤67伤害7序列升级a暴击
3	26621 31213	1	 * 	281.62	橙4易伤3时间1伤害1全技能	137时间2367易伤37序列升级47低血量敌人5全技能8核9敌人爆炸a伤害
4	26621 31233	1	   	281.62	橙4易伤3时间1伤害1全技能	137时间2367易伤37序列升级47低血量敌人5全技能8核9最后敌人a伤害
5	41621 31213	1	   	281.62	橙4易伤3时间1伤害1全技能	1367易伤237时间37序列升级47低血量敌人5全技能8核9敌人爆炸a伤害
6	41621 31233	1	   	281.62	橙4易伤3时间1伤害1全技能	1367易伤237时间37序列升级47低血量敌人5全技能8核9最后敌人a伤害
7	66341 23312	8	 * 	281.60	橙4易伤2伤害2等级1时间	17等级2立即金币37伤害4平台567a易伤7序列升级8时间9核
8	66341 23312	7	   	281.60	橙4易伤2伤害2等级1时间	17等级2立即金币37伤害4平台567a易伤7序列升级8时间9核
9	26621 31253	1	   	281.52	橙4易伤3时间1伤害1全技能	137时间2367易伤37序列升级47低血量敌人5全技能8核9挖尘a伤害
10	41621 31253	1	   	281.52	橙4易伤3时间1伤害1全技能	1367易伤237时间37序列升级47低血量敌人5全技能8核9挖尘a伤害
11	26621 31211	1	 * 	281.30	橙5易伤3时间1全技能	137时间2367a易伤37a序列升级47a低血量敌人5全技能8核9a敌人爆炸
12	26621 31231	1	   	281.30	橙5易伤3时间1全技能	137时间2367a易伤37a序列升级47a低血量敌人5全技能8核9a最后敌人
13	41621 31211	1	   	281.30	橙5易伤3时间1全技能	1367a易伤237时间37a序列升级47a低血量敌人5全技能8核9a敌人爆炸
14	41621 31231	1	   	281.30	橙5易伤3时间1全技能	1367a易伤237时间37a序列升级47a低血量敌人5全技能8核9a最后敌人
15	22131 31253	2	   	281.20	橙5易伤3时间1全技能	179时间27最后敌人34679易伤5全技能79序列升级89金币生成a核
16	24131 31253	1	   	281.20	橙5易伤3时间1全技能	179时间27最后敌人34679易伤5全技能79序列升级89金币生成a核
17	25131 31253	2	   	281.20	橙5易伤3时间1全技能	179时间27敌人爆炸34679易伤5全技能79序列升级89金币生成a核
18	25131 31253	1	   	281.20	橙5易伤3时间1全技能	179时间27基地爆炸34679易伤5全技能79序列升级89金币生成a核
19	26131 31253	2	   	281.20	橙5易伤3时间1全技能	179时间27基地爆炸34679易伤5全技能79序列升级89金币生成a核
20	42211 31253	4	   	281.20	橙5易伤3时间1全技能	14679易伤27最后敌人379时间5全技能79序列升级89金币生成a核
21	42231 31253	3	   	281.20	橙5易伤3时间1全技能	14679易伤27最后敌人379时间5全技能79序列升级89金币生成a核
22	42251 31253	5	   	281.20	橙5易伤3时间1全技能	15679易伤27最后敌人379时间4全技能79序列升级89金币生成a核
