0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32222 23654	7	 * 	297.23	橙5易伤2伤害1等级1时间	13a掉矿2356a易伤3a序列升级4等级7核8时间9a伤害
2	32256 11431	6	 * 	287.39	橙5易伤3时间1等级	13掉矿2359a易伤35序列升级458时间6等级7核
3	32256 11431	7	   	287.39	橙5易伤3时间1等级	13掉矿2359a易伤35序列升级458时间6等级7核
4	32262 36162	3	 * 	285.31	橙4易伤3时间2等级1暴击	138掉矿2389易伤389序列升级4暴击59等级6赏金邻近789时间a核
5	32222 11454	8	   	280.98	橙5易伤2伤害1等级	13a掉矿2358a易伤3a序列升级4等级6低血量敌人7核9a伤害
6	32222 23354	8	   	280.98	橙5易伤2伤害1等级	13a掉矿2356a易伤3a序列升级4等级7核8敌人爆炸9a伤害
7	32222 23554	8	   	280.98	橙5易伤2伤害1等级	13a掉矿2356a易伤3a序列升级4等级7核8低血量敌人9a伤害
8	32222 23154	8	   	280.88	橙5易伤2伤害1等级	13a掉矿2356a易伤3a序列升级4等级7核8挖尘9a伤害
9	32322 23654	7	   	277.59	橙4易伤2伤害1等级1时间	13a掉矿256a易伤4等级7核8时间9a伤害a序列升级
10	32256 11433	6	   	276.16	橙4易伤3时间1等级	13掉矿2359易伤35序列升级458时间6等级7核a雷电
11	32256 11433	7	   	276.16	橙4易伤3时间1等级	13掉矿2359易伤35序列升级458时间6等级7核a雷电
12	32256 11241	6	 * 	274.69	橙4易伤2时间1伤害1等级	13掉矿235a易伤35序列升级45时间6等级7核8策反9伤害
13	32256 11241	8	   	274.69	橙4易伤2时间1伤害1等级	13掉矿235a易伤35序列升级45时间6等级7核8矿等9伤害
14	32256 11241	7	   	274.69	橙4易伤2时间1伤害1等级	13掉矿235a易伤35序列升级45时间6等级7核8策反9伤害
15	32222 23653	7	   	274.59	橙4易伤2时间1伤害1等级	13掉矿2356易伤3序列升级4等级7核8a时间9伤害
16	32256 11131	9	   	274.16	橙5易伤2时间1等级	13掉矿2359a易伤35序列升级45时间6等级7核8敌人爆炸
17	32256 11136	10	   	274.16	橙5易伤2时间1等级	13掉矿2359a易伤35序列升级45时间6等级7核8敌人爆炸
18	32256 11421	9	   	274.16	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9最后敌人
19	32256 11431	8	   	274.16	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9低血量敌人
20	32256 11531	9	   	274.16	橙5易伤2时间1等级	13掉矿2359a易伤35序列升级45时间6等级7核8低血量敌人
21	32256 11631	7	   	274.16	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9低血量敌人
22	32256 11631	6	   	274.16	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9低血量敌人
23	32256 11411	8	   	274.06	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
24	32256 11431	9	   	274.06	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
25	32256 11611	7	   	274.06	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
26	32256 11611	6	   	274.06	橙5易伤2时间1等级	13掉矿2358a易伤35序列升级45时间6等级7核9挖尘
27	32222 21242	10	   	271.60	橙5易伤1伤害1等级	13掉矿23568易伤3序列升级4等级7雷电9核a伤害
28	32222 23232	10	   	271.60	橙5易伤1伤害1等级	13掉矿23569易伤3序列升级4等级7核8雷电a伤害
29	32222 23214	7	   	270.48	橙5易伤1等级1时间1攻速	13掉矿23568易伤3序列升级4等级7核9攻速a时间
30	12223 51631	1	 * 	269.63	橙3易伤2伤害2时间1等级	1基地爆炸28a易伤36伤害4等级57时间9核
31	22223 51631	1	   	269.63	橙3易伤2伤害2时间1等级	1敌人爆炸28a易伤36伤害4等级57时间9核
32	52223 51631	1	   	269.53	橙3易伤2伤害2时间1等级	1挖尘28a易伤36伤害4等级57时间9核
33	32222 21244	9	   	267.78	橙5易伤1时间1等级	13掉矿23568易伤3序列升级4等级7雷电9核a时间
34	32222 23224	8	   	267.78	橙5易伤1时间1等级	13掉矿23569易伤3序列升级4等级7核8雷电a时间
35	32222 23234	9	   	267.78	橙5易伤1时间1等级	13掉矿23569易伤3序列升级4等级7核8雷电a时间
36	32222 23252	7	   	267.78	橙5易伤1时间1等级	13掉矿23568易伤3序列升级4等级7核9时间a雷电
37	32222 23662	7	   	267.78	橙5易伤1时间1等级	13掉矿23569易伤3序列升级4等级7核8时间a雷电
38	32256 11432	6	   	267.75	橙4易伤3时间1等级	13掉矿2359易伤35序列升级458时间6等级7核a挖尘
39	32256 11432	7	   	267.75	橙4易伤3时间1等级	13掉矿2359易伤35序列升级458时间6等级7核a挖尘
40	32356 11431	6	   	267.75	橙4易伤3时间1等级	13掉矿259a易伤458时间5序列升级6等级7核
41	32356 11431	7	   	267.75	橙4易伤3时间1等级	13掉矿259a易伤458时间5序列升级6等级7核
