0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35236 11314	9	 * 	295.94	橙5易伤2伤害1等级2雷电	1349a易伤2挖青5等级6核79雷电89伤害9序列升级
2	32322 12451	1	 * 	295.42	橙3易伤3伤害1等级1时间2雷电	148易伤234伤害48序列升级58雷电6核7全技能9等级a时间
3	32323 14136	1	 * 	293.44	橙4易伤3伤害1等级1时间	149a易伤234伤害4序列升级5基地爆炸6核7时间8等级
4	32324 14136	1	   	293.44	橙4易伤3伤害1等级1时间	149a易伤234伤害4序列升级5敌人爆炸6核7时间8等级
5	35236 11315	10	   	292.05	橙4易伤3伤害1等级2雷电	1349易伤2挖青5等级6核79雷电89a伤害9序列升级
6	32413 36314	6	 * 	291.98	橙4易伤3伤害2时间	1268易伤368伤害4双倍矿5随机矿68序列升级78时间9最后敌人a核
7	52236 11314	9	   	289.49	橙5易伤2伤害1等级	19低血量敌人2349a易伤5等级6核7雷电89伤害9序列升级
8	32451 11523	2	 * 	287.74	橙5易伤2时间1伤害	12357易伤45时间5序列升级6全技能8核9金币生成a伤害
9	32651 11523	3	   	287.74	橙5易伤2时间1伤害	12357易伤45时间5序列升级6全技能8核9金币生成a伤害
10	33451 11523	2	   	287.74	橙5易伤2时间1伤害	12357易伤25序列升级45时间6全技能8核9金币生成a伤害
11	33651 11523	3	   	287.74	橙5易伤2时间1伤害	12357易伤25序列升级45时间6全技能8核9金币生成a伤害
12	32133 13245	10	 * 	286.20	橙5易伤3时间2雷电	12689易伤3最后敌人479时间59雷电9序列升级a核
13	32353 13245	10	   	286.20	橙5易伤3时间2雷电	12689易伤3基地爆炸479时间59雷电9序列升级a核
14	33133 13245	10	   	286.20	橙5易伤3时间2雷电	12689易伤29序列升级3最后敌人479时间59雷电a核
15	33353 13245	10	   	286.20	橙5易伤3时间2雷电	12689易伤29序列升级3基地爆炸479时间59雷电a核
16	35236 11326	9	   	286.06	橙4易伤2伤害1等级2雷电	134a易伤2挖青5等级6核7a雷电8a伤害9全技能a序列升级
17	35231 13351	6	 * 	286.04	橙5易伤2伤害2攻速	13458易伤2挖青68攻速78伤害8序列升级9平台a核
18	52236 11315	10	   	285.60	橙4易伤3伤害1等级	19低血量敌人2349易伤5等级6核7雷电89a伤害9序列升级
19	32322 11335	1	   	285.50	橙4易伤3伤害1等级	148a易伤234伤害4序列升级5雷电6核7金币生成9等级
20	32322 14415	1	   	285.50	橙4易伤3伤害1等级	147a易伤234伤害4序列升级5雷电6核8等级9矿等
21	32322 14425	1	   	285.50	橙4易伤3伤害1等级	147a易伤234伤害4序列升级5雷电6核8等级9金币生成
22	32322 43142	1	   	285.50	橙4易伤3伤害1时间	148a易伤234伤害4序列升级5雷电6额外掉落7核9时间
23	32322 14435	1	   	285.40	橙4易伤3伤害1等级	147a易伤234伤害4序列升级5雷电6核8等级9赏金邻近
24	32323 14146	1	   	285.39	橙3易伤3伤害2时间1等级	14a易伤234伤害4序列升级5基地爆炸6核79时间8等级
25	32323 14133	1	   	284.45	橙3易伤3伤害1等级1时间1暴击	149易伤234伤害4序列升级5基地爆炸6核7时间8等级a暴击
26	32324 14133	1	   	284.45	橙3易伤3伤害1等级1时间1暴击	149易伤234伤害4序列升级5敌人爆炸6核7时间8等级a暴击
27	32321 14133	1	   	284.35	橙3易伤3伤害1等级1时间1暴击	149易伤234伤害4序列升级5挖尘6核7时间8等级a暴击
28	32451 11513	2	   	283.92	橙5易伤2时间1等级	12357易伤45时间5序列升级6全技能8核9平台a等级
29	32651 11513	3	   	283.92	橙5易伤2时间1等级	12357易伤45时间5序列升级6全技能8核9平台a等级
30	33451 11513	2	   	283.92	橙5易伤2时间1等级	12357易伤25序列升级45时间6全技能8核9平台a等级
31	33651 11513	3	   	283.92	橙5易伤2时间1等级	12357易伤25序列升级45时间6全技能8核9平台a等级
32	32451 11112	2	   	280.90	橙5易伤3时间	12357易伤458时间5序列升级6全技能9随机矿a核
33	32651 11112	3	   	280.90	橙5易伤3时间	12357易伤458时间5序列升级6全技能9随机矿a核
34	33451 11112	2	   	280.90	橙5易伤3时间	12357易伤25序列升级458时间6全技能9随机矿a核
35	33651 11112	3	   	280.90	橙5易伤3时间	12357易伤25序列升级458时间6全技能9随机矿a核
