0	Index      	 *	Score 	Summary	Detail	
1	22415 23133	 * 	300.58	DCR|DCR|3VULN|1TLV|1CDMG	1CDMG|2BASARM|3DUST|458VULN|6TLV|7AAC|9aRCR
2	53325 12333	 * 	291.64	DCR|2TLV|2LIT|2DMG|1VULN|2ASPD	15TLV|2aDUST|3VULN|45ASPD|5aBPWR|6aLIT|7AIRHEA|8RCR|9aDMG
3	53325 14333	   	291.64	DCR|2TLV|2LIT|2DMG|1VULN|2ASPD	15TLV|2aDUST|3VULN|45ASPD|5aBPWR|6aLIT|7MULARM|8RCR|9aDMG
4	22664 32121	 * 	282.07	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2BASARM|3FEWX|4TLV|5DMG|6DUR|7CGEN|8VULN|9aRCR
5	22664 33121	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2BASARM|3FEWX|4TLV|5DMG|6DUR|7RMIN|8VULN|9aRCR
6	22464 33121	   	281.87	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2BASARM|3DUST|4TLV|5DMG|6DUR|7AME|8VULN|9aRCR
7	62151 15132	 * 	281.18	DCR|2VULN|2TLV|1LIT|1MLV	1RCVC|23VULN|4BBNT|5TBNT|68TLV|7RCR|9LIT|aMLV
8	26154 12133	   	279.38	DCR|2VULN|2TLV|1MLV|1RPLT|1ASPD|1CDMG	1CDMG|29TLV|3RPLT|4AEFBLL|5ASPD|6RCR|7MLV|8aVULN
9	62122 25133	   	278.64	DCR|DCR|2VULN|1TLV|1CDMG	1RCVC|23VULN|4CDMG|5TLV|6LWND|7CRUSTR|8AAC|9aRCR
10	62122 65133	   	278.64	DCR|DCR|2VULN|1TLV|1CDMG	1RCVC|23VULN|4CDMG|5TLV|6LHND|7CRUSTR|8AAC|9aRCR
11	22411 23133	   	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2BASARM|3DUST|48VULN|5RCVC|6TLV|7AAC|9aRCR
12	22415 23333	   	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2BASARM|3DUST|45VULN|6TLV|7AAC|8DMSP|9aRCR
13	22615 26133	   	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2BASARM|3FEWX|45VULN|6TLV|7AEFBLL|8AAC|9aRCR
14	22415 21133	   	278.34	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2BASARM|37DUST|45VULN|6TLV|8AAC|9aRCR
15	22415 26133	   	278.34	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2BASARM|3DUST|45VULN|6TLV|7AEFBLL|8AAC|9aRCR
16	62115 43321	 * 	275.94	DCR|DCR|3VULN|1DMG|1CDMG	1RCVC|237VULN|4DMG|5BBNT|6FRZARM|8CDMG|9aRCR
17	26154 12132	 * 	273.24	DCR|2TLV|1VULN|1MLV|1DMG|1RPLT|1ASPD|1CDMG	1CDMG|29TLV|3RPLT|4AEFBLL|5ASPD|6RCR|7MLV|8VULN|aDMG
18	22662 52121	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2BASARM|3FEWX|4TLV|5LHND|6DMG|7CGEN|8VULN|9aRCR
19	22662 53121	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2BASARM|3FEWX|4TLV|5LHND|6DMG|7RMIN|8VULN|9aRCR
20	53313 43321	   	272.30	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2DUST|3VULN|4LWND|5DMG|6LSRREG|7CGEN|8CDMG|9aRCR
21	53363 43321	   	272.30	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2DUST|3VULN|4LHND|5DMG|6LSRREG|7CGEN|8CDMG|9aRCR
22	22462 53121	   	272.20	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2BASARM|3DUST|4TLV|5LHND|6DMG|7AME|8VULN|9aRCR
23	22664 11121	   	272.20	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2BASARM|3FEWX|4TLV|5DMG|6ERES|7DUST|8VULN|9aRCR
24	53313 45321	   	272.20	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2DUST|3VULN|4LWND|5DMG|6LSRREG|7ERES|8CDMG|9aRCR
25	53333 45321	   	272.20	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1TLV|2DUST|3VULN|4BEXP|5DMG|6LSRREG|7ERES|8CDMG|9aRCR
26	62163 43321	   	271.74	DCR|DCR|3VULN|1DMG|1CDMG	1RCVC|237VULN|4CANARM|5DMG|6TBNT|8CDMG|9aRCR
27	62114 33611	 * 	271.70	ACR|DCR|2VULN|1TLV|1MLV|1DMG	1RCVC|23VULN|4DMG|5aRCR|6BEXP|7TLV|8AART|9MLV
