0	Index      	 *	Score 	Summary	Detail	
1	15321 33615	 * 	298.26	DCR|2VULN|2TLV|2LIT|2ASPD	19TLV|29VULN|3aASPD|4MDPS|5RPLT|6DUR|7RCR|89LIT|9BPWR
2	12622 16212	 * 	296.47	DCR|3TLV|3DMG|1LIT|3CDMG|1MLV	178TLV|2MLV|378CDMG|4LHND|5LIT|678DMG|78BPWR|9RCR|aDUR
3	15363 32242	 * 	293.59	DCR|2VULN|2TLV|2DMG|1LIT|1ASPD	17TLV|27VULN|3ASPD|48BEXP|5AART|67DMG|7BPWR|9LIT|aRCR
4	24333 52532	 * 	289.28	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LHND|25VULN|38TLV|4BBNT|6CDMG|7MLV|9LIT|aRCR
5	15321 33611	   	288.41	DCR|2VULN|2TLV|2LIT|1ASPD|2RPLT	19TLV|29VULN|3ASPD|4MDPS|5aRPLT|6DUR|7RCR|89LIT|9BPWR
6	12622 16211	   	286.81	DCR|3TLV|3DMG|1LIT|3CDMG|1MLV	178TLV|2MLV|378CDMG|4LHND|5LIT|678DMG|78BPWR|9RCR|aRCVC
7	12622 16214	   	286.81	DCR|3TLV|3DMG|1LIT|3CDMG|1MLV	178TLV|2MLV|378CDMG|4aLHND|5LIT|678DMG|78BPWR|9RCR
8	12622 16215	   	286.81	DCR|3TLV|3DMG|1LIT|3CDMG|1MLV	178TLV|2MLV|378CDMG|4LHND|5LIT|678DMG|78BPWR|9RCR|aFEWX
9	15363 32531	 * 	286.81	DCR|2VULN|2TLV|3DMG|1ASPD	17TLV|27VULN|3ASPD|4BEXP|5AART|678DMG|7BPWR|9DUR|aRCR
10	15321 33612	   	285.81	DCR|2VULN|2TLV|2LIT|1ASPD	19TLV|29VULN|3ASPD|4MDPS|5RPLT|6DUR|7RCR|89LIT|9BPWR|aLHND
11	15321 33613	   	285.81	DCR|2VULN|2TLV|2LIT|1ASPD	19TLV|29VULN|3ASPD|4MDPS|5RPLT|6DUR|7RCR|89LIT|9BPWR|aZMB
12	15321 33614	   	285.81	DCR|2VULN|2TLV|2LIT|1ASPD	19TLV|29VULN|3ASPD|4MDPS|5RPLT|6DUR|7RCR|89LIT|9BPWR|aFEWX
13	15511 35123	 * 	285.79	DCR|3VULN|2TLV|2LIT	18TLV|268VULN|3AEFBLL|4DLOT|5BASARM|78LIT|8BPWR|9RCR|aDUR
14	15321 33616	   	285.71	DCR|2VULN|2TLV|2LIT|1ASPD	19TLV|29VULN|3ASPD|4aMDPS|5RPLT|6DUR|7RCR|89LIT|9BPWR
15	13531 66333	 * 	284.58	DCR|3VULN|2TLV|1MLV|1DMG	18TLV|2AART|3RCVC|48FEWX|5MLV|6DMG|789VULN|8BPWR|aRCR
16	16333 12366	 * 	283.77	DCR|2TLV|2LIT|2ASPD|1MLV|1DMG|1SELL	19TLV|2BEXP|39ASPD|4SELL|5DMG|6BBNT|7MLV|89LIT|9BPWR|aRCR
17	15112 23165	   	283.30	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	19TLV|25VULN|3GSSTOX|4MLV|68DUR|7LIT|aRCR
18	15132 33244	   	281.08	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|28VULN|3GSSTOX|5MLV|6TBNT|7RCR|9DUR|aLIT
19	16523 32242	   	279.94	DCR|2VULN|2TLV|2DMG|1LIT	17TLV|28BEXP|37VULN|4AAC|5AART|67DMG|7BPWR|9LIT|aRCR
20	15132 33424	 * 	278.93	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1ASPD	14TLV|2VULN|3GSSTOX|5MLV|6TBNT|7RCR|8DMG|9ASPD|aLIT
21	15511 35121	   	276.13	DCR|3VULN|2TLV|2LIT	18TLV|268VULN|3AEFBLL|4DLOT|5BASARM|78LIT|8BPWR|9RCR|aZMB
22	15511 35122	   	276.03	DCR|3VULN|2TLV|2LIT	18TLV|268VULN|3AEFBLL|4DLOT|5BASARM|78LIT|8BPWR|9RCR|aMULARM
23	14316 21326	 * 	276.02	DCR|DCR|1TLV|1LIT|1MLV|1ASPD	1TLV|2FEWX|3ASPD|4AIRHEL|5LIT|6RPLT|7aRCR|8ZMB|9MLV
24	12243 52522	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	17TLV|2MLV|3ERES|4RMIN|5BBNT|6LIT|8aVULN|9RCR
