0	Index      	 *	Score 	Summary	Detail	
1	22111 62154	 * 	305.09	DCR|DCR|2TLV|2DMG|1VULN	129ERES|3AART|4MDPS|5VULN|69DMG|79TLV|8aRCR|9BPWR
2	53261 31111	 * 	293.95	DCR|DCR|2VULN|2TLV	12CGEN|36VULN|4RCVC|56TLV|6BPWR|79RCR|8ZMB|aAART
3	22261 31111	   	293.75	DCR|DCR|2VULN|2TLV	12ERES|36VULN|4DMSP|56TLV|6BPWR|79RCR|8ZMB|aAART
4	26214 51111	   	293.75	DCR|DCR|2VULN|2TLV	14ERES|25TLV|35VULN|5BPWR|6DMSP|79RCR|8ZMB|aAART
5	26334 51111	   	293.75	DCR|DCR|2VULN|2TLV	13ERES|25TLV|45VULN|5BPWR|6DMSP|79RCR|8ZMB|aAART
6	21341 31113	 * 	292.42	DCR|DCR|2TLV|2MLV|1DMG	13ERES|2RMIN|46MLV|56TLV|6BPWR|79RCR|8ZMB|aDMG
7	21341 31112	 * 	288.71	DCR|DCR|3TLV|2MLV	13aERES|2RMIN|46MLV|56aTLV|6aBPWR|79RCR|8aZMB
8	64532 31122	 * 	287.74	DCR|3VULN|2LIT|1TLV|1RPLT|1ASPD	145VULN|2RPLT|34LIT|4BPWR|6ZMB|7ASPD|8LHND|9RCR|aTLV
9	53261 31112	   	285.64	DCR|DCR|2VULN|2TLV	12CGEN|36VULN|4RCVC|56TLV|6BPWR|79RCR|8ZMB|aLWND
10	53261 31113	   	285.64	DCR|DCR|2VULN|2TLV	12CGEN|36VULN|4RCVC|56TLV|6BPWR|79RCR|8ZMB|aBEXP
11	53261 31116	   	285.64	DCR|DCR|2VULN|2TLV	12CGEN|36VULN|4RCVC|56TLV|6BPWR|79RCR|8ZMB|aAAC
12	53261 31114	   	285.54	DCR|DCR|2VULN|2TLV	12CGEN|36VULN|4RCVC|56TLV|6BPWR|79RCR|8ZMB|aSNIHEL
13	53261 31115	   	285.54	DCR|DCR|2VULN|2TLV	12CGEN|36VULN|4RCVC|56TLV|6BPWR|79RCR|8ZMB|aDUST
14	22261 31112	   	285.44	DCR|DCR|2VULN|2TLV	12ERES|36VULN|4DMSP|56TLV|6BPWR|79RCR|8ZMB|aLWND
15	22261 31113	   	285.44	DCR|DCR|2VULN|2TLV	12ERES|36VULN|4DMSP|56TLV|6BPWR|79RCR|8ZMB|aBEXP
16	22261 31116	   	285.44	DCR|DCR|2VULN|2TLV	12ERES|36VULN|4DMSP|56TLV|6BPWR|79RCR|8ZMB|aAAC
17	26214 51112	   	285.44	DCR|DCR|2VULN|2TLV	14ERES|25TLV|35VULN|5BPWR|6DMSP|79RCR|8ZMB|aLWND
18	26214 51113	   	285.44	DCR|DCR|2VULN|2TLV	14ERES|25TLV|35VULN|5BPWR|6DMSP|79RCR|8ZMB|aBEXP
19	26334 51112	   	285.44	DCR|DCR|2VULN|2TLV	13ERES|25TLV|45VULN|5BPWR|6DMSP|79RCR|8ZMB|aLWND
20	26334 51113	   	285.44	DCR|DCR|2VULN|2TLV	13ERES|25TLV|45VULN|5BPWR|6DMSP|79RCR|8ZMB|aBEXP
21	22261 31114	   	285.34	DCR|DCR|2VULN|2TLV	12ERES|36VULN|4DMSP|56TLV|6BPWR|79RCR|8ZMB|aSNIHEL
22	22261 31115	   	285.34	DCR|DCR|2VULN|2TLV	12ERES|36VULN|4DMSP|56TLV|6BPWR|79RCR|8ZMB|aDUST
23	53261 31343	 * 	284.98	DCR|DCR|3TLV|2VULN	12CGEN|36VULN|4RCVC|568TLV|6BPWR|7aRCR|9ERES
24	22261 31353	   	284.88	DCR|DCR|3TLV|2VULN	12ERES|36VULN|4DMSP|568TLV|6BPWR|7aRCR|9CGEN
25	11613 32614	   	282.38	DCR|DCR|1TLV|1VULN|1DMG	13LHND|2TBNT|3BPWR|4TLV|5AART|6aRCR|7DMG|8VULN|9BBNT
26	21341 31111	   	280.67	DCR|DCR|2TLV|2MLV	13ERES|2RMIN|46MLV|56TLV|6BPWR|79RCR|8ZMB|aAART
27	64421 41124	 * 	278.28	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	1VULN|2RPLT|3MBVNT|4MLV|59LIT|6LHND|78TLV|aRCR
28	11523 13613	   	275.97	DCR|DCR|1TLV|1VULN|1ASPD	1LHND|2TBNT|3VULN|4ASPD|5TLV|6RPLT|7DUR|8aRCR|9LWND
29	61623 13613	   	275.97	DCR|DCR|1TLV|1VULN|1ASPD	1VULN|2TBNT|3LHND|4ASPD|5TLV|6RPLT|7DUR|8aRCR|9LWND
30	66422 22223	 * 	275.89	DCR|2VULN|2TLV|1MLV|1DMG|1CDMG	16VULN|2CDMG|3DMG|4MBVNT|56TLV|6BPWR|7RPLT|8DMSP|9MLV|aRCR
31	22261 31662	 * 	275.53	DCR|2VULN|2TLV|1LIT|1MLV	12ERES|36VULN|4DMSP|56TLV|6BPWR|7RCR|8BBNT|9LIT|aMLV
