0	Index      	 *	Score 	Summary	Detail	
1	12264 63322	 * 	280.44	橙橙2伤害1易伤1等级1暴击	17伤害2双倍矿3暴击4易伤59随机技能68核a等级
2	14231 33166	 * 	273.66	橙橙2易伤1伤害1全技能1雷电	1伤害2金币生成3风暴减费4机枪对头目59易伤6雷电7a核8全技能
3	62217 61432	 * 	273.50	橙3易伤3喷火对甲1等级1全技能	18挖尘268易伤3加一4头目568喷火对甲68序列升级7核9全技能a等级
4	13314 65332	   	269.59	橙橙2易伤1伤害1暴击	1伤害2挖尘3暴击4烈焰减费5随机技能68核7时间9a易伤
5	13334 65332	   	269.59	橙橙2易伤1伤害1暴击	1伤害24挖尘3暴击5随机技能68核7时间9a易伤
6	23312 61365	 * 	268.96	橙橙2导弹对毒1等级2雷电1伤害	12导弹对毒2序列升级38雷电4双倍秒伤5等级6伤害7a核9加一
7	62217 61413	 * 	267.36	橙3易伤3喷火对甲1伤害1暴击	18挖尘268易伤3加一4头目568喷火对甲68序列升级7核9暴击a伤害
8	13314 64332	   	262.65	橙橙2易伤1伤害1暴击	1伤害2挖尘3暴击4烈焰减费5随机技能68核7基地爆炸9a易伤
9	13334 64332	   	262.65	橙橙2易伤1伤害1暴击	1伤害24挖尘3暴击5随机技能68核7基地爆炸9a易伤
10	12264 63332	   	261.18	橙橙2伤害1易伤1暴击	17伤害2双倍矿3暴击4易伤5随机技能68核9时间a立即金币
11	12264 63331	   	261.08	橙橙2伤害1易伤1暴击	17伤害2双倍矿3暴击4易伤5随机技能68核9时间a掉矿
12	12264 63333	   	261.08	橙橙2伤害1易伤1暴击	17伤害2双倍矿3暴击4易伤5随机技能68核9时间a基础对愈
13	13314 63335	   	260.98	橙橙2伤害1易伤1暴击	17伤害2挖尘3暴击4烈焰减费5随机技能68核9时间a易伤
14	13334 63335	   	260.98	橙橙2伤害1易伤1暴击	17伤害24挖尘3暴击5随机技能68核9时间a易伤
15	62217 61434	   	260.94	橙3易伤3喷火对甲1全技能1暴击	18挖尘268易伤3加一4头目568喷火对甲68序列升级7核9全技能a暴击
16	12264 63312	 * 	260.45	橙橙2伤害1易伤2暴击	17伤害2双倍矿3a暴击4易伤5随机技能68核9赏金邻近
17	12631 33265	   	260.01	橙橙1易伤1等级1伤害1雷电	1伤害2双倍矿3等级4机枪对头目5易伤6雷电7a核8敌人爆炸9加一
18	62217 61442	   	259.85	橙3易伤3喷火对甲1等级	18挖尘268易伤3加一4头目568喷火对甲68序列升级7核9随机技能a等级
19	13314 65333	   	258.99	橙橙1易伤1伤害1矿等1暴击	1伤害2挖尘3暴击4烈焰减费5随机技能68核7时间9易伤a矿等
20	13334 65333	   	258.99	橙橙1易伤1伤害1矿等1暴击	1伤害24挖尘3暴击5随机技能68核7时间9易伤a矿等
21	22242 24264	   	258.74	橙橙1易伤1等级1导弹对毒2时间	1导弹对毒2赏金塔38时间4易伤5金币生成6等级7a核9加一
22	22242 26264	   	258.74	橙橙1易伤1等级1导弹对毒2时间	1导弹对毒2赏金塔37时间4易伤5金币生成6等级8a核9加一
23	14123 76233	   	255.94	橙橙1易伤1等级1伤害	1伤害2金币生成3随机矿4加一5易伤6等级7a核8时间9激光对冰
24	14621 36233	   	255.94	橙橙1易伤1等级1伤害	1伤害2金币生成3等级4加一5随机矿6a核7易伤8时间9激光对冰
25	15123 76233	   	255.84	橙橙1易伤1等级1伤害	1伤害2掉矿3随机矿4加一5易伤6等级7a核8时间9激光对冰
26	21312 61365	   	254.27	橙橙1等级2雷电1伤害1导弹对毒	1导弹对毒2毒气减费38雷电4双倍秒伤5等级6伤害7a核9加一
27	12264 63321	   	254.24	橙橙2伤害1易伤1暴击	17伤害2双倍矿3暴击4易伤59随机技能68核a金币生成
28	12264 63323	   	254.24	橙橙2伤害1易伤1暴击	17伤害2双倍矿3暴击4易伤59随机技能68核a最后敌人
29	12264 63311	   	254.04	橙橙2伤害1易伤1暴击	17伤害2双倍矿3暴击4易伤5随机技能68核9赏金邻近a挖尘
30	12264 63313	   	254.04	橙橙2伤害1易伤1暴击	17伤害2双倍矿3暴击4易伤5随机技能68核9赏金邻近a技能点
31	13314 63316	   	253.94	橙橙2伤害1易伤1暴击	17伤害2挖尘3暴击4烈焰减费5随机技能68核9赏金邻近a易伤
32	13334 63316	   	253.94	橙橙2伤害1易伤1暴击	17伤害24挖尘3暴击5随机技能68核9赏金邻近a易伤
33	62217 61422	 * 	252.81	橙4易伤3喷火对甲	18挖尘268a易伤3加一4头目568喷火对甲68序列升级7核9敌人爆炸
34	22242 25264	   	252.13	橙橙1易伤1等级1导弹对毒	1导弹对毒2赏金塔3时间4易伤5金币生成6等级7立即金币8a核9加一
35	13314 64333	   	252.05	橙橙1易伤1伤害1矿等1暴击	1伤害2挖尘3暴击4烈焰减费5随机技能68核7基地爆炸9易伤a矿等
36	13334 64333	   	252.05	橙橙1易伤1伤害1矿等1暴击	1伤害24挖尘3暴击5随机技能68核7基地爆炸9易伤a矿等
