0	Index      	 *	Score 	Summary	Detail	
1	35235 33234	 * 	299.76	DCR|DCR|3VULN|2MLV|1CDMG	1ASPD|24MLV|3CGEN|59aVULN|68RCR|7CDMG
2	35145 33232	   	287.37	DCR|DCR|3VULN|1MLV|1CDMG	1ASPD|2MLV|349VULN|5ERES|68RCR|7CDMG|aFEWX
3	35145 33231	   	287.27	DCR|DCR|3VULN|1MLV|1CDMG	1ASPD|2MLV|349VULN|5aERES|68RCR|7CDMG
4	35145 33233	   	287.27	DCR|DCR|3VULN|1MLV|1CDMG	1ASPD|2MLV|349VULN|5ERES|68RCR|7CDMG|aTSLARM
5	31634 33225	 * 	284.14	DCR|DCR|1VULN|2MLV|2DUR|2ASPD|1CDMG	13ASPD|23DUR|3BPWR|49MLV|5AME|68RCR|7CDMG|aVULN
6	35235 33233	   	277.63	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|24MLV|3CGEN|59VULN|68RCR|7CDMG|aBOSS
7	35235 33236	   	277.63	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|24MLV|3CGEN|59VULN|68RCR|7CDMG|aZMB
8	35144 33223	   	277.53	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|29MLV|34VULN|5AME|68RCR|7CDMG|aBOSS
9	35145 33222	   	277.53	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|29MLV|34VULN|5ERES|68RCR|7CDMG|aFEWX
10	35235 33231	   	277.53	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|24MLV|3CGEN|59VULN|68RCR|7CDMG|aERES
11	35235 33232	   	277.53	DCR|DCR|2VULN|2MLV|1CDMG|1MSE	1ASPD|24MLV|3CGEN|59VULN|68RCR|7CDMG|aMSE
12	35235 33235	   	277.53	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|24MLV|3CGEN|59VULN|68RCR|7CDMG|aMBVNT
13	35144 33221	   	277.43	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|29MLV|34VULN|5AME|68RCR|7CDMG|aERES
14	35144 33222	   	277.43	DCR|DCR|2VULN|2MLV|1CDMG|1MSE	1ASPD|29MLV|34VULN|5AME|68RCR|7CDMG|aMSE
15	35145 33221	   	277.43	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|29MLV|34VULN|5aERES|68RCR|7CDMG
16	35145 33223	   	277.43	DCR|DCR|2VULN|2MLV|1CDMG	1ASPD|29MLV|34VULN|5ERES|68RCR|7CDMG|aTSLARM
17	31513 74183	 * 	275.73	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1ASPD|27DUR|3MBVNT|4CGEN|5CDMG|6TLV|8aRCR|9VULN
18	31543 74183	   	275.63	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1ASPD|27DUR|3MBVNT|4ERES|5CDMG|6TLV|8aRCR|9VULN
19	35235 33224	 * 	274.17	DCR|DCR|3MLV|1VULN|1DUR|1CDMG	1ASPD|249MLV|3CGEN|5VULN|68RCR|7CDMG|aDUR
20	35235 33226	   	274.17	DCR|DCR|3MLV|1VULN|1CDMG|1AAC	1ASPD|249MLV|3CGEN|5VULN|68RCR|7CDMG|aAAC
