0	Index      	 *	Score 	Summary	Detail	
1	11152 31256	 * 	263.85	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG	1LHND|2CGEN|3DMG|4VULN|5TBNT|6CDMG|7DUR|8AART|9aRCR
2	21362 46312	 * 	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1LIT|2VULN|3LHND|4MDPS|5BEXP|6MLV|7DUR|8aRCR|9TLV
3	21363 66312	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1LIT|2VULN|3LHND|4MDPS|5MLV|6DUST|7DUR|8aRCR|9TLV
4	62273 31464	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1AART	1ERES|2MBVNT|3FEWX|4TLV|5MDPS|6MLV|7AART|8aRCR|9VULN
5	11363 51261	 * 	255.14	DCR|DCR|2VULN|2DUR	1LHND|2aCGEN|3BASHEA|4VENICY|5aVULN|69RCR|7ERES|8aDUR|aBPWR
6	63323 53261	   	255.14	DCR|DCR|2VULN|2DUR	1ERES|2aVULN|3FRZARM|4LWND|5aSPLARM|69RCR|7CGEN|8aDUR|aBPWR
7	42231 24513	 * 	250.98	DCR|DCR|3VULN	1LEGI|27aVULN|3BEXP|4FEWX|5AME|69RCR|8MDPS
8	63211 31216	 * 	248.62	ACR|DCR|2VULN|1TLV|1AART|1CDMG	1ERES|29VULN|3FEWX|4aRCR|5CDMG|6LHND|7AART|8TLV
9	53213 14241	   	248.62	ACR|DCR|2VULN|1TLV|1AART|1CDMG	1ZMB|28VULN|3FEWX|47RCR|5TLV|6ERES|9AART|aCDMG
10	42311 31216	   	248.52	ACR|DCR|2VULN|1TLV|1AART|1CDMG	1LEGI|29VULN|3ERES|4aRCR|5CDMG|6LHND|7AART|8TLV
11	11123 64261	 * 	248.33	ACR|DCR|2VULN|1TLV|1DMG	1LHND|2CGEN|3DMG|4DUST|57RCR|6TLV|89VULN|aASPD
12	21362 43312	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1LIT|2VULN|3LHND|4MDPS|5BEXP|6MLV|7LWND|8aRCR|9TLV
13	42411 11352	   	244.54	DCR|DCR|2VULN|1MLV	1LEGI|26VULN|3TBNT|4CGEN|5LWND|7LIT|8aRCR|9MLV
14	42412 11352	   	244.54	DCR|DCR|2VULN|1MLV	1LEGI|26VULN|3TBNT|4CGEN|5FEWX|7LIT|8aRCR|9MLV
15	21363 36312	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1LIT|2VULN|3LHND|4MDPS|5MLV|6LWND|7DUST|8aRCR|9TLV
16	21363 63312	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1LIT|2VULN|3LHND|4MDPS|5MLV|6DUST|7LWND|8aRCR|9TLV
17	42663 33312	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2VULN|3LIT|4MDPS|5MLV|6LWND|7LHND|8aRCR|9TLV
18	63252 11312	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1ERES|2VULN|3FEWX|4CGEN|5TBNT|6TLV|7LIT|8aRCR|9MLV
19	63256 11312	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1ERES|2VULN|3FEWX|4CGEN|5BBNT|6TLV|7LIT|8aRCR|9MLV
20	66316 31312	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1ERES|2CGEN|3TBNT|4LIT|5BEXP|6TLV|7VULN|8aRCR|9MLV
21	26214 34332	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1LIT|2AME|3BBNT|4MLV|5VULN|6TLV|7LHND|8aRCR|9ERES
22	26225 22352	   	244.44	DCR|DCR|1VULN|2DUR|1MLV	1LIT|2AME|3BBNT|4VULN|5FEWX|67DUR|8aRCR|9MLV
