0	Index      	 *	Score 	Summary	Detail	
1	31618 31281	 * 	275.21	DCR|DCR|2VULN|1FLTARM|1DMG	1LWND|24VULN|3MBVNT|5MDPS|6aRCR|7FEWX|8FLTARM|9DMG
2	31644 43411	 * 	266.69	DCR|DCR|2VULN|2DMG	1LWND|25VULN|3MBVNT|4RAT|69RCR|7BELT|8aDMG
3	44644 43411	   	266.59	DCR|DCR|2VULN|2DMG	1LEGI|25VULN|3MBVNT|4RAT|69RCR|7BELT|8aDMG
4	41412 13161	 * 	264.63	DCR|DCR|3VULN|1CDMG	1LEGI|2CDMG|3BASHEA|4RPLT|5TBNT|6aRCR|789VULN
5	41612 13161	   	264.63	DCR|DCR|3VULN|1CDMG	1LEGI|2CDMG|3AIRARM|4RPLT|5TBNT|6aRCR|789VULN
6	31644 43416	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1LWND|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aDUR
7	51214 43461	   	260.79	DCR|DCR|2VULN|1MSLTOX|1MLV|1AAC	12VULN|3MLV|4MBVNT|5CGEN|6AAC|7MSLTOX|8TBNT|9aRCR
8	51214 43561	   	260.79	DCR|DCR|2VULN|1MSLTOX|1MLV|1AAC	12VULN|3MLV|4MBVNT|5CGEN|6AAC|7MSLTOX|8BBNT|9aRCR
9	31612 83461	   	257.92	DCR|DCR|3VULN	1LWND|245VULN|3MBVNT|6ASPD|7AIRARM|8TBNT|9aRCR
10	51241 53122	 * 	257.65	DCR|5VULN|1TLV|1MLV|1CDMG|1AAC	1259aVULN|3MLV|4AAC|6CDMG|7TLV|8RCR
11	51213 17117	 * 	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	12VULN|3MLV|4MBVNT|5aRCR|6RAT|7TLV|8DMG|9BEXP
12	51213 17147	   	256.89	ACR|DCR|2VULN|1TLV|1DMG|1MLV	12VULN|3MLV|4MBVNT|5aRCR|6RAT|7TLV|8DMG|9DUST
13	51263 42122	 * 	256.84	DCR|DCR|2VULN|2MLV	12VULN|39MLV|4RAT|5LIT|6BBNT|7aRCR|8MDPS
14	51333 42122	   	256.84	DCR|DCR|2VULN|2MLV	12VULN|3RAT|49MLV|5LIT|6BBNT|7aRCR|8MDPS
15	31313 44512	 * 	253.21	DCR|4VULN|2DUR|1TLV|1MLV	1LWND|2479VULN|3aDUR|5MLV|6TLV|8RCR
16	51212 25173	 * 	250.95	DCR|4VULN|2DMG|2MLV	1278VULN|39MLV|4MBVNT|58LWND|68DMG|8BPWR|aRCR
17	31644 43412	   	249.10	DCR|DCR|2VULN|1DMG	1LWND|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aRMIN
18	31644 43415	   	249.10	DCR|DCR|2VULN|1DMG	1LWND|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aFEWX
19	31644 43413	   	249.00	DCR|DCR|2VULN|1DMG	1LWND|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aBLASTR
20	31644 43414	   	249.00	DCR|DCR|2VULN|1DMG	1LWND|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aLSRICY
21	31644 43417	   	249.00	DCR|DCR|2VULN|1DMG	1LWND|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aLEGI
22	31645 22427	   	249.00	DCR|DCR|2VULN|1DMG	1LWND|28VULN|3MBVNT|4RAT|5ERES|6DMG|7aRCR|9CGEN
23	44644 43412	   	249.00	DCR|DCR|2VULN|1DMG	1LEGI|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aRMIN
24	44644 43413	   	248.90	DCR|DCR|2VULN|1DMG	1LEGI|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aBLASTR
25	44644 43414	   	248.90	DCR|DCR|2VULN|1DMG	1LEGI|25VULN|3MBVNT|4RAT|69RCR|7BELT|8DMG|aLSRICY
26	13613 48364	 * 	247.81	DCR|3VULN|2MLV|1DMG|2CDMG|1AART	1aCDMG|2aMLV|3MBVNT|4AART|5LHND|6RCR|7DMG|89aVULN|aBPWR
27	31313 45512	 * 	246.34	DCR|3VULN|2MLV|2DUR|1TLV	1LWND|249VULN|3aDUR|57MLV|6TLV|8RCR
