0	Index      	 *	Score 	Summary	Detail	
1	43263 13421	 * 	300.30	DCR|3VULN|3DMG|3DUR|1MLV|1AART|1CDMG	17aDMG|2CDMG|37aDUR|4MLV|5LIT|67aVULN|7aBPWR|8AART|9RCR
2	43113 21433	 * 	289.94	DCR|DCR|3DMG|2TLV|1MLV|1CDMG|1AAC	148DMG|2CDMG|38SPLREG|5AAC|68TLV|79RCR|8BPWR|aMLV
3	43313 21433	   	289.94	DCR|DCR|3DMG|2TLV|1MLV|1CDMG|1AAC	148DMG|2CDMG|38MULHEA|5AAC|68TLV|79RCR|8BPWR|aMLV
4	43223 13421	   	284.59	DCR|3VULN|3DMG|3DUR|1AART|1CDMG	17aDMG|2CDMG|37aDUR|4AME|5LIT|67aVULN|7aBPWR|8AART|9RCR
5	43113 21436	 * 	280.80	DCR|DCR|3DMG|3TLV|1CDMG|1AAC	148DMG|2CDMG|38SPLREG|5AAC|68aTLV|79RCR|8BPWR
6	43313 21436	   	280.80	DCR|DCR|3DMG|3TLV|1CDMG|1AAC	148DMG|2CDMG|38MULHEA|5AAC|68aTLV|79RCR|8BPWR
7	44326 42212	 * 	280.34	DCR|DCR|2VULN|2DMG|1AART	18DMG|2DUST|38VULN|4MBVNT|58LWND|6AART|7aRCR|8BPWR|9AETHUN
8	43113 21431	   	274.34	DCR|DCR|3DMG|2TLV|1CDMG|1AAC	148DMG|2CDMG|38SPLREG|5AAC|68TLV|79RCR|8BPWR|aLIT
9	43113 21432	   	274.34	DCR|DCR|3DMG|2TLV|1CDMG|1AAC	148DMG|2CDMG|38SPLREG|5AAC|68TLV|79RCR|8BPWR|aBEXP
10	43313 21431	   	274.34	DCR|DCR|3DMG|2TLV|1AAC|1CDMG	148DMG|2CDMG|38MULHEA|5AAC|68TLV|79RCR|8BPWR|aLIT
11	43313 21432	   	274.34	DCR|DCR|3DMG|2TLV|1CDMG|1AAC	148DMG|2CDMG|38MULHEA|5AAC|68TLV|79RCR|8BPWR|aBEXP
12	43113 21434	   	274.24	DCR|DCR|3DMG|2TLV|1CDMG|1AAC	148DMG|2CDMG|38SPLREG|5AAC|68TLV|79RCR|8BPWR|aMBVNT
13	43113 21435	   	274.24	DCR|DCR|3DMG|2TLV|1CDMG|1AAC|1MSE	148DMG|2CDMG|38SPLREG|5AAC|68TLV|79RCR|8BPWR|aMSE
14	43313 21434	   	274.24	DCR|DCR|3DMG|2TLV|1CDMG|1AAC	148DMG|2CDMG|38MULHEA|5AAC|68TLV|79RCR|8BPWR|aMBVNT
15	43313 21435	   	274.24	DCR|DCR|3DMG|2TLV|1CDMG|1AAC|1MSE	148DMG|2CDMG|38MULHEA|5AAC|68TLV|79RCR|8BPWR|aMSE
16	43263 11421	   	272.99	DCR|3VULN|2DMG|2DUR|1MLV|1AART|1CDMG	1aDMG|2CDMG|3aDUR|4MLV|5LIT|67aVULN|8AART|9RCR|aBPWR
17	43263 13413	   	272.99	DCR|3VULN|2DMG|2DUR|1MLV|1AART|1CDMG	17DMG|2CDMG|37DUR|4MLV|5LIT|679VULN|7BPWR|8AART|aRCR
18	43263 13422	   	272.99	DCR|3VULN|2DMG|2DUR|1MLV|1AART|1CDMG	17DMG|2CDMG|37DUR|4MLV|5LIT|67aVULN|7BPWR|8AART|9RCR
19	44321 53221	 * 	271.04	DCR|DCR|3VULN|1DMG	1DMG|2DUST|358VULN|4MBVNT|6RAT|7aRCR|9AEWIND
