0	Index      	 *	Score 	Summary	Detail	
1	13224 76383	 * 	296.42	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2TLV|3MBVNT|4BEXP|6ZMB|79RCR|8DUST|aDMG
2	13351 66131	 * 	294.56	DCR|2VULN|2TLV|1MLV|1DMG|1AAC|2DUR|1CDMG	14VULN|24TLV|3AAC|4BPWR|58DUR|6MLV|7CDMG|9DMG|aRCR
3	13643 22112	 * 	290.03	DCR|DCR|1VULN|1TLV|1MLV	1VULN|2TLV|3AME|4RMIN|5MLV|6RAT|7AART|8CGEN|9aRCR
4	13355 12363	 * 	288.76	DCR|4VULN|3TLV|1AAC|1ASPD	1469VULN|246TLV|3AAC|46BPWR|5RCVC|7TBNT|8ASPD|aRCR
5	13224 76381	   	283.29	DCR|DCR|2VULN|1TLV	15VULN|2TLV|3MBVNT|4BEXP|6ZMB|79RCR|8DUST|aRAT
6	13355 12333	 * 	283.20	DCR|3VULN|3TLV|2ASPD|1AAC	146VULN|246TLV|3AAC|46BPWR|5RCVC|7TBNT|89ASPD|aRCR
7	13355 15333	   	283.20	DCR|3VULN|3TLV|2ASPD|1AAC	146VULN|246TLV|3AAC|46BPWR|5RCVC|7BBNT|89ASPD|aRCR
8	13222 66383	   	281.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1SELL	1VULN|2TLV|3MBVNT|4BEXP|5SELL|6CDMG|79RCR|8DUST|aDMG
9	13352 61214	 * 	279.46	DCR|3VULN|2TLV|1DMG|1AAC|1ASPD	149VULN|24TLV|3AAC|4BPWR|5ASPD|6RPLT|7MDPS|8DMG|aRCR
10	13351 32413	 * 	277.76	DCR|3VULN|2TLV|1MLV|1AAC	148VULN|24TLV|3AAC|4BPWR|5DUR|6LWND|7TBNT|9MLV|aRCR
11	13351 35413	   	277.76	DCR|3VULN|2TLV|1MLV|1AAC	148VULN|24TLV|3AAC|4BPWR|5DUR|6LWND|7BBNT|9MLV|aRCR
12	13351 62163	   	277.76	DCR|3VULN|2TLV|1MLV|1AAC	147VULN|24TLV|3AAC|4BPWR|5DUR|6MLV|8FEWX|9BBNT|aRCR
13	13351 62263	   	277.76	DCR|3VULN|2TLV|1MLV|1AAC	147VULN|24TLV|3AAC|4BPWR|5DUR|6MLV|8LWND|9BBNT|aRCR
14	13351 62363	   	277.76	DCR|3VULN|2TLV|1MLV|1AAC	147VULN|24TLV|3AAC|4BPWR|5DUR|6MLV|8LHND|9BBNT|aRCR
15	13351 42413	   	277.66	DCR|3VULN|2TLV|1MLV|1AAC	148VULN|24TLV|3AAC|4BPWR|5DUR|6DUST|7TBNT|9MLV|aRCR
16	11615 33322	   	276.66	DCR|DCR|2VULN|1TLV	18VULN|2RCVC|3LWND|4LHND|5AME|6BELT|7aRCR|9TLV
17	16235 33322	   	276.66	DCR|DCR|2VULN|1TLV	18VULN|2LWND|34LHND|5AME|6BELT|7aRCR|9TLV
18	16245 33322	   	276.66	DCR|DCR|2VULN|1TLV	18VULN|24LWND|3LHND|5AME|6BELT|7aRCR|9TLV
19	13352 14341	 * 	276.58	DCR|2VULN|2TLV|2ASPD|1MLV|1AAC|1SELL	14VULN|24TLV|3AAC|4BPWR|58ASPD|6LWND|7MLV|9SELL|aRCR
20	16215 33322	   	276.56	DCR|DCR|2VULN|1TLV	18VULN|2LWND|3LHND|4AEWIND|5AME|6BELT|7aRCR|9TLV
21	13224 76382	   	276.36	DCR|DCR|2VULN|1TLV	15VULN|2TLV|3MBVNT|4BEXP|6ZMB|79RCR|8DUST|aDMSP
22	13224 76384	   	276.26	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2TLV|3MBVNT|4BEXP|6ZMB|79RCR|8DUST|aMSE
23	12522 44312	 * 	275.64	DCR|3VULN|2MLV|1DMG|1AAC	16aVULN|2aDUST|3CGEN|4AAC|5DMG|7aMLV|8AART|9RCR|aBPWR
24	13241 75481	 * 	275.58	DCR|4VULN|3TLV|3DUR	1489VULN|289TLV|3MBVNT|5LIT|6LHND|789DUR|89BPWR|aRCR
25	13522 23165	   	275.58	DCR|DCR|1VULN|1TLV|2RAT|1CDMG	1VULN|2TLV|3CDMG|4SPLARM|57RAT|6aRCR|8DUST|9ERES
26	14322 44312	   	275.54	DCR|3VULN|2MLV|1DMG|1AAC	16aVULN|2aERES|3AAC|4DUST|5DMG|7aMLV|8AART|9RCR|aBPWR
