0	Index      	 *	Score 	Summary	Detail	
1	51641 32322	 * 	281.90	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aMLV|36VULN|4DUR|5AART|7TLV|8RCR|9RAT
2	34152 31444	 * 	278.38	DCR|DCR|3VULN	1CGEN|2BEXP|3MBVNT|4DUR|5AART|689VULN|7aRCR
3	34181 31444	   	278.38	DCR|DCR|3VULN	1CGEN|2BEXP|3MBVNT|4AART|5DUR|689VULN|7aRCR
4	35152 31444	   	278.38	DCR|DCR|3VULN	1CGEN|2DUST|3MBVNT|4DUR|5AART|689VULN|7aRCR
5	35181 31444	   	278.38	DCR|DCR|3VULN	1CGEN|2DUST|3MBVNT|4AART|5DUR|689VULN|7aRCR
6	51641 32333	 * 	277.84	DCR|3VULN|1TLV|1MLV|1DMG|2DUR	1DMG|2MLV|36aVULN|49DUR|5AART|7TLV|8RCR
7	43231 33561	 * 	277.76	DCR|DCR|1VULN|1TLV|1AAC	1FRZARM|2TLV|3AAC|4RAT|5DUR|6LWND|7VULN|8aRCR|9VENFST
8	51131 33561	 * 	277.43	DCR|DCR|1VULN|1MLV|1DMG	1DMG|2MLV|3LSRICY|4RAT|5DUR|6LWND|7VULN|8aRCR|9VENICY
9	51331 33561	   	277.33	DCR|DCR|1VULN|1MLV|1DMG	1DMG|2MLV|3FRZFST|4RAT|5DUR|6LWND|7VULN|8aRCR|9VENFST
10	22233 14165	 * 	275.16	DCR|DCR|1TLV|1MLV|1AAC|1ASPD	1AAC|2BELT|3MDPS|4MLV|5CGEN|6ASPD|7aRCR|8BLAICY|9TLV
11	51442 23323	 * 	273.99	DCR|2VULN|3DMG|1TLV|1MLV	134DMG|2MLV|5DUR|69VULN|7FRZFST|8RCR|aTLV
12	33154 11314	 * 	273.55	DCR|DCR|2TLV|1VULN|1CDMG	13CGEN|23TLV|3BPWR|4LWND|5LIT|6BASICY|7VULN|89RCR|aCDMG
13	51441 22222	 * 	272.54	DCR|2MLV|3DMG|1VULN|2ASPD	134DMG|28MLV|5AART|68ASPD|7BBNT|8BPWR|9VULN|aRCR
14	33125 21263	 * 	272.22	DCR|3VULN|3TLV|1AAC|1ASPD|1NUKE	13CGEN|236TLV|36BPWR|456VULN|7ASPD|8AAC|9RCR|aNUKE
15	53124 32532	   	270.93	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1DMG|2LWND|3RPLT|4ASPD|58aVULN|6MLV|7RCR|9TLV
16	22211 25144	   	270.82	DCR|DCR|1VULN|1TLV|1AAC	1AAC|2BELT|3MDPS|4VULN|5AME|6aRCR|7LHND|8DUR|9TLV
17	22211 26144	   	270.72	DCR|DCR|1VULN|1TLV|1AAC	1AAC|2BELT|3MDPS|4VULN|5AME|6aRCR|7BEXP|8DUR|9TLV
18	35142 81444	   	270.08	DCR|DCR|3VULN	1CGEN|2DUST|3MBVNT|4FEWX|5AART|689VULN|7aRCR
19	34142 81444	   	269.98	DCR|DCR|3VULN	1CGEN|2BEXP|3MBVNT|4DUST|5AART|689VULN|7aRCR
20	35122 81444	   	269.98	DCR|DCR|3VULN	1CGEN|2DUST|3MBVNT|4BEXP|5AART|689VULN|7aRCR
21	33154 11316	   	268.20	DCR|DCR|2TLV|1VULN	13CGEN|23TLV|3BPWR|4LWND|5LIT|6BASICY|7VULN|89RCR|aDUR
22	61361 11314	   	267.38	DCR|DCR|1VULN|1TLV|1CDMG	1LIT|2DUR|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aCDMG
23	22232 25114	   	267.32	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5LWND|6aRCR|7LHND|8DUR|9TLV
24	22234 25114	   	267.22	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5BEXP|6aRCR|7LHND|8DUR|9TLV
25	22235 25214	   	267.22	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUR|6aRCR|7LHND|8BEXP|9TLV
26	22235 26214	   	267.22	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUR|6aRCR|7BEXP|8LWND|9TLV
27	22235 26314	   	267.22	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUR|6aRCR|7BEXP|8FEWX|9TLV
28	22236 25114	   	267.22	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUST|6aRCR|7LHND|8DUR|9TLV
29	22232 26114	   	267.22	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5LWND|6aRCR|7BEXP|8DUR|9TLV
30	22235 33414	   	267.22	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUR|6DUST|7TLV|8aRCR|9LWND
31	22235 33434	   	267.12	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5DUR|6DUST|7TLV|8aRCR|9BEXP
32	33154 11315	   	266.83	DCR|DCR|2TLV|1VULN	13CGEN|23TLV|3BPWR|4LWND|5LIT|6BASICY|7VULN|89RCR|aRAT
33	51423 13363	   	266.82	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	13DMG|2MLV|46VULN|5BEXP|7DUST|8TLV|9RCR|aAAC
34	33125 31524	 * 	262.96	DCR|2VULN|2TLV|1MLV|1DMG|1ASPD	13CGEN|23TLV|3BPWR|45VULN|6DMG|7ERES|8ASPD|9MLV|aRCR
35	35152 31464	   	262.79	DCR|DCR|2VULN|2DUR	1CGEN|2DUST|3MBVNT|49DUR|5AART|68VULN|7aRCR
36	35181 31464	   	262.79	DCR|DCR|2VULN|2DUR	1CGEN|2DUST|3MBVNT|4AART|59DUR|68VULN|7aRCR
37	33125 21156	   	262.56	DCR|3VULN|3TLV|1AAC|1ASPD	13CGEN|236TLV|36BPWR|456VULN|7ASPD|8BELT|9AAC|aRCR
38	33125 21265	   	262.56	DCR|3VULN|3TLV|1AAC|1ASPD	13aCGEN|236TLV|36BPWR|456VULN|7ASPD|8AAC|9RCR
39	33125 21266	   	262.56	DCR|3VULN|3TLV|1AAC|1ASPD	13CGEN|236TLV|36BPWR|456VULN|7ASPD|8AAC|9RCR|aLHND
40	33125 21261	   	262.46	DCR|3VULN|3TLV|1AAC|1ASPD	13CGEN|236TLV|36BPWR|456VULN|7ASPD|8AAC|9RCR|aERES
41	33125 21262	   	262.46	DCR|3VULN|3TLV|1AAC|1ASPD|1MSE	13CGEN|236TLV|36BPWR|456VULN|7ASPD|8AAC|9RCR|aMSE
42	51613 33261	 * 	262.33	DCR|2MLV|2TLV|1VULN|1DMG|1ASPD|1SELL	1DMG|29MLV|3VULN|4ASPD|5SELL|69AEBURN|7CGEN|89TLV|9BPWR|aRCR
43	51641 12322	   	262.25	DCR|2MLV|1VULN|1TLV|1DMG|2DUR	1DMG|2aMLV|3VULN|46DUR|5AART|7TLV|8RCR|9RAT
44	36342 22243	 * 	261.93	DCR|3MLV|2VULN|1TLV	125CGEN|26BPWR|36VULN|46aMLV|7RPLT|8TLV|9RCR
45	13423 11141	   	261.62	DCR|3VULN|1TLV|1MLV|1DMG	1BBNT|2DMG|3TLV|4CGEN|59aVULN|6RAT|7MLV|8RCR
46	33433 11141	   	261.62	DCR|3VULN|1TLV|1MLV|1DMG	1CGEN|2TLV|3DMG|4BBNT|59aVULN|6RAT|7MLV|8RCR
47	52423 11141	   	261.62	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|2TBNT|3TLV|4CGEN|59aVULN|6RAT|7MLV|8RCR
48	61361 11315	   	260.67	DCR|DCR|1VULN|1TLV	1LIT|2DUR|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aRAT
49	61361 11316	   	260.28	DCR|DCR|1VULN|1TLV|2DUR	1LIT|2aDUR|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR
50	33154 11311	   	259.90	DCR|DCR|2TLV|1VULN	13CGEN|23TLV|3BPWR|4LWND|5LIT|6BASICY|7VULN|89RCR|aZMB
51	33154 11313	   	259.90	DCR|DCR|2TLV|1VULN	13CGEN|23TLV|3BPWR|4aLWND|5LIT|6BASICY|7VULN|89RCR
52	33154 11312	   	259.80	DCR|DCR|2TLV|1VULN	13CGEN|23TLV|3BPWR|4LWND|5LIT|6BASICY|7VULN|89RCR|aBEXP
53	33125 21663	   	259.22	DCR|3VULN|3TLV|1ASPD|1CDMG	13CGEN|236TLV|36BPWR|456VULN|7ASPD|8ERES|9RCR|aCDMG
54	33334 11314	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1CGEN|2TLV|3FEWX|4AEBURN|5LIT|6BASICY|7VULN|89RCR|aCDMG
55	63341 11314	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1LIT|24LHND|3TLV|5ERES|6BASICY|7VULN|89RCR|aCDMG
56	63363 11314	   	259.07	DCR|DCR|1VULN|1TLV|1CDMG	1LIT|2LHND|3TLV|45ERES|6BASICY|7VULN|89RCR|aCDMG
57	62361 11314	   	258.97	DCR|DCR|1VULN|1TLV|1CDMG	1LIT|2BEXP|3TLV|4AEFRZ|5ERES|6BASICY|7VULN|89RCR|aCDMG
58	22232 25514	   	258.91	DCR|DCR|1TLV|1MLV|1AAC	1AAC|2BELT|3MDPS|4MLV|5LWND|6aRCR|7LHND|8BEXP|9TLV
