0	Index      	 *	Score 	Summary	Detail	
1	35353 11513	 * 	314.13	DCR|3VULN|3MLV|2TLV|2DUR	137VULN|27TLV|4LHND|58DUR|67aMLV|7BPWR|9RCR
2	35312 63226	 * 	313.51	DCR|DCR|2VULN|1TLV|1DMG|1AAC	13VULN|2TLV|4ERES|5AAC|6aRCR|7TBNT|8CGEN|9DMG
3	35312 63326	   	313.51	DCR|DCR|2VULN|1TLV|1DMG|1AAC	13VULN|2TLV|4ERES|5AAC|6aRCR|7TBNT|8RMIN|9DMG
4	35353 11511	   	308.59	DCR|3VULN|2MLV|2TLV|1AAC|2DUR	137VULN|27TLV|4LHND|58DUR|67MLV|7BPWR|9RCR|aAAC
5	35342 32123	   	299.33	DCR|3VULN|2MLV|1TLV|1DMG|1AAC	138VULN|2TLV|4aMLV|5AAC|6DMG|7RCR|9BEXP
6	35122 41231	 * 	298.99	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4LHND|5AAC|67DMG|7BPWR|8RAT|9DUR|aRCR
7	35132 41231	   	298.99	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4FEWX|5AAC|67DMG|7BPWR|8RAT|9DUR|aRCR
8	35112 41251	   	298.89	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4DUST|5AAC|67DMG|7BPWR|8RAT|9DUR|aRCR
9	35162 41221	   	298.89	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4DUR|5AAC|67DMG|7BPWR|8RAT|9DUST|aRCR
10	11251 62326	   	296.37	DCR|DCR|2VULN|1DMG|1AAC|2DUR	1AAC|2RMIN|35VULN|46DUR|7aRCR|8BBNT|9DMG
11	55333 25213	 * 	295.27	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1FEWX|2TLV|3VULN|4RAT|5CDMG|69RCR|7LIT|8ERES|aMLV
12	35342 32523	 * 	293.45	DCR|2VULN|2MLV|2DMG|1TLV|1AAC	13VULN|2TLV|4aMLV|5AAC|68DMG|7RCR|9BEXP
13	35312 63161	   	293.45	DCR|DCR|2VULN|1TLV|1AAC	13VULN|2TLV|4ERES|5AAC|6aRCR|7TBNT|8BBNT|9BELT
14	35342 63133	   	293.11	DCR|3VULN|2MLV|1TLV|1AAC|2RAT	13aVULN|2TLV|4aMLV|5AAC|6RCR|7aRAT|8TBNT|9BBNT|aBPWR
15	35342 33125	 * 	292.83	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	137VULN|2TLV|4MLV|5AAC|6aDMG|8LIT|9RCR
16	35342 32126	   	292.73	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	138VULN|2TLV|4MLV|5AAC|6aDMG|7RCR|9BEXP
17	35353 11512	   	291.70	DCR|3VULN|2MLV|2TLV|2DUR	137VULN|27TLV|4LHND|58DUR|67MLV|7BPWR|9RCR|aDMSP
18	35342 32116	   	291.49	DCR|3VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	138VULN|2TLV|4MLV|5AAC|6DMG|7RCR|9RCVC|aASPD
19	25311 33242	   	291.31	DCR|DCR|2VULN|1TLV|2DUR	1LHND|2TLV|35VULN|4ERES|6FRZFST|79DUR|8aRCR
20	55311 33242	   	291.31	DCR|DCR|2VULN|1TLV|2DUR	1FEWX|2TLV|35VULN|4ERES|6FRZFST|79DUR|8aRCR
21	35311 33242	   	291.31	DCR|DCR|2VULN|1TLV|2DUR	13VULN|2TLV|4ERES|5FEWX|6FRZFST|79DUR|8aRCR
22	65121 33242	   	291.31	DCR|DCR|2VULN|1TLV|2DUR	1ERES|2TLV|35VULN|4LHND|6FRZFST|79DUR|8aRCR
23	65131 33242	   	291.31	DCR|DCR|2VULN|1TLV|2DUR	1ERES|2TLV|35VULN|4FEWX|6FRZFST|79DUR|8aRCR
24	35511 33242	   	291.21	DCR|DCR|2VULN|1TLV|2DUR	15VULN|2TLV|3BEXP|4ERES|6FRZFST|79DUR|8aRCR
25	35122 41221	   	290.58	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4LHND|5AAC|67DMG|7BPWR|8RAT|9DUST|aRCR
26	35132 41221	   	290.58	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4FEWX|5AAC|67DMG|7BPWR|8RAT|9DUST|aRCR
27	35132 41261	   	290.58	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4FEWX|5AAC|67DMG|7BPWR|8RAT|9LEGI|aRCR
28	35112 41231	   	290.48	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	17VULN|27TLV|3MLV|4DUST|5AAC|67DMG|7BPWR|8RAT|9LEGI|aRCR
29	35342 32133	 * 	290.34	DCR|3VULN|2AAC|1TLV|1MLV|1DMG	138VULN|2TLV|4MLV|5aAAC|6DMG|7RCR|9BELT
30	35342 32121	   	290.24	DCR|3VULN|2AAC|1TLV|1MLV|1DMG	138VULN|2TLV|4MLV|5aAAC|6DMG|7RCR|9BEXP
31	11251 22326	   	289.82	DCR|DCR|2VULN|1DMG|1AAC	1AAC|26RMIN|35VULN|4DUR|7aRCR|8BBNT|9DMG
32	35312 66123	   	289.32	DCR|3VULN|2TLV|1MLV|1DMG|1AAC	137VULN|27TLV|47ERES|5AAC|6RCR|7BPWR|8DMG|9BEXP|aMLV
33	35342 33533	   	288.89	DCR|3VULN|1TLV|1MLV|1DMG|1AAC|1CDMG	137VULN|2TLV|4MLV|5AAC|6DMG|8CDMG|9BELT|aRCR
34	35521 32226	 * 	285.65	DCR|4VULN|2TLV|2ASPD	1678VULN|27TLV|3BEXP|4LIT|57ASPD|7BPWR|9RCR|aDUR
35	33121 33242	 * 	285.42	DCR|DCR|2VULN|1MLV|2DUR	15VULN|2ERES|3MLV|4LHND|6FRZFST|79DUR|8aRCR
36	33131 33242	   	285.42	DCR|DCR|2VULN|1MLV|2DUR	15VULN|2ERES|3MLV|4FEWX|6FRZFST|79DUR|8aRCR
37	64121 33242	   	285.42	DCR|DCR|2VULN|1MLV|2DUR	1ERES|25VULN|3MLV|4LHND|6FRZFST|79DUR|8aRCR
38	64131 33242	   	285.42	DCR|DCR|2VULN|1MLV|2DUR	1ERES|25VULN|3MLV|4FEWX|6FRZFST|79DUR|8aRCR
39	33111 34242	   	285.32	DCR|DCR|2VULN|1MLV|2DUR	15VULN|2ERES|3MLV|4DUST|6FRZFST|79DUR|8aRCR
40	33161 31242	   	285.32	DCR|DCR|2VULN|1MLV|2DUR	15VULN|2ERES|3MLV|49DUR|6FRZFST|7DUST|8aRCR
41	12653 24213	   	284.89	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1AAC|2LEGI|3DMG|4DUR|5TBNT|6AETHUN|78RCR|9TLV|aMLV
42	35311 33212	   	284.76	DCR|DCR|2VULN|1TLV	13VULN|2TLV|4ERES|59FEWX|6FRZFST|7DUR|8aRCR
43	55311 33212	   	284.76	DCR|DCR|2VULN|1TLV	19FEWX|2TLV|35VULN|4ERES|6FRZFST|7DUR|8aRCR
44	65131 33212	   	284.76	DCR|DCR|2VULN|1TLV	1ERES|2TLV|35VULN|49FEWX|6FRZFST|7DUR|8aRCR
45	35342 32533	 * 	284.47	DCR|2VULN|2DMG|2AAC|1TLV|1MLV	13VULN|2TLV|4MLV|5aAAC|68DMG|7RCR|9BELT
46	35342 32521	   	284.37	DCR|2VULN|2DMG|2AAC|1TLV|1MLV	13VULN|2TLV|4MLV|5aAAC|68DMG|7RCR|9BEXP
