0	Index      	 *	Score 	Summary	Detail	
1	31242 25236	 * 	279.22	DCR|4VULN|3TLV|1AAC|1CDMG	18LWND|2678VULN|3AAC|4BBNT|568TLV|68BPWR|9CDMG|aRCR
2	31322 54115	 * 	275.62	DCR|DCR|3VULN|1CDMG	1LWND|245VULN|3CDMG|6TBNT|7CGEN|8aRCR|9BBNT
3	31322 55115	   	275.52	DCR|DCR|3VULN|1CDMG	1LWND|245VULN|3CDMG|6TBNT|7ERES|8aRCR|9BBNT
4	54331 11243	 * 	270.42	DCR|2VULN|2MLV|1TLV|1AAC	15MLV|2DUST|3AME|45VULN|5BPWR|6DUR|7RAT|8RCR|9TLV|aAAC
5	53534 33322	 * 	268.73	DCR|3VULN|2MLV|1TLV	19MLV|2DUR|39DUST|489VULN|5TBNT|6RCVC|7RCR|9BPWR|aTLV
6	54131 21531	   	268.63	DCR|3VULN|2MLV|1TLV	15MLV|28DUST|3CGEN|457VULN|5BPWR|6TLV|9RCR|aDUR
7	31322 12242	 * 	268.33	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1LWND|245VULN|3CDMG|6DMG|7TLV|8BBNT|9MLV|aRCR
8	61322 12242	   	268.23	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1BEXP|245VULN|3CDMG|6DMG|7TLV|8BBNT|9MLV|aRCR
9	54131 11224	   	261.84	DCR|2VULN|2MLV|1TLV	15MLV|2DUST|3CGEN|45VULN|5BPWR|6DUR|7RAT|8RCR|9AART|aTLV
10	54331 11224	   	261.84	DCR|2VULN|2MLV|1TLV	15MLV|2DUST|3AME|45VULN|5BPWR|6DUR|7RAT|8RCR|9AART|aTLV
11	54131 23632	 * 	261.83	DCR|3MLV|2VULN|1TLV	158MLV|2DUST|3CGEN|45VULN|5BPWR|6TLV|7FEWX|9RCR|aTBNT
12	54131 23633	   	261.83	DCR|3MLV|2VULN|1TLV	158MLV|2DUST|3CGEN|45VULN|5BPWR|6TLV|7FEWX|9RCR|aLWND
