0	Index      	 *	Score 	Summary	Detail	
1	53313 35353	 * 	296.11	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	13TLV|2ASPD|4BEXP|5DMG|6ZMB|7FEWX|89RCR|aVULN
2	21232 41434	 * 	294.23	DCR|DCR|2VULN|2MLV	17FEWX|28VULN|3BBNT|46MLV|5RMIN|9aRCR
3	31226 36234	 * 	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2VULN|3BBNT|4TLV|5DMG|6AEPOI|7aRCR|8MLV|9CGEN
4	31423 36234	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2VULN|3DMG|4TLV|5BBNT|6AEPOI|7aRCR|8MLV|9CGEN
5	31232 42434	   	294.13	DCR|DCR|2VULN|2MLV	1BEXP|28VULN|3BBNT|46MLV|57RMIN|9aRCR
6	31232 33434	   	294.03	DCR|DCR|2VULN|2MLV	1BEXP|28VULN|3BBNT|47MLV|5RMIN|6AEPOI|9aRCR
7	31123 36244	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BEXP|2VULN|3AME|4TLV|5BBNT|6AEPOI|7aRCR|8MLV|9ASPD
8	31222 36244	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BEXP|2VULN|3BBNT|4TLV|5RMIN|6AEPOI|7aRCR|8MLV|9ASPD
9	31223 36234	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BEXP|2VULN|3BBNT|4TLV|5ASPD|6AEPOI|7aRCR|8MLV|9CGEN
10	21222 34434	 * 	286.00	DCR|DCR|2VULN|2TLV	1FEWX|28VULN|3BBNT|47TLV|5RMIN|6AEPOI|9aRCR
11	31123 34434	   	285.90	DCR|DCR|2VULN|2TLV	1BEXP|28VULN|3AME|47TLV|5BBNT|6AEPOI|9aRCR
12	31222 34434	   	285.90	DCR|DCR|2VULN|2TLV	1BEXP|28VULN|3BBNT|47TLV|5RMIN|6AEPOI|9aRCR
13	13611 25332	   	282.02	DCR|DCR|1VULN|1MLV|1ASPD	1RAT|2TBNT|3LIT|4AART|5DUR|6MLV|79RCR|8VULN|aASPD
14	53123 35353	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|34DUST|5DMG|6ZMB|7FEWX|89RCR|aVULN
15	53133 35353	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3DUST|4AEPOI|5DMG|6ZMB|7FEWX|89RCR|aVULN
16	21216 13434	 * 	281.04	DCR|DCR|4VULN	15FEWX|2458VULN|3BBNT|5BPWR|6AEFBLL|7LEGI|9aRCR
17	31216 23434	   	280.94	DCR|DCR|4VULN	15BEXP|2458VULN|3BBNT|5BPWR|6LHND|7AEFBLL|9aRCR
18	31216 13434	   	280.84	DCR|DCR|4VULN	15BEXP|2458VULN|3BBNT|5BPWR|6AEFBLL|7LEGI|9aRCR
19	12621 25332	   	273.71	DCR|DCR|1VULN|1MLV|1ASPD	1RAT|2LWND|3LIT|4BBNT|5AART|6MLV|79RCR|8VULN|aASPD
20	12651 25332	   	273.71	DCR|DCR|1VULN|1MLV|1ASPD	1RAT|2LWND|3LIT|4TBNT|5AART|6MLV|79RCR|8VULN|aASPD
21	13631 25332	   	273.61	DCR|DCR|1VULN|1MLV|1ASPD	1RAT|2TBNT|3LIT|4DUST|5AART|6MLV|79RCR|8VULN|aASPD
22	13641 25332	   	273.61	DCR|DCR|1VULN|1MLV|1ASPD	1RAT|2TBNT|3LIT|4LEGI|5AART|6MLV|79RCR|8VULN|aASPD
