0	Index      	 *	Score 	Summary	Detail	
1	13113 53611	 * 	309.11	DCR|4VULN|2MLV|2TLV	17TLV|2AART|3ERES|47MLV|567aVULN|7BPWR|8RAT|9RCR
2	14352 12335	 * 	298.43	DCR|2VULN|3TLV|2MLV|1DMG|1AAC	149TLV|2MBVNT|3AAC|59VULN|6ERES|7DMG|89MLV|9BPWR|aRCR
3	14443 48641	 * 	292.21	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1TLV|2MBVNT|3AEPOI|4CDMG|5MULHEA|6ASPD|7aRCR|8AAC|9VULN
4	13113 53613	   	289.94	DCR|3VULN|2MLV|2TLV	17TLV|2AART|3ERES|47MLV|567VULN|7BPWR|8RAT|9RCR|aTBNT
5	13113 53614	   	289.94	DCR|3VULN|2MLV|2TLV	17TLV|2AART|3ERES|47MLV|567VULN|7BPWR|8RAT|9RCR|aLHND
6	13113 53616	   	289.94	DCR|3VULN|2MLV|2TLV	17TLV|2AART|3ERES|47MLV|567VULN|7BPWR|8RAT|9RCR|aFEWX
7	13113 53612	   	289.84	DCR|3VULN|2MLV|2TLV|1MSE	17TLV|2AART|3ERES|47MLV|567VULN|7BPWR|8RAT|9RCR|aMSE
8	13113 53615	   	289.84	DCR|3VULN|2MLV|2TLV	17TLV|2AART|3ERES|47MLV|567VULN|7BPWR|8RAT|9RCR|aBEXP
9	12362 74348	 * 	289.68	DCR|DCR|3ASPD|1VULN|1TLV	1TLV|239ASPD|4VULN|5MBVNT|6CGEN|7RPLT|8aRCR
10	14635 44333	 * 	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9DUR|aRAT
11	14635 43333	   	289.35	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9DUR|aRAT
12	14635 44334	   	289.07	DCR|DCR|1VULN|1TLV|1MLV|2DUR	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9aDUR
13	14635 43334	   	288.97	DCR|DCR|1VULN|1TLV|1MLV|2DUR	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9aDUR
14	14635 44313	   	287.86	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9TBNT|aCDMG
15	14635 43313	   	287.76	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9TBNT|aCDMG
16	11345 31622	 * 	286.44	DCR|3VULN|2TLV|2DMG|1MLV	16TLV|2RCVC|3MLV|49DMG|56aVULN|6BPWR|7BEXP|8RCR
17	14425 43214	   	285.81	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1TLV|2MBVNT|3AEPOI|4NUKE|5AAC|6aRCR|7RAT|8MLV|9DMG
18	14475 43214	   	285.81	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1TLV|2MBVNT|3AEPOI|4DMG|5AAC|6aRCR|7RAT|8MLV|9NUKE
19	13526 12162	 * 	285.17	DCR|3MLV|2TLV|2ASPD|1DMG|1SELL	19TLV|2AART|3DUR|49ASPD|589MLV|6SELL|7RCR|9BPWR|aDMG
20	11364 31621	   	284.90	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1TLV|2RCVC|36MLV|46VULN|5AAC|6BPWR|7BEXP|8RCR|9DMG|aNUKE
21	11364 31623	   	283.55	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1TLV|2RCVC|36MLV|46VULN|5AAC|6BPWR|7BEXP|8RCR|9DMG|aAART
22	13113 53516	   	282.91	DCR|3VULN|2MLV|2TLV	17TLV|2AART|3ERES|47MLV|567VULN|7BPWR|8LIT|9MDPS|aRCR
23	14612 12122	   	282.66	DCR|3VULN|2MLV|2TLV|1SELL	1aTLV|2MBVNT|35aVULN|4AART|6SELL|7RCR|8aMLV|9MDPS|aBPWR
24	14635 44331	   	282.52	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9DUR|aFEWX
25	14635 44324	   	282.52	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9LWND|aDUR
26	14635 43324	   	282.42	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9LWND|aDUR
27	14635 44332	   	282.42	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9DUR|aSELL
28	13214 53362	   	282.42	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2AART|3ZMB|4MLV|5DLOT|6aRCR|7BLASTR|8VULN|9LWND
29	14635 43331	   	282.42	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9DUR|aFEWX
30	13623 15523	   	282.38	DCR|3VULN|2MLV|1TLV|1CDMG	1TLV|2AART|3BELT|458VULN|69MLV|7CDMG|aRCR
31	13214 53532	   	282.32	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2AART|3ZMB|4MLV|5DLOT|6aRCR|7BLASTR|8AETHUN|9VULN
32	14211 33663	   	282.32	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3AETHUN|4AART|5ERES|6VULN|7CGEN|8aRCR|9MLV
33	14635 43332	   	282.32	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9DUR|aSELL
34	13526 12163	 * 	282.00	DCR|3MLV|2TLV|2ASPD|1AAC|1SELL	19TLV|2AART|3DUR|49ASPD|589MLV|6SELL|7RCR|9BPWR|aAAC
35	14635 44323	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9LWND|aRAT
36	14635 44344	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7ZMB|9FEWX|aRAT
37	14635 43323	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9LWND|aRAT
38	14635 43344	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2MBVNT|3VULN|4MLV|5LIT|68RCR|7NUKE|9FEWX|aRAT
39	12323 54352	 * 	280.49	DCR|DCR|2TLV|2ASPD|1CDMG	15TLV|23ASPD|4CDMG|6AART|7BEXP|8aRCR|9FRZICY
40	12364 32326	 * 	280.17	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG|1AAC	1TLV|23ASPD|4aVULN|5AAC|6LSRICY|7DMG|8MLV|9RCR
