0	Index      	 *	Score 	Summary	Detail	
1	16347 12732	 * 	289.63	DCR|2LIT|2VULN|1MLV|1DMG|1AART|1ASPD	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6DMG|7MLV|8ASPD|9RCR|aAART
2	26222 11423	 * 	286.73	DCR|2LIT|2DMG|1VULN|1MLV|1NUKE|1ASPD	1LHND|2ASPD|3MLV|46DMG|57LIT|8RCR|9VULN|aNUKE
3	26222 11421	 * 	283.96	DCR|3LIT|2DMG|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MLV|46DMG|57aLIT|8RCR|9VULN
4	26222 11424	 * 	282.11	DCR|2LIT|2MLV|2DMG|1VULN|1ASPD	1LHND|2ASPD|3aMLV|46DMG|57LIT|8RCR|9VULN
5	16347 24461	 * 	281.87	DCR|2LIT|3VULN|1MLV|1DMG	1ERES|2MBVNT|35LIT|456VULN|5BPWR|7DMG|8FRZICY|9RCR|aMLV
6	33532 21235	 * 	281.20	DCR|3LIT|3VULN|1MLV	129CGEN|3FEWX|479LIT|569VULN|8RCR|9BPWR|aMLV
7	33562 21235	   	281.20	DCR|3LIT|3VULN|1MLV	129CGEN|3FEWX|469VULN|579LIT|8RCR|9BPWR|aMLV
8	34532 21235	   	281.20	DCR|3LIT|3VULN|1MLV	19CGEN|2RCVC|3FEWX|479LIT|569VULN|8RCR|9BPWR|aMLV
9	36134 21536	   	281.10	DCR|3LIT|3VULN|1MLV	139CGEN|2MBVNT|479LIT|569VULN|8RCR|9BPWR|aMLV
10	36142 21536	   	281.10	DCR|3LIT|3VULN|1MLV	139CGEN|2MBVNT|469VULN|579LIT|8RCR|9BPWR|aMLV
11	36434 21536	   	281.10	DCR|3LIT|3VULN|1MLV	139CGEN|2MBVNT|39BPWR|479LIT|569VULN|8RCR|aMLV
12	36442 21536	   	281.10	DCR|3LIT|3VULN|1MLV	139CGEN|2MBVNT|39BPWR|469VULN|579LIT|8RCR|aMLV
13	16347 17342	 * 	277.97	DCR|3LIT|2VULN|2DMG|1CDMG	1ERES|2MBVNT|359LIT|45VULN|5BPWR|6aDMG|7CDMG|8RCR
14	16347 12324	 * 	277.32	DCR|2LIT|2VULN|2DMG|1MLV	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6aDMG|7MLV|8FEWX|9RCR
15	16347 11424	   	277.22	DCR|2LIT|2VULN|2DMG|1MLV	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6aDMG|7DUST|8MLV|9RCR
16	16347 12224	   	277.22	DCR|2LIT|2VULN|2DMG|1MLV	1ERES|2MBVNT|35LIT|45VULN|5BPWR|6aDMG|7MLV|8DUST|9RCR
