0	Index      	 *	Score 	Summary	Detail	
1	25323 52251	 * 	306.32	DCR|3MLV|1LIT|2VULN|2DMG|2CDMG	147MLV|2aVULN|37CDMG|5BELT|67DMG|7BPWR|8LIT|9RCR
2	33231 34776	 * 	304.53	DCR|3LIT|2FLTARM|2VULN|1CDMG	1AART|2MBVNT|39VULN|459LIT|6CDMG|7LWND|89FLTARM|9BPWR|aRCR
3	33231 14776	   	304.43	DCR|3LIT|2FLTARM|2VULN|1CDMG	1AART|2MBVNT|39VULN|459LIT|6DUST|7CDMG|89FLTARM|9BPWR|aRCR
4	25434 48122	 * 	301.25	DCR|2LIT|3VULN|1FLTARM|1MLV	1MLV|26aVULN|3LEGI|4MBVNT|57LIT|8RCR|9FLTARM
5	25141 51143	 * 	296.14	DCR|2MLV|3VULN|1LIT|1DMG	13MLV|238VULN|3BPWR|4LHND|5MBVNT|6RCR|7ZMB|9LIT|aDMG
6	56234 24423	 * 	295.97	ACR|2LIT|2VULN|1FLTARM|2DMG|1MLV	19VULN|2TLV|3RCR|4MBVNT|59LIT|6DUST|7MLV|89DMG|9BPWR|aFLTARM
7	25434 46122	 * 	293.60	DCR|4VULN|1LIT|1FLTARM|1MLV	1MLV|267aVULN|3LEGI|4MBVNT|5LIT|8RCR|9FLTARM
8	23123 34215	   	291.07	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1MLV|2DUST|3FLTARM|46VULN|5aLIT|7ASPD|8LHND|9RCR
9	23123 34415	   	290.97	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1MLV|2DUST|3FLTARM|46VULN|5aLIT|7ASPD|8DUR|9RCR
10	51132 13364	 * 	289.95	ACR|2LIT|4VULN|2MLV	138aVULN|23CGEN|3aBPWR|4RCR|5aMLV|6ZMB|7FEWX|9aLIT
11	52511 32122	   	289.81	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG|1SELL	1aVULN|2LIT|3SELL|4DUR|5MLV|6CDMG|7DMG|8RCR|9FLTARM
12	25121 46125	 * 	288.74	DCR|2LIT|2MLV|2VULN|1FLTARM|2DUR	13MLV|23VULN|3BPWR|46DUR|5MBVNT|7aLIT|8RCR|9FLTARM
13	25121 76122	 * 	287.79	DCR|2MLV|3VULN|1LIT|1FLTARM	13MLV|23aVULN|3BPWR|4DUR|5MBVNT|6DMSP|7LIT|8RCR|9FLTARM
14	25121 46122	   	287.64	DCR|2MLV|3VULN|1LIT|1FLTARM|2DUR	13MLV|23aVULN|3BPWR|46DUR|5MBVNT|7LIT|8RCR|9FLTARM
15	24321 54224	   	286.61	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	1aMLV|2CGEN|3aVULN|4DMG|5MBVNT|6RCR|7LWND|8SELL|9aLIT|aBPWR
16	24321 56224	   	286.61	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	1aMLV|2CGEN|3aVULN|4DMG|5MBVNT|6RCR|7FEWX|8SELL|9aLIT|aBPWR
17	52511 32124	   	286.48	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG|1SELL	1VULN|2aLIT|3SELL|4DUR|5MLV|6CDMG|7DMG|8RCR|9FLTARM
18	25141 53143	   	285.73	DCR|2MLV|3VULN|1LIT|1DMG	13MLV|238VULN|3BPWR|4LHND|5MBVNT|6RCR|7CGEN|9LIT|aDMG
19	25234 64425	   	285.22	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1MLV|28VULN|3RCR|4MBVNT|5aLIT|6ZMB|7DMG|9FLTARM
20	23146 22312	   	284.93	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1MLV|2DUST|3FLTARM|4ASPD|5LHND|6VULN|78LIT|9RCR|aDMG
21	23123 44212	   	284.93	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1MLV|2DUST|3FLTARM|4VULN|56LIT|7ASPD|8LHND|9RCR|aDMG
22	23123 44412	   	284.83	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1MLV|2DUST|3FLTARM|4VULN|56LIT|7ASPD|8DUR|9RCR|aDMG
23	52122 13324	 * 	284.70	DCR|2LIT|2MLV|3VULN	16aVULN|2aLIT|37RMIN|4ERES|5FEWX|8RCR|9aMLV|aBPWR
24	25163 15213	   	284.55	DCR|2LIT|2MLV|3VULN	13MLV|239VULN|3BPWR|4ERES|57LIT|6TLV|8RCR|aBEXP
25	52121 53324	   	284.55	DCR|2LIT|2MLV|3VULN	16aVULN|2aLIT|3RMIN|4ERES|5RCVC|7DUR|8RCR|9aMLV|aBPWR
26	25163 15211	   	284.40	DCR|2LIT|2MLV|3VULN	13MLV|239VULN|3BPWR|4ERES|57LIT|6TLV|8RCR|aMBVNT
27	25163 15212	   	284.18	DCR|2LIT|2MLV|3VULN|1SELL	13MLV|239VULN|3BPWR|4ERES|57LIT|6TLV|8RCR|aSELL
28	24321 31224	   	283.91	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	1aMLV|2CGEN|3aVULN|4DMG|5MBVNT|6LWND|7RCR|8SELL|9aLIT|aBPWR
29	24321 61224	   	283.91	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	1aMLV|2CGEN|3aVULN|4DMG|5MBVNT|6BEXP|7RCR|8SELL|9aLIT|aBPWR
30	24321 41224	   	283.76	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	1aMLV|2CGEN|3aVULN|4DMG|5MBVNT|6DUR|7RCR|8SELL|9aLIT|aBPWR
31	25436 11224	   	283.76	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	1aMLV|2aVULN|3LEGI|4MBVNT|5CGEN|6DMG|7RCR|8SELL|9aLIT|aBPWR
32	25363 11262	   	283.41	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	17MLV|24VULN|3CDMG|5BELT|6RCR|8LIT|9ZMB|aDMG
33	22462 13633	 * 	283.35	DCR|3LIT|3MLV|3DMG|1ASPD|1SELL	189MLV|2RCVC|389DMG|4SELL|5ASPD|6BASICY|789LIT|89BPWR|aRCR
34	23612 55333	 * 	282.83	DCR|3LIT|2MLV|2VULN	1aMLV|2DUST|3BELT|489LIT|5aCGEN|6RCR|7aVULN|aBPWR
35	23123 44215	 * 	282.16	DCR|3LIT|1FLTARM|1VULN|1MLV|1ASPD	1MLV|2DUST|3FLTARM|4VULN|56aLIT|7ASPD|8LHND|9RCR
36	23146 22315	   	282.16	DCR|3LIT|1FLTARM|1VULN|1MLV|1ASPD	1MLV|2DUST|3FLTARM|4ASPD|5LHND|6VULN|78aLIT|9RCR
37	25133 11154	 * 	282.01	ACR|3LIT|3MLV|3VULN	13aMLV|23aVULN|3aBPWR|4RCR|5BEXP|6RPLT|7CGEN|89aLIT
38	25116 15223	   	281.58	DCR|2LIT|2MLV|2VULN|1DMG	13MLV|23VULN|3BPWR|4DMSP|57LIT|6LHND|8RCR|9CGEN|aDMG
39	25116 35223	   	281.43	DCR|2LIT|2MLV|2VULN|1DMG	13MLV|23VULN|3BPWR|4DMSP|57LIT|6DUR|8RCR|9CGEN|aDMG
40	33238 44337	 * 	281.38	DCR|2LIT|3VULN|2ASPD|2CDMG	1AART|2MBVNT|35aVULN|49LIT|6RCR|7aCDMG|8aASPD|aBPWR
41	25323 52252	   	280.62	DCR|3MLV|1LIT|2DMG|1VULN|2CDMG|1ASPD	147MLV|2VULN|37CDMG|5BELT|67DMG|7BPWR|8LIT|9RCR|aASPD
42	25234 64422	 * 	280.54	ACR|3VULN|1LIT|1FLTARM|1MLV|1DMG	1MLV|28aVULN|3RCR|4MBVNT|5LIT|6ZMB|7DMG|9FLTARM
43	56234 44426	 * 	280.45	ACR|2LIT|3VULN|2DMG|1MLV	19aVULN|2TLV|3RCR|4MBVNT|59LIT|6FEWX|7MLV|89DMG|9BPWR
44	25234 46425	 * 	280.35	ACR|2LIT|3VULN|1FLTARM|1MLV	1MLV|278VULN|3RCR|4MBVNT|5aLIT|6FEWX|9FLTARM
45	56234 24426	   	280.35	ACR|2LIT|3VULN|2DMG|1MLV	19aVULN|2TLV|3RCR|4MBVNT|59LIT|6DUST|7MLV|89DMG|9BPWR
46	25116 21252	   	280.33	DCR|2MLV|3VULN|1LIT|1DMG	13MLV|23aVULN|3BPWR|4DMSP|5LIT|6CGEN|7ERES|8RCR|9DMG
