0	Index      	 *	Score 	Summary	Detail	
1	16312 63114	 * 	300.66	DCR|2MLV|3VULN|1LIT|1DMG|1CDMG	1ERES|236VULN|4LIT|57MLV|8RCR|9DMG|aCDMG
2	16312 61114	 * 	293.61	DCR|4VULN|1LIT|1MLV|1DMG|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9DMG|aCDMG
3	16312 63134	   	280.97	DCR|2MLV|3VULN|1LIT|1CDMG	1ERES|236VULN|4LIT|57MLV|8RCR|9ZMB|aCDMG
4	16312 61134	   	280.49	DCR|4VULN|1LIT|1MLV|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9ZMB|aCDMG
5	16312 63111	   	280.18	DCR|2MLV|3VULN|1LIT|1DMG	1ERES|236VULN|4LIT|57MLV|8RCR|9DMG|aFLTHEA
6	16312 63112	   	280.18	DCR|2MLV|3VULN|1LIT|1DMG	1ERES|236VULN|4LIT|57MLV|8RCR|9DMG|aTLV
7	16312 63162	   	280.18	DCR|2MLV|3VULN|1LIT|1DMG	1ERES|236VULN|4LIT|57MLV|8RCR|9BEXP|aDMG
8	16312 63113	   	280.03	DCR|2MLV|3VULN|1LIT|1DMG	1ERES|236VULN|4LIT|57MLV|8RCR|9DMG|aDLOT
9	16312 63142	   	280.03	DCR|2MLV|3VULN|1LIT|1DMG	1ERES|236VULN|4LIT|57MLV|8RCR|9DUST|aDMG
10	16312 61111	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9DMG|aFLTHEA
11	16312 61112	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9DMG|aTLV
12	16312 61162	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9BEXP|aDMG
13	16312 61113	   	279.86	DCR|4VULN|1LIT|1MLV|1DMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9DMG|aDLOT
14	16312 61142	   	279.86	DCR|4VULN|1LIT|1MLV|1DMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9DUST|aDMG
15	45622 32223	 * 	278.00	DCR|2LIT|2VULN|1MLV|2ASPD|2ZMB	1DUR|29LIT|3LWND|4aVULN|59ZMB|6MLV|79ASPD|8RCR|9BPWR
16	16313 35613	 * 	277.32	DCR|2LIT|2VULN|2DMG|1MLV	1ERES|23VULN|46LIT|5AART|7aDMG|8MLV|9RCR
17	16312 61161	   	276.15	DCR|4VULN|1LIT|1MLV|1AART	1ERES|2367VULN|4LIT|5MLV|8RCR|9BEXP|aAART
18	16312 61141	   	276.05	DCR|4VULN|1LIT|1MLV|1AART	1ERES|2367VULN|4LIT|5MLV|8RCR|9DUST|aAART
19	15313 23331	 * 	275.72	ACR|2LIT|2VULN|2DMG|1FLTARM|1ASPD	1ERES|2DUR|3aVULN|4RCR|5aLIT|6ASPD|7aDMG|8FEWX|9FLTARM|aBPWR
20	26111 42126	 * 	275.60	DCR|3LIT|3VULN|1DMG|2ZMB	1LEGI|248LIT|38ZMB|5DUR|6DMG|789VULN|8BPWR|aRCR
21	16212 61114	   	274.35	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	13ERES|267VULN|4LIT|5MLV|8RCR|9DMG|aCDMG
22	16312 61124	   	273.55	DCR|4VULN|1LIT|1MLV|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9CDMG|aTLV
23	16312 61126	   	273.55	DCR|4VULN|1LIT|1MLV|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9CDMG|aCGEN
24	16312 61151	   	273.55	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2367VULN|4LIT|5MLV|8RCR|9ASPD|aFLTHEA
25	16312 61152	   	273.55	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2367VULN|4LIT|5MLV|8RCR|9ASPD|aTLV
26	16312 61121	   	273.45	DCR|4VULN|1LIT|1MLV|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9CDMG|aDUR
27	16312 61122	   	273.45	DCR|4VULN|1LIT|1MLV|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9CDMG|aMBVNT
28	16312 61123	   	273.45	DCR|4VULN|1LIT|1MLV|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9CDMG|aLEGI
29	16312 61125	   	273.45	DCR|4VULN|1LIT|1MLV|1CDMG	1ERES|2367VULN|4LIT|5MLV|8RCR|9CDMG|aDUST
30	16312 61153	   	273.45	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2367VULN|4LIT|5MLV|8RCR|9ASPD|aDLOT
31	24633 31731	 * 	271.77	DCR|3LIT|2FLTARM|1VULN	1LEGI|2aFEWX|37aLIT|4MBVNT|5VULN|6RCR|8TLV|9aFLTARM|aBPWR
32	24633 36131	   	271.77	DCR|3LIT|2FLTARM|1VULN	1LEGI|2aFEWX|38aLIT|4MBVNT|5VULN|6RCR|7CGEN|9aFLTARM|aBPWR
33	26233 31731	   	271.77	DCR|3LIT|2FLTARM|1VULN	1LEGI|27aLIT|3aFEWX|4MBVNT|5VULN|6RCR|8TLV|9aFLTARM|aBPWR
34	26233 36131	   	271.77	DCR|3LIT|2FLTARM|1VULN	1LEGI|28aLIT|3aFEWX|4MBVNT|5VULN|6RCR|7CGEN|9aFLTARM|aBPWR
35	24633 31231	   	271.67	DCR|3LIT|2FLTARM|1VULN	1LEGI|2aFEWX|37aLIT|4MBVNT|5VULN|6RCR|8ERES|9aFLTARM|aBPWR
36	26233 31231	   	271.67	DCR|3LIT|2FLTARM|1VULN	1LEGI|27aLIT|3aFEWX|4MBVNT|5VULN|6RCR|8ERES|9aFLTARM|aBPWR
37	16312 14313	 * 	270.94	DCR|3VULN|1LIT|1FLTARM|1MLV	1ERES|239VULN|4LIT|5MLV|68FEWX|7FLTARM|aRCR
38	16316 34313	   	270.94	DCR|3VULN|1LIT|1FLTARM|1MLV	1ERES|239VULN|4LIT|58FEWX|6MLV|7FLTARM|aRCR
