0	Index      	 *	Score 	Summary	Detail	
1	11313 41442	 * 	302.89	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	13DMG|23ASPD|3BPWR|48aVULN|5LIT|6RPLT|7MLV|9RCR
2	31625 34145	 * 	292.66	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1MBVNT|29DMG|39VULN|4FEWX|5ASPD|6RCR|7BELT|89MLV|9BPWR|aLIT
3	21524 12126	 * 	286.41	DCR|2LIT|3VULN|1MLV|2ASPD	189VULN|2CGEN|39TLV|45LIT|6MLV|79ASPD|9BPWR|aRCR
4	11433 43142	   	285.72	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2ASPD|3aVULN|4ZMB|59LIT|6RCR|7MBVNT|8MLV
5	11433 42162	   	285.08	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMG|2ASPD|39aVULN|4ZMB|5LIT|6RCR|7LHND|8MLV
6	31563 13354	 * 	284.81	DCR|2LIT|3VULN|2DMG|1ASPD	1MBVNT|2aDMG|3LWND|48aVULN|5ASPD|6FEWX|7RCR|9aLIT|aBPWR
7	31465 13454	   	284.71	DCR|2LIT|3VULN|2DMG|1ASPD	1MBVNT|2aDMG|3DUR|48aVULN|5ASPD|6FEWX|7RCR|9aLIT|aBPWR
8	11313 43524	   	284.25	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13DMG|23ASPD|3BPWR|48VULN|5LIT|6RPLT|7RCR|9DUR|aMLV
9	11313 41333	   	280.75	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13DMG|23ASPD|3BPWR|4aVULN|5LIT|6RPLT|7MLV|8RMIN|9RCR
10	11313 41443	   	280.75	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13DMG|23ASPD|3BPWR|48VULN|5LIT|6aRPLT|7MLV|9RCR
11	11313 41131	   	280.65	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13DMG|23ASPD|3BPWR|4aVULN|5LIT|6RPLT|7MLV|8ERES|9RCR
12	23124 21626	 * 	279.45	DCR|2LIT|2MLV|3VULN	178VULN|2LWND|38LIT|4BELT|58MLV|6DMSP|8BPWR|9LHND|aRCR
13	26253 12162	   	279.05	DCR|2LIT|3VULN|1MLV|1ASPD	146VULN|2MLV|3FEWX|5DUST|7RCR|8aLIT|9ASPD
14	11421 42162	   	278.05	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMG|2ASPD|39aVULN|4LIT|5ERES|6RCR|7LHND|8MLV
15	11313 42442	   	277.73	DCR|3VULN|1LIT|2DMG|2ASPD	13DMG|23ASPD|3BPWR|48aVULN|5LIT|6RPLT|7ZMB|9RCR
16	24255 13321	 * 	277.58	DCR|3VULN|3DMG|1MLV|1CDMG	145VULN|28aDMG|3FEWX|6RCR|7CDMG|9MLV
17	23132 23362	   	277.35	DCR|2LIT|3VULN|1MLV|1CDMG	19aVULN|2LWND|36LIT|4MLV|5FEWX|7CDMG|8RCR
18	11133 45333	   	276.60	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2ASPD|3LWND|4ZMB|5LIT|6RCR|7MLV|8aVULN|9CDMG
19	11433 42133	   	276.60	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2ASPD|3aVULN|4ZMB|5LIT|6RCR|7LHND|8MLV|9CDMG
20	11433 44133	   	276.60	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2ASPD|3aVULN|4ZMB|5LIT|6RCR|7BEXP|8MLV|9CDMG
21	11633 45333	   	276.60	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2ASPD|3LHND|4ZMB|5LIT|6RCR|7MLV|8aVULN|9CDMG
22	11433 41224	   	276.60	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2ASPD|38VULN|4ZMB|5LIT|6RCR|7CGEN|9CDMG|aMLV
