0	Index      	 *	Score 	Summary	Detail	
1	31221 34553	 * 	322.77	DCR|2LIT|3VULN|3DMG|3ASPD	16aASPD|2aLIT|39aVULN|467DMG|5BELT|6aBPWR|8RCR
2	66141 31133	 * 	318.59	ACR|3LIT|4VULN|2MLV	16aLIT|246aVULN|3RCR|5BELT|6aBPWR|7CGEN|8ZMB|9aMLV
3	66133 62112	 * 	313.26	ACR|3LIT|3VULN|3DMG|1MLV|1SELL	157LIT|267VULN|3RCR|467DMG|67BPWR|8MBVNT|9SELL|aMLV
4	62161 37144	 * 	312.51	ACR|3LIT|2FLTARM|2VULN|1MLV	16aLIT|2LWND|3RCR|4MBVNT|5aFLTARM|7MLV|8ZMB|9aVULN|aBPWR
5	66133 22152	 * 	304.92	ACR|3LIT|2VULN|3DMG|1MLV|1CDMG	157LIT|27VULN|3RCR|467DMG|7BPWR|8MBVNT|9CDMG|aMLV
6	66133 12214	 * 	300.78	ACR|3LIT|4VULN|3DMG	157LIT|267aVULN|3RCR|47aDMG|7aBPWR|8RCVC|9aBEXP
7	66133 12234	   	300.58	ACR|3LIT|4VULN|3DMG	157LIT|267aVULN|3RCR|47aDMG|7aBPWR|8RCVC|9aDUST
8	66133 12531	   	300.58	ACR|3LIT|4VULN|3DMG	157LIT|267aVULN|3RCR|478DMG|7BPWR|9LWND
9	66133 62144	   	300.58	ACR|3LIT|4VULN|3DMG	157LIT|267aVULN|3RCR|467DMG|67BPWR|8MBVNT|9LHND
10	66133 12521	   	300.48	ACR|3LIT|4VULN|3DMG	157LIT|267aVULN|3RCR|478DMG|7BPWR|9DUR
11	66133 62124	   	300.48	ACR|3LIT|4VULN|3DMG	157LIT|267aVULN|3RCR|467DMG|67BPWR|8MBVNT|9ERES
12	33136 22443	 * 	299.80	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD|1CDMG	18ASPD|2AART|38VULN|4ERES|5CDMG|6RCR|78DMG|8BPWR|9MLV|aLIT
13	66133 12221	 * 	297.85	ACR|3LIT|3VULN|2DMG|1MLV	157LIT|267VULN|3RCR|47DMG|7BPWR|8RCVC|9MLV|aLHND
14	66133 12222	   	297.85	ACR|3LIT|3VULN|2DMG|1MLV	157LIT|267VULN|3RCR|47DMG|7BPWR|8RCVC|9MLV|aBEXP
15	66133 12223	   	297.85	ACR|3LIT|3VULN|2DMG|1MLV	157LIT|267VULN|3RCR|47DMG|7BPWR|8RCVC|9MLV|aCGEN
16	66133 12224	   	297.85	ACR|3LIT|3VULN|2DMG|1MLV	157LIT|267VULN|3RCR|47DMG|7BPWR|8RCVC|9MLV|aRMIN
17	66133 12226	   	297.75	ACR|3LIT|3VULN|2DMG|1MLV	157LIT|267VULN|3RCR|47DMG|7BPWR|8RCVC|9MLV|aDUST
18	31243 25512	 * 	297.73	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1ASPD|25LIT|3aVULN|4LHND|6DMG|7RCR|89MLV
19	66133 22631	   	295.06	ACR|3LIT|3VULN|3DMG|1ASPD	157LIT|27aVULN|3RCR|467DMG|7BPWR|8RMIN|9ASPD
20	66133 22524	   	294.96	ACR|3LIT|3VULN|3DMG|1ASPD	157LIT|27aVULN|3RCR|467DMG|7BPWR|8ASPD|9MBVNT
21	66133 62123	   	294.96	ACR|3LIT|3VULN|3DMG|1CDMG	157LIT|267VULN|3RCR|467DMG|67BPWR|8MBVNT|9ERES|aCDMG
22	66133 62223	   	294.96	ACR|3LIT|3VULN|3DMG|1CDMG	157LIT|267VULN|3RCR|467DMG|67BPWR|8LSRICY|9ERES|aCDMG
23	66133 62323	   	294.96	ACR|3LIT|3VULN|3DMG|1CDMG	157LIT|267VULN|3RCR|467DMG|67BPWR|8MULARM|9ERES|aCDMG
