0	Index      	 *	Score 	Summary	Detail	
1	12621 32683	 * 	287.86	DCR|3LIT|2VULN|1MLV|1CDMG|1ASPD	1CDMG|269LIT|3ASPD|48VULN|5MBVNT|7RCR|aMLV
2	11252 42312	 * 	283.13	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1CDMG|2ERES|3FLTARM|4MLV|5VULN|6DMG|7RPLT|89LIT|aRCR
3	13341 35512	 * 	280.68	DCR|3VULN|1LIT|1FLTARM|3CDMG|2ZMB	168CDMG|235VULN|45ZMB|5BPWR|7RCR|9FLTARM|aLIT
4	23151 13115	 * 	280.38	DCR|3VULN|1LIT|2DMG|1MLV	19FEWX|2BASARM|389VULN|4MLV|5TLV|69DMG|7RCR|9BPWR|aLIT
5	53151 13115	   	280.38	DCR|3VULN|1LIT|2DMG|1MLV	19LWND|2BASARM|389VULN|4MLV|5TLV|69DMG|7RCR|9BPWR|aLIT
6	55612 21311	 * 	280.29	ACR|3VULN|1LIT|2DMG|1MLV|2ASPD	19LWND|24DMG|349VULN|49BPWR|5RCR|6CGEN|7MLV|89ASPD|aLIT
7	23152 13115	   	280.28	DCR|3VULN|1LIT|2DMG|1MLV	19FEWX|2BASARM|389VULN|4MLV|5ERES|69DMG|7RCR|9BPWR|aLIT
8	53152 13115	   	280.28	DCR|3VULN|1LIT|2DMG|1MLV	19LWND|2BASARM|389VULN|4MLV|5ERES|69DMG|7RCR|9BPWR|aLIT
9	13341 35341	 * 	278.97	DCR|3VULN|1LIT|1MLV|3CDMG|2ZMB	169CDMG|235VULN|45ZMB|5BPWR|7RCR|8LIT|aMLV
10	12621 32684	 * 	277.91	DCR|3LIT|3VULN|1ASPD|1CDMG	1CDMG|269LIT|3ASPD|48aVULN|5MBVNT|7RCR
11	12522 13166	 * 	277.02	DCR|3LIT|2VULN|1MLV|2CDMG|1DUR	13CDMG|235LIT|3BPWR|4DUR|6LHND|7MLV|8aVULN|9RCR
12	12522 33166	   	277.02	DCR|3LIT|2VULN|1MLV|2CDMG|1DUR	13CDMG|235LIT|3BPWR|4DUR|6FEWX|7MLV|8aVULN|9RCR
13	12532 13166	   	277.02	DCR|3LIT|2VULN|1MLV|2CDMG	13CDMG|235LIT|3BPWR|4LEGI|6LHND|7MLV|8aVULN|9RCR
14	12532 33166	   	277.02	DCR|3LIT|2VULN|1MLV|2CDMG	13CDMG|235LIT|3BPWR|4LEGI|6BEXP|7MLV|8aVULN|9RCR
15	12532 23166	   	276.92	DCR|3LIT|2VULN|1MLV|2CDMG|1DUR	13CDMG|235LIT|3BPWR|4LEGI|6DUR|7MLV|8aVULN|9RCR
16	53311 13115	 * 	276.36	DCR|2MLV|1LIT|2VULN|2DMG	19LWND|2BASARM|39MLV|48VULN|5TLV|69DMG|7RCR|9BPWR|aLIT
17	53312 13115	   	276.21	DCR|2MLV|1LIT|2VULN|2DMG	19LWND|2BASARM|39MLV|48VULN|5ERES|69DMG|7RCR|9BPWR|aLIT
18	13321 31551	 * 	270.71	DCR|2MLV|3VULN|1LIT|1CDMG	1CDMG|239VULN|4LHND|5RPLT|67MLV|8RCR|aLIT
19	12212 63166	   	270.71	DCR|3LIT|2VULN|1MLV|1CDMG	1CDMG|235LIT|4LHND|6BEXP|7MLV|8aVULN|9RCR
20	12242 13166	   	270.71	DCR|3LIT|2VULN|1MLV|1CDMG	1CDMG|235LIT|4FEWX|6LHND|7MLV|8aVULN|9RCR
21	12136 23166	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG	1CDMG|256LIT|3LWND|4DUST|7MLV|8aVULN|9RCR
22	12212 53166	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG|1DUR	1CDMG|235LIT|4LHND|6DUR|7MLV|8aVULN|9RCR
23	12222 13166	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG|1DUR	1CDMG|235LIT|4DUR|6LHND|7MLV|8aVULN|9RCR
24	12222 33166	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG|1DUR	1CDMG|235LIT|4DUR|6FEWX|7MLV|8aVULN|9RCR
25	12232 13166	   	270.61	DCR|3LIT|2VULN|1MLV|1CDMG	1CDMG|235LIT|4LEGI|6LHND|7MLV|8aVULN|9RCR
