0	Index      	 *	Score 	Summary	Detail	
1	41232 45331	 * 	305.37	DCR|2LIT|3VULN|2DMG|2ASPD|1CDMG|1SELL	178VULN|25LIT|38ASPD|48DMG|6SELL|8BPWR|9CDMG|aRCR
2	41152 25332	 * 	296.55	DCR|3LIT|3VULN|1MLV|1ASPD	149VULN|234LIT|4BPWR|5LHND|6BEXP|7RCR|8MLV|aASPD
3	41153 25332	   	296.45	DCR|3LIT|3VULN|1MLV|1ASPD	149VULN|234LIT|4BPWR|5LEGI|6BEXP|7RCR|8MLV|aASPD
4	41451 32312	 * 	290.77	DCR|3LIT|2FLTARM|2VULN	17VULN|247LIT|3CGEN|5BLAICY|67FLTARM|7BPWR|8FEWX|9DUR|aRCR
5	41151 14211	 * 	286.66	DCR|3LIT|3VULN|2DMG	14aVULN|234LIT|4BPWR|5LWND|69DMG|7AART|8RCR
6	41152 14211	   	286.66	DCR|3LIT|3VULN|2DMG	14aVULN|234LIT|4BPWR|5LHND|69DMG|7AART|8RCR
7	41156 13211	   	286.66	DCR|3LIT|3VULN|2DMG	14aVULN|234LIT|4BPWR|5BEXP|69DMG|7AART|8RCR
8	41153 14211	   	286.56	DCR|3LIT|3VULN|2DMG	14aVULN|234LIT|4BPWR|5LEGI|69DMG|7AART|8RCR
9	41151 34222	   	285.96	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LWND|6ZMB|7AART|8RCR|9MLV|aDMG
10	41152 34222	   	285.96	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LHND|6ZMB|7AART|8RCR|9MLV|aDMG
11	41153 34222	   	285.86	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LEGI|6ZMB|7AART|8RCR|9MLV|aDMG
12	41155 33222	   	285.86	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5ZMB|6DUR|7AART|8RCR|9MLV|aDMG
13	41152 13335	   	284.06	DCR|3LIT|2VULN|1MLV|1DMG	14VULN|234LIT|4BPWR|5LHND|6DMG|7MULHEA|8MLV|9RCR|aZMB
14	41231 46331	 * 	283.23	DCR|2LIT|2VULN|2DMG|2ASPD|1CDMG|1SELL	18VULN|27LIT|38ASPD|48DMG|5DMSP|6SELL|8BPWR|9CDMG|aRCR
15	41232 44331	 * 	283.23	DCR|2LIT|2VULN|2DMG|2ASPD|1CDMG|1SELL	18VULN|25LIT|38ASPD|48DMG|6SELL|7DMSP|8BPWR|9CDMG|aRCR
16	41252 13353	 * 	283.16	DCR|3LIT|2VULN|1MLV|2ASPD	16VULN|245LIT|36ASPD|6BPWR|7MULHEA|8BEXP|9RCR|aMLV
17	41152 25331	   	282.90	DCR|3LIT|3VULN|1MLV	149VULN|234LIT|4BPWR|5LHND|6BEXP|7RCR|8MLV|aTLV
18	41152 25333	   	282.90	DCR|3LIT|3VULN|1MLV	149VULN|234LIT|4BPWR|5LHND|6BEXP|7RCR|8MLV|aFEWX
