0	Index      	 *	Score 	Summary	Detail	
1	34211 13536	 * 	307.85	DCR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aCDMG
2	34211 13531	   	303.86	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aDUR
3	54211 13531	   	303.86	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1FEWX|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aDUR
4	44211 13531	   	303.76	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aDUR
5	23266 43132	 * 	300.18	DCR|DCR|2VULN|1TLV|1DMG	1RCVC|28VULN|3TLV|4DUST|5DMG|6BBNT|7aRCR|9TBNT
6	34211 13535	   	299.75	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aTBNT
7	34211 13512	   	297.97	DCR|DCR|2VULN|1TLV|1ASPD	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6aVULN|78RCR|9DUR
8	54211 13512	   	297.97	DCR|DCR|2VULN|1TLV|1ASPD	1FEWX|2ASPD|3TLV|4LHND|5BBNT|6aVULN|78RCR|9DUR
9	44211 13512	   	297.87	DCR|DCR|2VULN|1TLV|1ASPD	1DUST|2ASPD|3TLV|4LHND|5BBNT|6aVULN|78RCR|9DUR
10	34211 13533	   	294.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aCGEN
11	34211 13534	   	294.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aRMIN
12	54211 13533	   	294.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1FEWX|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aCGEN
13	34211 13532	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1BEXP|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aDUST
14	44211 13533	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aCGEN
15	54211 13532	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1FEWX|2ASPD|3TLV|4LHND|5BBNT|6VULN|78RCR|9LIT|aDUST
16	34111 21154	   	290.97	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aDUR
17	34311 21154	   	290.97	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aDUR
18	16226 16331	 * 	289.94	DCR|3LIT|2VULN|2TLV	14aLIT|2AAC|3aTLV|5AART|6aVULN|7RCR|8BBNT|9MBVNT|aBPWR
19	34111 21151	   	289.62	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aAART
20	34311 21151	   	289.62	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1BEXP|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aAART
21	54111 21151	   	289.62	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1FEWX|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aAART
22	54311 21151	   	289.62	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1FEWX|2ASPD|3TBNT|4BBNT|5TLV|6LIT|79RCR|8CDMG|aAART
23	44111 21151	   	289.52	DCR|DCR|1TLV|1LIT|1ASPD|1CDMG	1DUST|2ASPD|3BBNT|4TBNT|5TLV|6LIT|79RCR|8CDMG|aAART
