0	Index      	 *	Score 	Summary	Detail	
1	33411 62135	 * 	248.12	橙1散射对甲1双倍秒伤1易伤1全技能1攻速1技能	1防空对甲2攻速3敌人爆炸4散射对甲5易伤6雷电7全技能8核9技能a双倍秒伤
2	33411 62116	   	227.49	橙1散射对甲1双倍秒伤1易伤1全技能1攻速	1防空对甲2攻速3敌人爆炸4散射对甲5易伤6雷电7全技能8核9基地爆炸a双倍秒伤
3	33411 62161	   	227.49	橙1散射对甲1双倍秒伤1易伤1全技能1攻速	1防空对甲2攻速39敌人爆炸4散射对甲5易伤6雷电7全技能8核a双倍秒伤
4	33411 62221	   	225.59	橙1散射对甲1双倍秒伤1易伤1全技能1攻速	1防空对甲2攻速38敌人爆炸4散射对甲5易伤6雷电7全技能9核a双倍秒伤
5	55212 12253	 * 	224.87	橙2易伤2伤害1全技能2时间1攻速	15时间23伤害4随机矿6a易伤7核8攻速9全技能
6	25212 22643	 * 	222.22	橙1散射对甲1双倍秒伤2伤害2时间	1最后敌人23伤害4随机矿56时间7核8挖青9散射对甲a双倍秒伤
7	33313 62135	   	221.91	橙1散射对甲1双倍秒伤1全技能1攻速1技能	1防空对甲2攻速3低血量敌人4散射对甲5敌人爆炸6雷电7全技能8核9技能a双倍秒伤
8	33412 53135	   	221.91	橙1散射对甲1双倍秒伤1全技能1攻速1技能	1防空对甲2攻速3敌人爆炸4散射对甲5全技能6雷电7低血量敌人8核9技能a双倍秒伤
9	31222 24644	   	221.64	橙1散射对甲1双倍秒伤1易伤1暴击1技能	1防空对甲2敌人爆炸3基地爆炸4加一5散射对甲6暴击7易伤8核9技能a双倍秒伤
10	33314 61621	 * 	221.41	橙2散射对甲1双倍秒伤1全技能1攻速1时间	15防空对甲2攻速3低血量敌人45散射对甲5序列升级6雷电7时间8全技能9核a双倍秒伤
11	33414 61221	   	221.41	橙2散射对甲1双倍秒伤1全技能1攻速1时间	15防空对甲2攻速3敌人爆炸45散射对甲5序列升级6雷电7全技能8时间9核a双倍秒伤
12	32112 22431	 * 	221.30	橙5易伤3攻速	159防空对甲2立即金币3589a易伤4电球减费59a序列升级69a攻速7核
