0	Index      	 *	Score 	Summary	Detail	
1	43121 12673	 * 	246.19	橙2散射对甲3易伤1双倍秒伤2攻速1全技能1策反	17攻速2策反37a易伤47散射对甲5双倍秒伤6加一7序列升级8核9全技能
2	43121 12444	 * 	243.78	橙3散射对甲3易伤3攻速1双倍秒伤1策反1时间	178攻速2策反378易伤478散射对甲5双倍秒伤6加一78序列升级9核a时间
3	43121 12628	   	236.67	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1策反1时间	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9时间a全技能
4	43121 12441	   	235.47	橙3散射对甲3易伤3攻速1双倍秒伤1策反	178攻速2策反378易伤478散射对甲5双倍秒伤6加一78序列升级9核a平台
5	43121 12442	   	235.47	橙3散射对甲3易伤3攻速1双倍秒伤1策反	178攻速2策反378易伤478散射对甲5双倍秒伤6加一78序列升级9核a最后敌人
6	43121 12443	   	235.47	橙3散射对甲3易伤3攻速1双倍秒伤1策反	178攻速2策反378易伤478散射对甲5双倍秒伤6加一78序列升级9核a立即金币
7	43121 12446	   	235.47	橙3散射对甲3易伤3攻速1双倍秒伤1策反	178攻速2策反378易伤478散射对甲5双倍秒伤6加一78序列升级9核a基地爆炸
8	43121 12447	   	235.47	橙3散射对甲3易伤3攻速1双倍秒伤1策反	178攻速2策反378易伤478散射对甲5双倍秒伤6加一78序列升级9核a敌人爆炸
9	43121 12448	   	235.37	橙3散射对甲3易伤3攻速1双倍秒伤1策反	178攻速2策反378易伤478散射对甲5双倍秒伤6加一78序列升级9核a挖尘
10	43121 12626	 * 	232.95	橙2散射对甲2易伤1双倍秒伤2攻速1伤害1策反1时间	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9时间a伤害
11	43121 12281	   	229.76	橙2散射对甲3攻速2易伤1双倍秒伤1暴击1策反	178攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级9暴击a核
12	26123 51326	 * 	229.64	橙4易伤2全技能1攻速1暴击	1234易伤5低血量敌人67全技能8核9暴击a攻速
13	43121 12623	   	229.14	橙2散射对甲2易伤1双倍秒伤2攻速1暴击1策反1时间	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9时间a暴击
14	21141 31212	 * 	228.86	橙4易伤3伤害1全技能	156a易伤2技能点3a雷电46a伤害6a序列升级7平台8全技能9核
15	21141 35612	   	228.86	橙4易伤3伤害1全技能	156a易伤2技能点3a雷电46a伤害6a序列升级7全技能8平台9核
16	43121 12671	   	228.36	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9全技能a多重对紫
17	43121 12672	   	228.36	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9全技能a矿等
18	43121 12674	   	228.36	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9全技能a金币生成
19	43121 12624	   	225.81	橙2散射对甲3攻速2易伤1双倍秒伤1策反1时间	17a攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9时间
20	43121 12636	   	224.64	橙2散射对甲2易伤1双倍秒伤2攻速1伤害1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9电球减费a伤害
21	43121 12616	   	224.54	橙2散射对甲2易伤1双倍秒伤2攻速1伤害1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9挖尘a伤害
22	43121 23226	 * 	223.44	橙3易伤1散射对甲1双倍秒伤1攻速1伤害1策反1时间	1攻速2策反36a易伤4散射对甲5双倍秒伤7伤害8时间9核
23	32252 41351	 * 	221.66	橙3易伤2伤害1双倍秒伤1全技能3时间	1双倍秒伤289时间3挖尘459易伤6核79伤害9序列升级a全技能
24	26122 21325	 * 	220.90	橙4易伤1全技能2暴击1攻速	1234易伤5掉矿6攻速7全技能8核9a暴击
25	43121 12633	   	220.83	橙2散射对甲2易伤1双倍秒伤2攻速1暴击1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9电球减费a暴击
26	43121 12653	   	220.83	橙2散射对甲2易伤1双倍秒伤2攻速1暴击1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9最后敌人a暴击
27	43121 22673	   	220.75	橙3易伤1散射对甲1双倍秒伤1全技能1攻速1策反	1攻速2策反36a易伤4散射对甲5双倍秒伤7加一8核9全技能
28	43121 12613	   	220.73	橙2散射对甲2易伤1双倍秒伤2攻速1暴击1策反	17攻速2策反37易伤47散射对甲5双倍秒伤6加一7序列升级8核9挖尘a暴击
29	26126 31532	 * 	219.88	橙5易伤1全技能1伤害1时间	12345易伤6时间7伤害8核9金币生成a全技能
30	26126 31512	   	219.78	橙5易伤1全技能1伤害1时间	12345易伤6时间7伤害8核9等级a全技能
31	23336 22155	 * 	219.72	橙4易伤3策反2暴击1伤害	1679易伤2平台3伤害479最后敌人567策反679序列升级89暴击a核
32	43132 22152	 * 	219.43	橙2全技能2攻速3策反1易伤2暴击	19攻速279策反3易伤4低血量敌人58全技能69暴击9序列升级a核
33	23214 64332	 * 	219.08	橙1散射对甲2易伤1全技能1攻速1伤害1策反	15易伤2平台3全技能4挖尘6散射对甲7策反8伤害9攻速a核
34	43123 31334	 * 	218.91	紫3易伤1散射对甲2攻速1伤害2时间1策反	19攻速2策反379易伤4散射对甲5核6基地爆炸89时间9序列升级a伤害
35	23632 22152	 * 	218.69	橙3易伤3攻速2伤害	167易伤2平台3基地爆炸47伤害567攻速67序列升级8加一9敌人爆炸a核
36	43334 32152	 * 	216.21	橙2易伤2攻速3策反1全技能1暴击	19攻速279策反3暴击4挖尘59易伤6全技能8双倍矿9序列升级a核
