0	Index      	 *	Score 	Summary	Detail	
1	11621 13462	 * 	299.39	橙橙2易伤2等级1伤害1时间	1时间27易伤34等级5金币生成69核8雷电a伤害
2	11153 13462	 * 	297.45	橙橙3易伤2时间1伤害	15时间237易伤4低血量敌人69核8雷电a伤害
3	15133 13462	   	297.45	橙橙3易伤2时间1伤害	15时间2最后敌人347易伤69核8雷电a伤害
4	11533 13462	   	297.35	橙橙3易伤2时间1伤害	15时间247易伤3挖尘69核8雷电a伤害
5	11633 64322	 * 	295.64	橙3易伤3时间2伤害2矿等1等级	159时间269易伤3等级48伤害79矿等9序列升级a核
6	11125 13462	   	284.89	橙橙3易伤1伤害1时间	1时间237易伤4立即金币5挖尘69核8雷电a伤害
7	11135 13462	   	284.79	橙橙3易伤1伤害1时间	1时间237易伤4烈焰减费5挖尘69核8雷电a伤害
8	11633 24322	 * 	283.83	橙2易伤3时间2伤害2等级2矿等	159时间29易伤36等级48伤害79矿等9序列升级a核
9	11621 13461	   	279.23	橙橙2易伤2等级1时间1卖塔	1时间27易伤34等级5金币生成69核8雷电a卖塔
10	11621 13463	   	279.23	橙橙2易伤2等级1时间	1时间27易伤34等级5金币生成69核8雷电a挖尘
11	11153 13461	   	277.28	橙橙3易伤2时间1卖塔	15时间237易伤4低血量敌人69核8雷电a卖塔
12	11153 13463	   	277.28	橙橙3易伤2时间	15时间237易伤4低血量敌人69核8雷电a挖尘
13	15133 13461	   	277.28	橙橙3易伤2时间1卖塔	15时间2最后敌人347易伤69核8雷电a卖塔
14	15133 13463	   	277.28	橙橙3易伤2时间	15时间2最后敌人347易伤69核8雷电a挖尘
15	11533 13461	   	277.18	橙橙3易伤2时间1卖塔	15时间247易伤3挖尘69核8雷电a卖塔
16	11533 13463	   	277.18	橙橙3易伤2时间1挖怪	15时间247易伤3挖尘69核8雷电a挖怪
17	11143 12462	   	275.31	橙橙2易伤2时间1伤害	15时间23易伤47基地爆炸69核8雷电a伤害
18	11353 13462	   	275.31	橙橙2易伤2时间1伤害	15时间27易伤3立即金币4低血量敌人69核8雷电a伤害
19	11433 12462	   	275.31	橙橙2易伤2时间1伤害	15时间24易伤37基地爆炸69核8雷电a伤害
20	11225 13462	   	275.21	橙橙2易伤2时间1伤害	13时间27易伤4立即金币5挖尘69核8雷电a伤害
21	11235 13462	   	275.11	橙橙2易伤2时间1伤害	13时间27易伤4烈焰减费5挖尘69核8雷电a伤害
