0	Index      	 *	Score 	Summary	Detail	
1	42122 14335	 * 	378.33	ACR|3VULN|1MDPS|2TLV|1DUR	17TLV|2ZMB|3BOSS|47LHND|5RCR|679VULN|7BPWR|8DUR|aMDPS
2	22123 42525	 * 	374.93	DCR|3VULN|1MDPS|1DUR	1AME|2ZMB|3BOSS|4LHND|567VULN|8DUR|9RCR|aMDPS
3	22153 42225	   	374.93	DCR|3VULN|1MDPS|1DUR	1AME|2ZMB|3BOSS|4DUR|567VULN|8LWND|9RCR|aMDPS
4	22153 42325	   	374.93	DCR|3VULN|1MDPS|1DUR	1AME|2ZMB|3BOSS|4DUR|567VULN|8FEWX|9RCR|aMDPS
5	22163 22525	   	374.93	DCR|3VULN|1MDPS|1DUR	1AME|2ZMB|3BOSS|457VULN|6LHND|8DUR|9RCR|aMDPS
6	22113 42525	   	374.83	DCR|3VULN|1MDPS|1DUR	1AME|2ZMB|3BOSS|4DUST|567VULN|8DUR|9RCR|aMDPS
7	41323 33663	 * 	355.07	2MDPS|2VULN|2TLV|1DUR	18TLV|2LWND|3LIT|47VULN|5DUR|6BEXP|9aMDPS
8	15142 22135	   	354.40	ACR|2VULN|1MDPS|2TLV|1DMG|1DUR	1FEWX|2DMG|3BOSS|47TLV|5RCR|6DUR|89VULN|aMDPS
9	41323 22225	 * 	353.88	DCR|1MDPS|1VULN|2DMG|2DUR|1TLV	1TLV|2LWND|3LIT|4VULN|57DUR|68DMG|9RCR|aMDPS
10	12321 34525	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	15FEWX|2ERES|3LIT|46VULN|7DMG|8DUR|9RCR|aMDPS
11	21322 34525	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1AME|25LWND|3LIT|46VULN|7DMG|8DUR|9RCR|aMDPS
