0	Index      	 *	Score 	Summary	Detail	
1	21334 11261	 * 	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1LHND|26VULN|3DMG|4TLV|56LIT|6BPWR|7DUR|8DUST|9RCR|aMDPS
2	21625 35423	 * 	374.93	DCR|3VULN|1MDPS|1DUR	17LHND|249VULN|3RAT|5MBVNT|6DUR|8RCR|aMDPS
3	21625 37423	   	374.93	DCR|3VULN|1MDPS|1DUR	1LHND|249VULN|3RAT|5MBVNT|6DUR|7DMSP|8RCR|aMDPS
4	35226 32123	 * 	374.25	ACR|4VULN|1MDPS|1DUR	1RAT|2RCR|356LHND|4569VULN|56BPWR|7FEWX|8DUR|aMDPS
5	35226 35123	   	374.25	ACR|4VULN|1MDPS|1DUR	1RAT|2RCR|356LHND|4569VULN|56BPWR|7BEXP|8DUR|aMDPS
6	35226 52123	 * 	361.33	ACR|3VULN|1MDPS|1TLV|1DUR	1RAT|2RCR|35LHND|459VULN|5BPWR|6TLV|7CGEN|8DUR|aMDPS
7	33415 11531	 * 	357.87	DCR|2MDPS|1VULN|2DUR|1SELL	1RAT|2DMSP|3SELL|4CGEN|5VULN|6RCR|7aDUR|89MDPS
8	33415 11532	 * 	357.87	DCR|2MDPS|2VULN|1DUR|1SELL	1RAT|2DMSP|3SELL|4CGEN|5aVULN|6RCR|7DUR|89MDPS
9	33415 11533	 * 	357.87	DCR|2MDPS|1VULN|1DUR|1SELL	1RAT|2DMSP|3SELL|4CGEN|5VULN|6RCR|7DUR|89MDPS|aBBNT
10	21314 11261	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|26VULN|3DMG|4CGEN|56LIT|6BPWR|7DUR|8DUST|9RCR|aMDPS
11	34362 22143	 * 	351.24	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1RAT|2CDMG|3DMG|4VULN|5TLV|6LWND|7RCR|8DUR|9FEWX|aMDPS
12	21354 11261	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|26VULN|3DMG|4AME|56LIT|6BPWR|7DUR|8DUST|9RCR|aMDPS
13	21536 13362	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5DUST|6DUR|7DMG|8RCR|9LIT|aMDPS
14	21533 13321	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5LWND|6DUR|7DMG|8RCR|9MDPS|aNUKE
15	21533 13322	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5LWND|6DUR|7DMG|8RCR|9MDPS|aERES
16	21533 13323	 * 	351.21	DCR|2VULN|1MDPS|2DMG|1DUR	1LHND|24VULN|3FEWX|5LWND|6DUR|7aDMG|8RCR|9MDPS
17	21533 13324	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5LWND|6DUR|7DMG|8RCR|9MDPS|aMLV
18	21533 13325	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5LWND|6DUR|7DMG|8RCR|9MDPS|aZMB
19	21533 13326	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5LWND|6DUR|7DMG|8RCR|9MDPS|aAEFRZ
20	21536 13321	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5DUST|6DUR|7DMG|8RCR|9MDPS|aNUKE
21	21536 13322	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5DUST|6DUR|7DMG|8RCR|9MDPS|aERES
22	21536 13323	   	351.11	DCR|2VULN|1MDPS|2DMG|1DUR	1LHND|24VULN|3FEWX|5DUST|6DUR|7aDMG|8RCR|9MDPS
23	21536 13324	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5DUST|6DUR|7DMG|8RCR|9MDPS|aMLV
24	21536 13325	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5DUST|6DUR|7DMG|8RCR|9MDPS|aZMB
25	21536 13326	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|24VULN|3FEWX|5DUST|6DUR|7DMG|8RCR|9MDPS|aAEFRZ
