0	Index      	 *	Score 	Summary	Detail	
1	43112 13113	 * 	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1DUR|2LWND|35VULN|4TLV|6AART|7TBNT|8BBNT|9RCR|aMDPS
2	41126 12114	 * 	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUR|2LHND|368VULN|4LWND|5RCR|7BBNT|9CDMG|aMDPS
3	43126 12114	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUR|2LWND|368VULN|4LHND|5RCR|7BBNT|9CDMG|aMDPS
4	41112 54213	 * 	358.15	2MDPS|2VULN|1TLV|1DMG|1DUR	1DUR|2LHND|35VULN|4TLV|6ZMB|7BBNT|8DMG|9aMDPS
5	43112 54213	   	358.15	2MDPS|2VULN|1TLV|1DMG|1DUR	1DUR|2LWND|35VULN|4TLV|6ZMB|7BBNT|8DMG|9aMDPS
6	11234 15336	 * 	357.87	ACR|DCR|1MDPS|1VULN|2CDMG|1DUR	1CGEN|2AEBURN|38CDMG|4ERES|56RCR|7VULN|9DUR|aMDPS
7	41112 21146	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|268LHND|35VULN|4TLV|7RCR|9ERES|aMDPS
8	41112 21156	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|268LHND|35VULN|4TLV|7RCR|9AME|aMDPS
9	41112 21166	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|268LHND|35VULN|4TLV|7RCR|9NUKE|aMDPS
10	51112 41531	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1FEWX|2LHND|35VULN|4TLV|6TBNT|7RPLT|8RCR|9DUR|aMDPS
11	53112 41531	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1FEWX|2LWND|35VULN|4TLV|6TBNT|7RPLT|8RCR|9DUR|aMDPS
12	41112 21531	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|26LHND|35VULN|4TLV|7RCR|8TBNT|9AEPOI|aMDPS
13	41112 35352	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2LHND|35VULN|4TLV|6BELT|7FLTHEA|8RCR|9TBNT|aMDPS
14	63663 12444	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1AEWIND|2MBVNT|3AEFBLL|4DUR|5TLV|69VULN|7MGNBOS|8RCR|aMDPS
15	43112 34253	 * 	351.54	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2LWND|359VULN|4TLV|6CGEN|7TBNT|89DMG|9BPWR|aRCR
16	41126 15131	 * 	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2LHND|36VULN|4LWND|5RCR|7TLV|8CDMG|9TSLARM|aMDPS
17	43126 15131	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2LWND|36VULN|4LHND|5RCR|7TLV|8CDMG|9TSLARM|aMDPS
18	63462 23532	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1AEWIND|2MBVNT|3LIT|4DUR|5AART|6RCR|7DMSP|89VULN|aMDPS
19	23434 31335	 * 	343.60	DCR|2VULN|1MDPS|2DUR	19RAT|2LEGI|3RPLT|49DUR|5BASHEA|6AEFBLL|7RCR|89VULN|9BPWR|aMDPS
20	23436 31335	   	343.60	DCR|2VULN|1MDPS|2DUR	19RAT|2LEGI|3RPLT|49DUR|5AEWIND|6BASHEA|7RCR|89VULN|9BPWR|aMDPS
21	41121 24613	   	343.60	DCR|2VULN|1MDPS|2DUR	16DUR|2LHND|35VULN|4LWND|7BBNT|8RMIN|9RCR|aMDPS
22	43121 24613	   	343.60	DCR|2VULN|1MDPS|2DUR	16DUR|2LWND|35VULN|4LHND|7BBNT|8RMIN|9RCR|aMDPS
23	41121 24113	   	343.50	DCR|2VULN|1MDPS|2DUR	16DUR|2LHND|35VULN|4LWND|7BBNT|8AME|9RCR|aMDPS
24	41423 32623	   	343.50	DCR|2VULN|1MDPS|2DUR	15DUR|2LHND|3DUST|4LWND|68VULN|7ERES|9RCR|aMDPS
25	43121 24113	   	343.50	DCR|2VULN|1MDPS|2DUR	16DUR|2LWND|35VULN|4LHND|7BBNT|8AME|9RCR|aMDPS
