0	Index      	 *	Score 	Summary	Detail	
1	31361 22231	 * 	424.44	DCR|2VULN|1MDPS|2TLV|2DMG|2DUR|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aMSE
2	31361 22232	 * 	424.44	DCR|2VULN|1MDPS|2TLV|2DMG|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aFEWX
3	31361 22233	   	424.44	DCR|2VULN|1MDPS|2TLV|2DMG|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aDUST
4	31361 22234	   	424.44	DCR|2VULN|1MDPS|2TLV|2DMG|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aLHND
5	31361 22235	   	424.44	DCR|2VULN|1MDPS|2TLV|2DMG|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aAEPOI
6	31361 22236	   	424.44	DCR|2VULN|1MDPS|2TLV|2DMG|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aAETHUN
7	41363 22231	 * 	412.48	DCR|3VULN|1MDPS|2DMG|1MSE	16ERES|2DUR|37DMG|456VULN|6BPWR|8RCR|9MDPS|aMSE
8	41363 22232	 * 	412.48	DCR|3VULN|1MDPS|2DMG	16ERES|2DUR|37DMG|456VULN|6BPWR|8RCR|9MDPS|aFEWX
9	41363 22233	   	412.48	DCR|3VULN|1MDPS|2DMG	16ERES|2DUR|37DMG|456VULN|6BPWR|8RCR|9MDPS|aDUST
10	41363 22234	   	412.48	DCR|3VULN|1MDPS|2DMG	16ERES|2DUR|37DMG|456VULN|6BPWR|8RCR|9MDPS|aLHND
11	41363 22235	   	412.48	DCR|3VULN|1MDPS|2DMG	16ERES|2DUR|37DMG|456VULN|6BPWR|8RCR|9MDPS|aAEPOI
12	41363 22236	   	412.48	DCR|3VULN|1MDPS|2DMG	16ERES|2DUR|37DMG|456VULN|6BPWR|8RCR|9MDPS|aAEBURN
13	41363 32231	   	412.48	DCR|3VULN|1MDPS|2DMG|1MSE	1ERES|2DUR|37DMG|456VULN|8RCR|9MDPS|aMSE
14	41363 32232	   	412.48	DCR|3VULN|1MDPS|2DMG	1ERES|2DUR|37DMG|456VULN|8RCR|9MDPS|aFEWX
15	41363 32233	   	412.48	DCR|3VULN|1MDPS|2DMG	1ERES|2DUR|37DMG|456VULN|8RCR|9MDPS|aDUST
16	41363 32234	   	412.48	DCR|3VULN|1MDPS|2DMG	1ERES|2DUR|37DMG|456VULN|8RCR|9MDPS|aLHND
17	41363 32235	   	412.48	DCR|3VULN|1MDPS|2DMG	1ERES|2DUR|37DMG|456VULN|8RCR|9MDPS|aAEPOI
18	41363 32236	   	412.48	DCR|3VULN|1MDPS|2DMG	1ERES|2DUR|37DMG|456VULN|8RCR|9MDPS|aAEBURN
19	31113 64122	 * 	399.24	2MDPS|2VULN|2TLV|3DUR|1DMG	18TLV|268DUR|3MLV|4DMG|58VULN|7AAC|8BPWR|9aMDPS
20	31353 64122	   	399.24	2MDPS|2VULN|2TLV|3DUR|1DMG	18TLV|268DUR|3DMG|4CGEN|58VULN|7AAC|8BPWR|9aMDPS
21	31361 22533	 * 	394.50	3VULN|1MDPS|3DMG|3TLV|2DUR	168TLV|25DUR|378DMG|468VULN|68BPWR|9LWND|aMDPS
