0	Index      	 *	Score 	Summary	Detail	
1	51136 34312	 * 	386.65	DCR|2VULN|1MDPS|2TLV|2DUR|1SELL	1SELL|29RAT|37TLV|49DUR|5TBNT|69VULN|8RCR|9BPWR|aMDPS
2	11611 42123	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1ZMB|248VULN|3BELT|5DUR|6AAC|7FEWX|9RCR|aMDPS
3	36432 23122	   	374.93	DCR|3VULN|1MDPS|1DUR	13LWND|237VULN|3BPWR|4DUR|58DUST|6RAT|9RCR|aMDPS
4	26533 13323	 * 	372.29	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1BOSS|2FEWX|37VULN|4AART|5LIT|6DUR|8CDMG|9RCR|aMDPS
5	11214 34263	 * 	371.88	ACR|2MDPS|2VULN|1DUR	1ZMB|26VULN|3CGEN|4RCR|5LIT|7DUR|8RPLT|9aMDPS
6	13114 34263	   	371.88	ACR|2MDPS|2VULN|1DUR	1ZMB|2CGEN|36VULN|4RCR|5LIT|7DUR|8RPLT|9aMDPS
7	11331 43231	 * 	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5LEGI|7DUR|9MDPS|aMLV
8	11331 43232	   	371.58	ACR|DCR|2VULN|1MDPS|1DMG|1DUR	1ZMB|28VULN|36RCR|4BBNT|5LEGI|7DUR|9MDPS|aDMG
9	11331 43233	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5LEGI|7DUR|9MDPS|aAAC
10	11331 43234	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5LEGI|7DUR|9MDPS|aFEWX
11	11331 43235	 * 	371.58	ACR|DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|28VULN|36RCR|4BBNT|5LEGI|7DUR|9MDPS|aTLV
12	11331 43236	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5LEGI|7DUR|9MDPS|aBASICY
13	11336 42231	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5DUR|7AETHUN|9MDPS|aSNIFST
14	11336 42232	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5DUR|7AETHUN|9MDPS|aBEXP
15	11336 42233	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR|1SELL	1ZMB|28VULN|36RCR|4BBNT|5DUR|7AETHUN|9MDPS|aSELL
16	11336 42234	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5DUR|7AETHUN|9MDPS|aFEWX
17	11336 42235	   	371.58	ACR|DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|28VULN|36RCR|4BBNT|5DUR|7AETHUN|9MDPS|aTLV
18	11336 42236	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1ZMB|28VULN|36RCR|4BBNT|5DUR|7AETHUN|9MDPS|aCANTOX
19	33263 33364	   	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1LWND|2DUR|3AART|4TLV|5BEXP|6RCR|79VULN|8AEFBLL|aMDPS
20	36633 33322	 * 	362.18	2MDPS|2VULN|2DMG|2DUR	1LWND|28VULN|3LIT|4DUST|58DMG|6CGEN|78DUR|8BPWR|9aMDPS
21	36633 63322	   	362.08	2MDPS|2VULN|2DMG|2DUR	1LWND|28VULN|3LIT|4DUST|58DMG|6AME|78DUR|8BPWR|9aMDPS
22	33223 33564	 * 	357.35	DCR|2VULN|1MDPS|2DUR|1AART	1LWND|28DUR|3AART|4MLV|5BEXP|6RCR|79VULN|aMDPS
23	11423 11221	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|25VULN|3DUR|4AEFRZ|6TLV|7RCR|8BEXP|9ERES|aMDPS
24	11423 11521	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1ZMB|25VULN|3DUR|4AEFRZ|6TLV|7RCR|8FEWX|9ERES|aMDPS
25	11423 11321	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1ZMB|25VULN|3DUR|4AEFRZ|6TLV|7RCR|8MSE|9ERES|aMDPS
