0	Index      	 *	Score 	Summary	Detail	
1	51335 62222	 * 	227.68	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1AAC|2RPLT|36DMG|4RCR|5BASARM|7CDMG|89BEXP|aAART
2	23215 31266	 * 	226.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8CGEN|9DMG|aASPD
3	61155 31323	 * 	225.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1AEFBLL|2RCR|3FEWX|4CGEN|5AART|6BEXP|7BASARM|8VULN|9aASPD
4	51335 62221	 * 	225.30	ACR|1BASARM|3BEXP|2DMG|1CDMG	1AAC|2RPLT|36DMG|4RCR|5BASARM|7CDMG|89aBEXP
5	51335 21242	 * 	223.86	ACR|3DMG|1BASARM|1VULN|1ASPD	1AAC|2RPLT|38aDMG|4RCR|5BASARM|6ASPD|7LHND|9VULN
6	51335 23242	   	223.76	ACR|3DMG|1BASARM|1VULN|1ASPD	1AAC|2RPLT|38aDMG|4RCR|5BASARM|6ASPD|7DUST|9VULN
7	61225 63322	 * 	223.58	ACR|3ASPD|1VULN|1DMG|1BEXP|1AART|1AAC	1AEFBLL|2RCR|3DMG|4BEXP|5AART|6VULN|78aASPD|9AAC
8	51335 21422	 * 	223.20	ACR|1BASARM|2ASPD|2DMG|1BEXP	1AAC|2RPLT|3aDMG|4RCR|5BASARM|68ASPD|7LHND|9BEXP
9	51335 23422	   	223.10	ACR|1BASARM|2ASPD|2DMG|1BEXP	1AAC|2RPLT|3aDMG|4RCR|5BASARM|68ASPD|7DUST|9BEXP
10	51335 63131	 * 	222.47	ACR|3DMG|1BASARM|1BASICY|1VULN	1AAC|2RPLT|369DMG|4RCR|5BASARM|7ERES|8BASICY|aVULN
11	61343 12124	 * 	221.65	ACR|2VULN|1BASARM|2DMG|1BEXP	1AEFBLL|2RCR|35VULN|4LIT|6aDMG|7LWND|8BASARM|9BEXP
12	34141 13114	 * 	221.63	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART|1CDMG	1AART|2FLTARM|3FEWX|4RCR|5DMG|6MBVNT|7ASPD|8CDMG|9BASICY|aBASARM
13	34541 13114	   	221.63	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART|1CDMG	1AART|2FLTARM|3LHND|4RCR|5DMG|6MBVNT|7ASPD|8CDMG|9BASICY|aBASARM
14	23215 31233	 * 	221.40	ACR|1BASARM|2BEXP|1ASPD|1VULN|1AART	14AME|2RCR|34BEXP|4BPWR|5AART|6LHND|7BASARM|8CGEN|9VULN|aASPD
15	51335 21222	   	221.26	ACR|3DMG|1BASARM|1ASPD|1BEXP	1AAC|2RPLT|38aDMG|4RCR|5BASARM|6ASPD|7LHND|9BEXP
16	51335 23222	   	221.16	ACR|3DMG|1BASARM|1ASPD|1BEXP	1AAC|2RPLT|38aDMG|4RCR|5BASARM|6ASPD|7DUST|9BEXP
17	51335 21224	 * 	220.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1AAC|2RPLT|38DMG|4RCR|5BASARM|6ASPD|7LHND|9aBEXP
18	51335 23224	   	220.35	ACR|1BASARM|2DMG|2BEXP|1ASPD	1AAC|2RPLT|38DMG|4RCR|5BASARM|6ASPD|7DUST|9aBEXP
