0	Index      	 *	Score 	Summary	Detail	
1	64228 44233	 * 	200.81	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9ASPD|aCDMG
2	64228 44232	 * 	199.66	ACR|2VULN|2DMG|2BEXP|1ASPD	1RCVC|27AME|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8aBEXP|9ASPD
3	62228 44163	 * 	199.13	ACR|3VULN|3DMG|1AART	1RCVC|27ERES|3MBVNT|47aDMG|5RCR|678VULN|7BPWR|9AART
4	53143 24123	 * 	199.01	ACR|2VULN|2ASPD|1DMG|1AART|1BEXP|1SELL	1SELL|2AART|3DMSP|48MLV|5RCR|68VULN|78ASPD|8BPWR|9DMG|aBEXP
5	53153 24123	 * 	198.81	ACR|2VULN|2ASPD|1DMG|1AART|1BEXP|1SELL	1SELL|2AART|3DMSP|48TLV|5RCR|68VULN|78ASPD|8BPWR|9DMG|aBEXP
6	13552 34132	 * 	198.62	ACR|2VULN|1BASARM|2AART|1BEXP	1DUST|24VULN|3DUR|5RCR|6BEXP|79AART|8BASARM|aRMIN
7	13552 34133	   	198.62	ACR|2VULN|1BASARM|2AART|1BEXP	1DUST|24VULN|3DUR|5RCR|6BEXP|79AART|8BASARM|aFEWX
8	13552 34131	   	198.52	ACR|2VULN|1BASARM|2AART|1BEXP	1DUST|24VULN|3DUR|5RCR|6BEXP|79AART|8BASARM|aSPLREG
9	33228 44278	 * 	198.49	ACR|3DMG|2VULN|1AART|1BEXP	17ZMB|2RCVC|3MBVNT|47aDMG|5RCR|67VULN|7BPWR|8BEXP|9AART
10	62228 44161	 * 	197.80	ACR|3VULN|2DMG|2AART	1RCVC|27ERES|3MBVNT|47DMG|5RCR|678VULN|7BPWR|9aAART
11	13552 34122	 * 	197.48	ACR|2VULN|1BASARM|2BEXP|1AART	1DUST|24VULN|3DUR|5RCR|69BEXP|7AART|8BASARM|aRMIN
12	13552 34123	   	197.48	ACR|2VULN|1BASARM|2BEXP|1AART	1DUST|24VULN|3DUR|5RCR|69BEXP|7AART|8BASARM|aFEWX
13	13552 34121	   	197.38	ACR|2VULN|1BASARM|2BEXP|1AART	1DUST|24VULN|3DUR|5RCR|69BEXP|7AART|8BASARM|aSPLREG
14	33228 44273	 * 	196.48	ACR|2VULN|2DMG|1BEXP|1AART|1CDMG	17ZMB|2RCVC|3MBVNT|47DMG|5RCR|67VULN|7BPWR|8BEXP|9AART|aCDMG
15	13552 36121	 * 	195.06	ACR|2VULN|1BASARM|2BEXP|1CDMG	1DUST|24VULN|3DUR|5RCR|6aBEXP|7BASARM|8LHND|9CDMG
16	36355 13133	 * 	194.97	ACR|2ASPD|2DMG|1VULN|2CDMG	1ZMB|26CDMG|3VULN|4aDMG|5RCR|79ASPD|8LHND
17	13552 23632	 * 	193.06	ACR|3VULN|2ASPD|1AART|1CDMG	18DUST|248VULN|3DUR|5RCR|6LIT|78ASPD|8BPWR|9AART|aCDMG
18	36355 13132	 * 	192.29	ACR|2ASPD|1VULN|1DMG|2CDMG|1AART	1ZMB|26CDMG|3VULN|4DMG|5RCR|79ASPD|8LHND|aAART
19	13512 34162	 * 	191.46	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	14DUST|2VULN|3DUR|5RCR|6BEXP|7AART|8BASARM|9RMIN|aDMG
20	13552 36311	 * 	191.39	ACR|2VULN|1BASARM|3BEXP	1DUST|24VULN|3DUR|5RCR|69aBEXP|7BASARM|8RCVC
