0	Index      	 *	Score 	Summary	Detail	
1	33633 24246	 * 	234.13	ACR|2BASARM|2ASPD|2DMG	1LEGI|2RCR|3aDMG|4BELT|5VENFST|6RMIN|7MBVNT|8aBASARM|9aASPD|aBPWR
2	33646 11313	 * 	230.33	ACR|3DMG|1BASARM|1VULN|1CDMG	1LEGI|2RCR|37aDMG|4RCVC|5DUR|6BASARM|8CDMG|9VULN
3	56112 32623	 * 	225.72	ACR|2ASPD|2DMG|2VULN|2BEXP	18BEXP|2aDUR|3RCR|48TLV|5CGEN|6aDMG|78ASPD|8aBPWR|9aVULN
4	33646 11322	 * 	220.99	ACR|1BASARM|2DMG|2CDMG|1VULN	1LEGI|2RCR|37DMG|4RCVC|5DUR|6BASARM|89CDMG|aVULN
5	56241 11312	 * 	218.55	ACR|1BASARM|2DMG|1ASPD|1VULN|1BEXP	1BEXP|2DUR|3RMIN|4RCVC|5RCR|6BASARM|7aDMG|8ASPD|9VULN
6	53125 21361	 * 	218.47	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	179BEXP|2VULN|3RCR|49CGEN|5FEWX|6CDMG|89DMG|9BPWR|aASPD
7	53142 21361	   	218.47	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	179BEXP|2VULN|3RCR|49LWND|5CGEN|6CDMG|89DMG|9BPWR|aASPD
8	53113 21361	   	218.27	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	179BEXP|2VULN|3RCR|49AME|5FEWX|6CDMG|89DMG|9BPWR|aASPD
9	53132 21361	   	218.27	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	179BEXP|2VULN|3RCR|49DUST|5CGEN|6CDMG|89DMG|9BPWR|aASPD
10	33615 15222	 * 	218.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1LEGI|2RCR|3DMG|4MLV|5aLIT|6ASPD|7BASARM|8BASICY|9BEXP
11	33615 15223	   	218.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8BASICY|9BEXP|aCGEN
12	33625 15222	   	217.98	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1LEGI|2RCR|3DMG|4AME|5aLIT|6ASPD|7BASARM|8BASICY|9BEXP
13	33625 15223	   	217.98	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8BASICY|9BEXP|aCGEN
14	33615 15221	   	217.98	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1LEGI|2RCR|3DMG|4MLV|5LIT|6ASPD|7BASARM|8BASICY|9BEXP|aAIRARM
15	33625 15221	   	217.88	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1LEGI|2RCR|3DMG|4AME|5LIT|6ASPD|7BASARM|8BASICY|9BEXP|aAIRARM
16	53111 21361	 * 	216.86	ACR|2VULN|3BEXP|2DMG|1ASPD	179BEXP|26VULN|3RCR|49AME|5RPLT|89DMG|9BPWR|aASPD
17	33646 11333	   	214.08	ACR|3DMG|1BASARM|1CDMG	1LEGI|2RCR|37aDMG|4RCVC|5DUR|6BASARM|8CDMG|9LHND
