0	Index      	 *	Score 	Summary	Detail	
1	43122 21682	 * 	243.00	ACR|2VULN|1BASARM|2ASPD|1DMG|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7aASPD|8BASARM|9DMG
2	31624 16123	   	235.86	ACR|2VULN|1BASARM|2ASPD|1DMG|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9CGEN|aDMG
3	31624 16113	   	235.76	ACR|2VULN|1BASARM|2ASPD|1DMG|1AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6AAC|7BPWR|8BASARM|9TLV|aDMG
4	43122 21684	 * 	232.42	ACR|3VULN|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|25aVULN|3RCR|4MBVNT|6CDMG|7ASPD|8BASARM|9DMG
5	43124 21682	   	229.37	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1RMIN|2VULN|3RCR|4MBVNT|5DMSP|6CDMG|7aASPD|8BASARM|9DMG
6	43132 21516	   	223.52	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|25VULN|3RCR|4LWND|6CDMG|7ASPD|8BASARM|9FEWX|aDMG
7	43124 21684	   	223.42	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1RMIN|2aVULN|3RCR|4MBVNT|5DMSP|6CDMG|7ASPD|8BASARM|9DMG
8	43122 21681	   	223.32	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7ASPD|8BASARM|9DMG|aERES
9	43122 21683	   	223.32	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7ASPD|8BASARM|9DMG|aAME
10	31624 13143	 * 	222.93	ACR|1BASARM|2DMG|1VULN|1ASPD|1AAC	1LIT|2ERES|3RCR|4ASPD|5VULN|6AAC|7AEMAG|8BASARM|9aDMG
11	31624 16132	 * 	221.54	ACR|2VULN|1BASARM|2ASPD|2AAC	17LIT|2ERES|3RCR|47ASPD|57VULN|6aAAC|7BPWR|8BASARM|9SPLREG
12	43122 21642	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	1RMIN|25VULN|3RCR|4MBVNT|6CDMG|7aASPD|8BASARM|9CGEN
