0	Index      	 *	Score 	Summary	Detail	
1	65336 21221	 * 	234.13	ACR|2BASARM|3DMG|1ASPD	18aDMG|2ASPD|3RCR|45aERES|6VULN|7CGEN|9aBASARM|aBPWR
2	65323 61213	 * 	224.51	ACR|3ASPD|3DMG|2CDMG	189DMG|268ASPD|3RCR|4LIT|5ERES|78CDMG|8BPWR|aVULN
3	65323 61211	 * 	223.61	ACR|3ASPD|3DMG|3CDMG	189DMG|268ASPD|3RCR|4LIT|5ERES|78aCDMG|8BPWR
4	61342 21121	   	222.68	ACR|2BASARM|3DMG|1AAC	17aDMG|2aMLV|3RCR|4CGEN|5AAC|6VULN|8RCVC|9aBASARM|aBPWR
5	61332 21121	   	222.58	ACR|2BASARM|3DMG|1AAC	17aDMG|2aMLV|3RCR|4ERES|5AAC|6VULN|8RCVC|9aBASARM|aBPWR
6	65322 62414	   	218.91	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AAC	1aDMG|2ASPD|3RCR|4LIT|5LHND|6MBVNT|7AAC|8BEXP|9BASARM
7	65336 21121	   	218.48	ACR|2BASARM|2DMG|1ASPD	1aDMG|2ASPD|3RCR|45aERES|6VULN|7CGEN|8RCVC|9aBASARM|aBPWR
8	65321 23261	 * 	217.65	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DMG|26ASPD|3RCR|4LIT|5RPLT|7FEWX|8BEXP|9BASARM|aVULN
9	65323 61212	   	217.47	ACR|3ASPD|3DMG|2CDMG	189DMG|268ASPD|3RCR|4LIT|5ERES|78CDMG|8BPWR|aTLV
10	65323 21161	 * 	215.57	ACR|3DMG|2ASPD|2VULN|1CDMG	189DMG|29ASPD|3RCR|4LIT|5ERES|6RPLT|79VULN|9BPWR|aCDMG
11	65313 11633	   	214.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2ASPD|3RCR|4DUST|5AAC|6LHND|7ERES|8BASARM|9CDMG|aBEXP
12	65313 13633	   	214.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2ASPD|3RCR|4DUST|5AAC|6LHND|7AME|8BASARM|9CDMG|aBEXP
13	65313 23633	   	214.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DMG|2ASPD|3RCR|4DUST|5AAC|6ERES|7LWND|8BASARM|9CDMG|aBEXP
14	61343 21121	   	214.37	ACR|2BASARM|3DMG	17aDMG|2MLV|3RCR|4aCGEN|5ZMB|6VULN|8RCVC|9aBASARM|aBPWR
15	61336 22221	   	214.17	ACR|2BASARM|3DMG	18aDMG|2aMLV|3RCR|45ERES|6VULN|7RMIN|9aBASARM|aBPWR
16	61333 21121	   	214.17	ACR|2BASARM|3DMG	17aDMG|2MLV|3RCR|4aERES|5ZMB|6VULN|8RCVC|9aBASARM|aBPWR
17	61363 33132	 * 	212.92	ACR|3DMG|2BEXP|1ASPD|2CDMG	178DMG|26MLV|3RCR|47CDMG|57BEXP|7BPWR|9RPLT|aASPD
18	61363 33124	 * 	212.43	ACR|3DMG|3BEXP|2CDMG|1AAC	178DMG|26MLV|3RCR|47CDMG|57aBEXP|7BPWR|9AAC
19	62234 35221	   	212.38	ACR|2BASARM|3DMG|1AAC	12aDMG|3aAME|4ERES|5RCR|6RCVC|7VULN|8AAC|9aBASARM|aBPWR
20	65313 11621	   	212.10	ACR|1BASARM|2DMG|1ASPD|1AAC	1aDMG|2ASPD|3RCR|4DUST|5AAC|6LHND|7ERES|8BASARM|9VULN
21	65313 11622	   	212.10	ACR|1BASARM|2ASPD|1DMG|1AAC	1DMG|2aASPD|3RCR|4DUST|5AAC|6LHND|7ERES|8BASARM|9VULN
22	65313 13621	   	212.10	ACR|1BASARM|2DMG|1ASPD|1AAC	1aDMG|2ASPD|3RCR|4DUST|5AAC|6LHND|7AME|8BASARM|9VULN
23	65313 13622	   	212.10	ACR|1BASARM|2ASPD|1DMG|1AAC	1DMG|2aASPD|3RCR|4DUST|5AAC|6LHND|7AME|8BASARM|9VULN
24	65313 23621	   	212.10	ACR|1BASARM|2DMG|1ASPD|1AAC	1aDMG|2ASPD|3RCR|4DUST|5AAC|6ERES|7LWND|8BASARM|9VULN
