0	Index      	 *	Score 	Summary	Detail	
1	36362 22362	 * 	203.08	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	17CGEN|2ASPD|3DMG|4RCR|56FEWX|8CDMG|9BASARM|aVULN
2	36361 22251	 * 	200.79	ACR|2VULN|2DMG|2BEXP|1ASPD	18aCGEN|2ASPD|3aDMG|4RCR|59VULN|6FEWX|7aBEXP|aBPWR
3	36361 22351	   	200.79	ACR|2VULN|2DMG|2BEXP|1ASPD	1aCGEN|2ASPD|3aDMG|4RCR|59VULN|68FEWX|7aBEXP|aBPWR
4	36361 34231	 * 	200.47	ACR|2VULN|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aLWND
5	36361 34233	   	200.47	ACR|2VULN|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aMLV
6	36361 34232	   	200.37	ACR|2VULN|1BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aAME
7	36361 62111	 * 	200.30	ACR|2VULN|2ASPD|2DMG|1AAC|1SELL	1aCGEN|27ASPD|3aDMG|4RCR|5aVULN|6RPLT|8SELL|9AAC|aBPWR
8	36361 34313	 * 	196.41	ACR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1CGEN|2ASPD|3aDMG|4RCR|57VULN|6DMSP|8CDMG|9AAC
9	36361 36213	   	196.41	ACR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1CGEN|2ASPD|3aDMG|4RCR|58VULN|6DMSP|7CDMG|9AAC
10	36362 63224	 * 	191.96	ACR|1BASARM|2ASPD|1DMG	1CGEN|2aASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9LIT
11	36364 23224	   	191.96	ACR|1BASARM|2ASPD|1DMG	1CGEN|2aASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9LIT
12	34561 12333	 * 	191.94	ACR|2VULN|2ASPD|2DMG	1CGEN|2aDMG|39ASPD|4RCR|57VULN|6DLOT|8MLV
13	36361 12333	   	191.94	ACR|2VULN|2ASPD|2DMG	1CGEN|29ASPD|3aDMG|4RCR|57VULN|6DLOT|8MLV
14	36361 16213	 * 	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	1CGEN|2aASPD|38DMG|4RCR|5VULN|6DLOT|7LWND|9BEXP
15	36362 12513	   	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	1CGEN|2aASPD|38DMG|4RCR|5FEWX|6DLOT|7VULN|9BEXP
16	36364 12213	   	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	1CGEN|2aASPD|38DMG|4RCR|5LHND|6DLOT|7VULN|9BEXP
17	36362 35223	   	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	1CGEN|2aASPD|37DMG|4RCR|5FEWX|6BEXP|8ERES|9VULN
18	36362 35323	   	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	1CGEN|2aASPD|37DMG|4RCR|5FEWX|6BEXP|8AAC|9VULN
19	34561 12331	 * 	190.31	ACR|2VULN|2ASPD|1DMG|1AART	1CGEN|2DMG|39ASPD|4RCR|57VULN|6DLOT|8MLV|aAART
